,Date,Open,High,Low,Close,Volume
0,2005-02-28,30.0,30.0,30.0,30.0,50
1,2005-03-01,30.0,30.0,30.0,30.0,60
2,2005-03-03,25.0,25.0,25.0,25.0,40
3,2005-03-09,25.0,25.0,25.0,25.0,25
4,2005-03-10,25.0,25.0,25.0,25.0,5
5,2005-03-23,25.0,25.0,25.0,25.0,6
6,2005-03-31,25.0,25.0,25.0,25.0,5
7,2005-05-04,30.0,30.0,30.0,30.0,50
8,2005-05-09,25.0,25.0,25.0,25.0,15
9,2005-05-13,30.0,30.0,15.0,15.0,35
10,2005-05-23,40.0,40.0,30.0,30.0,60
11,2005-05-24,30.0,30.0,30.0,30.0,100
12,2005-05-25,25.0,30.0,25.0,30.0,745
13,2005-05-26,30.0,30.0,25.0,25.0,400
14,2005-06-01,30.0,30.0,30.0,30.0,10
15,2005-06-07,25.0,25.0,25.0,25.0,140
16,2005-06-09,25.0,25.0,25.0,25.0,10
17,2005-06-13,30.0,30.0,30.0,30.0,100
18,2005-06-16,32.0,32.0,30.0,30.0,310
19,2005-06-22,33.0,33.5,32.5,32.5,400
20,2005-07-14,25.0,25.0,25.0,25.0,10
21,2005-07-27,35.0,45.0,35.0,35.0,196
22,2005-07-28,45.0,45.0,45.0,45.0,20
23,2005-08-25,45.5,46.0,45.5,46.0,100
24,2005-08-26,40.0,40.0,36.0,36.0,200
25,2005-09-01,30.0,40.0,30.0,32.5,320
26,2005-09-06,30.0,30.0,30.0,30.0,50
27,2005-09-12,28.0,35.0,28.0,30.0,250
28,2005-09-13,31.0,31.0,30.0,30.0,370
29,2005-09-30,30.0,30.0,30.0,30.0,10
30,2005-10-03,32.0,32.5,30.0,30.0,500
31,2005-10-27,27.5,27.5,27.5,27.5,50
32,2005-11-07,25.0,26.0,21.0,24.0,605
33,2005-11-08,26.0,26.0,25.0,25.0,120
34,2005-11-09,21.0,21.0,21.0,21.0,100
35,2005-11-10,25.5,25.5,21.0,22.5,213
36,2005-11-29,21.0,21.0,15.0,18.0,628
37,2005-11-30,15.0,25.0,15.0,25.0,160
38,2005-12-01,18.0,20.5,18.0,20.0,208
39,2005-12-05,20.0,20.0,20.0,20.0,148
40,2005-12-07,22.0,22.0,20.2,20.2,300
41,2005-12-14,20.0,20.0,20.0,20.0,200
42,2006-01-06,21.0,21.0,21.0,21.0,28
43,2006-01-11,17.5,17.5,17.5,17.5,20
44,2006-01-12,17.5,17.5,17.5,17.5,10
45,2006-02-06,22.5,22.5,22.5,22.5,100
46,2006-02-07,22.5,22.5,22.5,22.5,50
47,2006-02-08,22.0,22.0,21.0,21.0,200
48,2006-02-09,22.0,22.0,21.0,21.0,500
49,2006-02-10,23.0,23.0,23.0,23.0,50
50,2006-02-13,25.0,25.0,23.5,23.5,800
51,2006-02-16,21.0,21.5,21.0,21.5,200
52,2006-02-22,21.5,21.5,21.5,21.5,550
53,2006-02-23,21.0,21.0,21.0,21.0,100
54,2006-03-10,21.0,21.0,21.0,21.0,75
55,2006-03-17,24.0,24.0,24.0,24.0,150
56,2006-03-20,22.0,22.0,22.0,22.0,150
57,2006-03-21,15.0,17.0,11.1,17.0,1067
58,2006-03-22,16.2,16.2,15.5,15.5,2512
59,2006-03-23,16.0,16.0,15.5,16.0,250
60,2006-03-24,16.0,16.0,16.0,16.0,100
61,2006-03-28,16.0,16.0,16.0,16.0,100
62,2006-03-31,15.5,15.5,15.5,15.5,35
63,2006-04-04,15.5,15.5,15.0,15.0,150
64,2006-04-05,15.0,15.0,14.5,14.5,1500
65,2006-04-13,15.0,20.0,15.0,17.9,265
66,2006-04-17,18.0,18.0,18.0,18.0,90
67,2006-04-24,20.0,20.0,20.0,20.0,160
68,2006-04-25,14.0,14.0,12.0,12.0,150
69,2006-05-03,13.0,13.0,13.0,13.0,10
70,2006-05-05,19.5,19.5,19.5,19.5,100
71,2006-05-08,15.5,17.5,15.5,16.5,550
72,2006-05-09,17.0,19.5,17.0,19.5,300
73,2006-05-16,13.0,17.5,13.0,17.5,60
74,2006-05-19,15.0,20.0,13.0,20.0,241
75,2006-05-24,15.0,15.0,15.0,15.0,70
76,2006-05-30,17.0,17.0,17.0,17.0,10
77,2006-06-06,12.0,16.0,12.0,16.0,260
78,2006-06-15,14.0,16.8,14.0,16.8,809
79,2006-06-19,16.8,20.0,16.8,20.0,30
80,2006-06-20,20.0,20.0,20.0,20.0,15
81,2006-06-27,11.5,11.5,11.5,11.5,15
82,2006-06-28,20.0,20.0,20.0,20.0,10
83,2006-07-12,22.5,22.5,22.5,22.5,10
84,2006-07-24,20.0,20.0,19.0,19.0,1070
85,2006-07-26,22.5,22.5,22.5,22.5,10
86,2006-07-31,15.0,22.5,15.0,22.5,67
87,2006-08-08,20.0,20.0,20.0,20.0,200
88,2006-08-09,22.5,22.5,22.5,22.5,10
89,2006-08-22,22.5,40.0,22.5,37.5,350
90,2006-08-24,27.5,27.5,27.5,27.5,72
91,2006-08-25,27.5,30.0,27.5,30.0,121
92,2006-08-29,50.0,50.0,50.0,50.0,10
93,2006-08-30,22.5,50.0,22.5,50.0,20
94,2006-08-31,50.0,50.0,50.0,50.0,20
95,2006-09-25,30.0,45.0,30.0,30.0,200
96,2006-09-28,27.5,27.5,22.5,22.5,156
97,2006-10-02,28.0,28.0,27.5,27.5,1056
98,2006-10-04,27.5,30.5,26.5,30.5,2930
99,2006-10-05,27.5,27.5,22.5,22.5,3060
100,2006-10-10,25.0,25.0,25.0,25.0,30
101,2006-10-16,20.0,30.5,20.0,30.5,50
102,2006-10-17,27.5,30.5,25.0,30.5,2382
103,2006-10-18,25.0,25.0,24.0,24.0,1410
104,2006-10-19,25.0,25.0,25.0,25.0,740
105,2006-10-20,21.0,21.0,21.0,21.0,150
106,2006-10-24,20.0,20.0,20.0,20.0,10
107,2006-10-25,20.0,20.5,19.1,20.5,1296
108,2006-10-26,18.0,18.0,18.0,18.0,14
109,2006-10-30,20.0,23.5,20.0,23.5,110
110,2006-11-06,20.0,24.0,20.0,24.0,891
111,2006-11-10,18.5,20.0,18.0,20.0,155
112,2006-11-13,18.0,20.0,18.0,20.0,40
113,2006-11-14,20.0,20.0,18.0,20.0,295
114,2006-11-17,18.0,18.0,18.0,18.0,170
115,2006-11-21,18.3,18.3,14.0,14.0,268
116,2006-11-22,20.0,20.0,20.0,20.0,10
117,2006-11-28,14.5,14.5,14.0,14.0,69
118,2006-11-29,20.0,20.0,14.0,17.5,329
119,2006-12-05,17.5,17.5,17.5,17.5,50
120,2006-12-06,13.0,17.5,13.0,17.5,190
121,2006-12-08,12.0,12.5,12.0,12.5,80
122,2006-12-11,12.0,12.0,10.1,12.0,730
123,2006-12-13,12.0,12.0,12.0,12.0,100
124,2006-12-15,10.5,13.5,10.5,13.5,120
125,2006-12-18,11.5,13.5,11.5,11.5,170
126,2006-12-19,11.5,11.5,11.5,11.5,300
127,2006-12-21,11.5,13.5,11.5,13.5,30
128,2006-12-22,11.5,11.5,11.5,11.5,100
129,2006-12-26,11.5,11.5,11.0,11.0,115
130,2006-12-29,11.0,13.5,11.0,13.5,75
131,2007-01-03,14.0,14.0,13.5,13.5,114
132,2007-01-09,11.0,13.0,11.0,13.0,62
133,2007-01-10,13.5,13.5,13.5,13.5,185
134,2007-01-12,13.5,13.5,13.5,13.5,85
135,2007-01-22,14.0,14.0,14.0,14.0,20
136,2007-01-23,13.0,13.0,13.0,13.0,100
137,2007-01-24,11.5,13.5,11.5,13.5,110
138,2007-01-26,13.3,13.3,13.3,13.3,10
139,2007-01-30,13.4,13.4,13.4,13.4,10
140,2007-02-05,13.4,14.0,11.0,11.0,895
141,2007-02-08,11.0,11.0,11.0,11.0,100
142,2007-02-09,13.0,13.0,12.0,13.0,150
143,2007-02-14,13.5,13.5,13.5,13.5,10
144,2007-02-26,13.5,13.5,13.5,13.5,10
145,2007-02-27,13.5,13.5,13.5,13.5,200
146,2007-03-09,13.0,13.0,13.0,13.0,70
147,2007-03-19,13.0,15.5,13.0,14.0,1240
148,2007-03-20,15.5,15.5,15.5,15.5,10
149,2007-03-21,15.5,15.5,15.5,15.5,60
