,Date,Open,High,Low,Close,Volume
0,2014-02-06,21.0,27.17,21.0,26.85,5043947
1,2014-02-07,26.99,29.37,25.1,28.0,662434
2,2014-02-10,29.2,29.2,26.54,27.12,104902
3,2014-02-11,27.16,27.16,26.5,26.6,111849
4,2014-02-12,26.5,26.98,25.8,26.93,143199
5,2014-02-13,26.67,26.83,26.0,26.72,83370
6,2014-02-14,26.49,27.2,26.0,26.75,235075
7,2014-02-18,29.0,29.0,26.544,26.89,57717
8,2014-02-19,27.49,27.49,26.0,26.35,76773
9,2014-02-20,26.35,27.05,25.87,25.9,148704
10,2014-02-21,25.9,30.45,25.74,29.84,303661
11,2014-02-24,30.96,30.96,28.51,29.58,100652
12,2014-02-25,29.3,30.25,29.3,30.1,156034
13,2014-02-26,30.3,31.0,29.0,29.6,130799
14,2014-02-27,29.72,30.235,29.17,29.94,122812
15,2014-02-28,29.76,30.99,26.92,26.93,171644
16,2014-03-03,28.56,28.98,27.54,27.78,240091
17,2014-03-04,28.02,29.11,28.02,28.71,118789
18,2014-03-05,28.74,32.35,28.69,31.61,197612
19,2014-03-06,32.06,33.8,31.93,32.72,688878
20,2014-03-07,33.32,34.55,31.51,34.35,192249
21,2014-03-10,34.5,36.9,32.65,34.85,260717
22,2014-03-11,34.0,35.9,33.01,35.26,215510
23,2014-03-12,34.76,39.86,34.0,38.9,271575
24,2014-03-13,38.5,39.24,37.0,38.52,115274
25,2014-03-14,38.515,39.69,36.503,37.76,123760
26,2014-03-17,38.6,38.7,36.76,37.14,101045
27,2014-03-18,37.17,37.52,36.5,37.48,140379
28,2014-03-19,37.53,38.45,36.7,37.31,117591
29,2014-03-20,36.75,37.93,36.5,36.91,65945
30,2014-03-21,37.0,37.26,35.281,35.56,408487
31,2014-03-24,35.45,35.45,32.44,33.7,182129
32,2014-03-25,33.7,35.2,29.56,30.87,208674
33,2014-03-26,30.96,31.75,30.52,30.82,262100
34,2014-03-27,30.93,31.16,29.2,29.73,191725
35,2014-03-28,30.0,31.37,29.52,30.42,175992
36,2014-03-31,31.5,32.24,29.512,31.5,1040244
37,2014-04-01,32.11,32.11,30.7,31.24,267753
38,2014-04-02,32.06,32.54,31.03,32.11,87420
39,2014-04-03,31.95,32.16,29.95,31.37,241437
40,2014-04-04,31.31,31.642,29.64,29.83,186771
41,2014-04-07,29.58,30.5,28.96,29.0,164061
42,2014-04-08,29.05,29.19,28.09,28.93,174795
43,2014-04-09,28.9,30.03,28.8,29.61,170007
44,2014-04-10,29.47,29.5,28.64,28.8,124050
45,2014-04-11,28.44,28.84,27.8,28.1,202397
46,2014-04-14,27.21,28.45,26.79,27.08,478266
47,2014-04-15,27.0,27.69,25.06,26.16,268318
48,2014-04-16,26.26,30.18,25.86,26.89,78767
49,2014-04-17,26.83,28.47,26.83,28.28,96600
50,2014-04-21,29.69,29.69,27.1,28.62,75273
51,2014-04-22,34.8,36.9,32.14,35.99,1274131
52,2014-04-23,36.14,36.98,35.5,36.38,212635
53,2014-04-24,36.0,36.49,33.98,35.83,592242
54,2014-04-25,35.8,35.838,34.24,34.33,202595
55,2014-04-28,34.37,35.73,33.43,34.27,72237
56,2014-04-29,34.53,36.14,34.0,35.21,112712
57,2014-04-30,34.96,34.96,33.74,34.28,85568
58,2014-05-01,34.08,35.38,33.84,34.16,156688
59,2014-05-02,34.25,34.42,32.61,32.85,94051
60,2014-05-05,32.73,33.035,32.28,32.58,68207
61,2014-05-06,32.35,32.37,31.39,31.53,52742
62,2014-05-07,31.53,31.88,30.923,31.41,58316
63,2014-05-08,31.16,31.68,29.76,29.79,74289
64,2014-05-09,29.61,30.996,28.73,30.28,106611
65,2014-05-12,30.47,31.88,29.34,31.1,128020
66,2014-05-13,32.0,32.97,30.95,31.01,231782
67,2014-05-14,30.96,33.348,30.44,31.9,203626
68,2014-05-15,31.84,33.0,31.0,31.76,112648
69,2014-05-16,32.24,32.49,31.507,31.8,35209
70,2014-05-19,31.8,33.02,31.8,32.22,82402
71,2014-05-20,32.19,32.43,30.77,31.41,65364
72,2014-05-21,30.0,32.92,30.0,31.55,79708
73,2014-05-22,31.78,33.1,31.32,31.88,113666
74,2014-05-23,31.85,32.78,31.48,31.97,63994
75,2014-05-27,32.72,32.72,31.43,32.17,121423
76,2014-05-28,32.33,32.43,31.25,31.98,64724
