,Date,Open,High,Low,Close,Volume
0,1987-12-30,0.9605,0.9605,0.9429,0.952,60821
1,1987-12-31,0.952,0.952,0.9429,0.952,89189
2,1988-01-04,0.952,0.9959,0.952,0.987,39261
3,1988-01-05,0.987,1.0135,0.987,1.0135,111882
4,1988-01-06,1.0225,1.0225,1.0135,1.0135,11574
5,1988-01-07,1.0047,1.031,1.0047,1.031,61728
6,1988-01-08,1.0225,1.0398,1.0225,1.0225,35405
7,1988-01-11,1.0135,1.0135,1.0047,1.0047,91683
8,1988-01-12,1.0047,1.0047,0.9783,0.987,78296
9,1988-01-13,0.987,0.987,0.987,0.987,4314
10,1988-01-14,0.987,0.987,0.987,0.987,1817
11,1988-01-15,0.9959,1.0225,0.9959,1.0225,79203
12,1988-01-18,1.031,1.031,1.0225,1.0225,6579
13,1988-01-19,1.0135,1.0225,1.0135,1.0225,23374
14,1988-01-20,1.0225,1.0225,1.0135,1.0135,8169
15,1988-01-21,1.0047,1.0225,1.0047,1.0135,30411
16,1988-01-22,1.0225,1.0488,1.0225,1.0488,52875
17,1988-01-25,1.0576,1.0663,1.0576,1.0576,24964
18,1988-01-26,1.0576,1.0576,1.0488,1.0576,13619
19,1988-01-27,1.0576,1.0576,1.0398,1.0398,39713
20,1988-01-28,1.031,1.0488,1.031,1.0398,15889
21,1988-01-29,1.031,1.0488,1.031,1.0488,50154
22,1988-02-01,1.0488,1.0576,1.0488,1.0576,7262
23,1988-02-02,1.0576,1.0663,1.0576,1.0663,28366
24,1988-02-03,1.0576,1.0576,1.0488,1.0576,39487
25,1988-02-04,1.0576,1.0576,1.0488,1.0576,64677
26,1988-02-05,1.0576,1.0576,1.0488,1.0488,3859
27,1988-02-08,1.0488,1.0488,1.0488,1.0488,4539
28,1988-02-09,1.0488,1.0576,1.0488,1.0488,9076
29,1988-02-10,1.0488,1.0576,1.0488,1.0488,16112
30,1988-02-11,1.0488,1.0663,1.0488,1.0663,19062
31,1988-02-12,1.0576,1.0663,1.0576,1.0663,14068
32,1988-02-16,1.0576,1.084,1.0576,1.084,17927
33,1988-02-17,1.0753,1.084,1.0753,1.0753,38353
34,1988-02-18,1.0753,1.084,1.0753,1.084,22920
35,1988-02-19,1.084,1.0928,1.084,1.0928,29047
36,1988-02-22,1.0928,1.1016,1.0928,1.1016,5897
37,1988-02-23,1.1016,1.1016,1.1016,1.1016,23601
38,1988-02-24,1.1016,1.1192,1.1016,1.1104,6356
39,1988-02-25,1.1192,1.1192,1.1192,1.1192,3859
40,1988-02-26,1.128,1.128,1.1104,1.1192,20194
41,1988-02-29,1.1192,1.1192,1.1104,1.1192,34494
42,1988-03-01,1.1192,1.1192,1.1192,1.1192,11574
43,1988-03-02,1.1192,1.1456,1.1192,1.1456,77157
44,1988-03-03,1.1456,1.1543,1.1456,1.1543,13842
45,1988-03-04,1.1543,1.1635,1.1543,1.1543,1586
46,1988-03-07,1.1543,1.1721,1.1543,1.1721,5897
47,1988-03-08,1.19,1.2074,1.19,1.2074,13161
48,1988-03-09,1.2161,1.2252,1.2161,1.2252,19062
49,1988-03-10,1.2252,1.2337,1.2252,1.2337,37446
50,1988-03-11,1.2252,1.2514,1.2252,1.2514,60594
51,1988-03-14,1.2514,1.2603,1.2428,1.2603,21103
52,1988-03-15,1.269,1.2779,1.2603,1.2603,21785
53,1988-03-16,1.2603,1.269,1.2603,1.269,26781
54,1988-03-17,1.269,1.269,1.269,1.269,25420
55,1988-03-18,1.2779,1.2779,1.269,1.269,10666
56,1988-03-21,1.2779,1.2867,1.269,1.269,133665
57,1988-03-22,1.2779,1.2779,1.2514,1.2603,81016
58,1988-03-23,1.2603,1.269,1.2603,1.269,10666
59,1988-03-24,1.2603,1.2603,1.2603,1.2603,14295
60,1988-03-25,1.2514,1.2514,1.2252,1.2252,68991
61,1988-03-28,1.2161,1.2337,1.2161,1.2252,40622
62,1988-03-29,1.2252,1.2252,1.2161,1.2252,22920
63,1988-03-30,1.2252,1.2252,1.2074,1.2161,46067
64,1988-03-31,1.2074,1.2074,1.1986,1.1986,59229
65,1988-04-04,1.1986,1.1986,1.19,1.19,6356
66,1988-04-05,1.1986,1.1986,1.19,1.19,23374
67,1988-04-06,1.19,1.2074,1.19,1.2074,19290
68,1988-04-07,1.2161,1.2252,1.2161,1.2161,42663
69,1988-04-08,1.2074,1.2252,1.2074,1.2252,26781
70,1988-04-11,1.2252,1.2428,1.2252,1.2428,36084
71,1988-04-12,1.2514,1.2603,1.2428,1.2428,26326
72,1988-04-13,1.2514,1.2514,1.2428,1.2428,16112
73,1988-04-14,1.2337,1.2337,1.19,1.19,56054
74,1988-04-15,1.19,1.19,1.1721,1.1808,97811
75,1988-04-18,1.1808,1.19,1.1808,1.19,53332
76,1988-04-19,1.1986,1.2337,1.1986,1.2337,75115
77,1988-04-20,1.2428,1.2603,1.2252,1.2252,83512
78,1988-04-21,1.2252,1.2337,1.2252,1.2252,39487
79,1988-04-22,1.2252,1.2252,1.2161,1.2161,38581
80,1988-04-25,1.2252,1.2252,1.2161,1.2252,30183
81,1988-04-26,1.2252,1.2252,1.2252,1.2252,25642
82,1988-04-27,1.2252,1.2252,1.2252,1.2252,42663
83,1988-04-28,1.2161,1.2161,1.1986,1.1986,29047
84,1988-04-29,1.1986,1.1986,1.19,1.1986,59459
85,1988-05-02,1.1986,1.1986,1.19,1.19,1134
86,1988-05-03,1.19,1.19,1.19,1.19,22920
87,1988-05-04,1.19,1.19,1.1808,1.19,20653
88,1988-05-05,1.1808,1.19,1.1808,1.1808,12483
89,1988-05-06,1.1808,1.1808,1.1721,1.1721,37446
90,1988-05-09,1.1721,1.1808,1.1721,1.1808,10893
91,1988-05-10,1.1808,1.19,1.1808,1.19,6127
92,1988-05-11,1.1808,1.1808,1.1635,1.1635,122999
93,1988-05-12,1.1635,1.1635,1.1635,1.1635,12705
94,1988-05-13,1.1635,1.1721,1.1635,1.1721,7262
95,1988-05-16,1.1721,1.1721,1.1635,1.1721,32224
96,1988-05-17,1.1721,1.1721,1.1635,1.1635,11346
97,1988-05-18,1.1635,1.1721,1.1635,1.1721,4085
98,1988-05-19,1.1635,1.1635,1.1635,1.1635,15204
99,1988-05-20,1.1635,1.1635,1.1635,1.1635,18155
100,1988-05-23,1.1635,1.1635,1.1456,1.1456,14976
101,1988-05-24,1.1543,1.1635,1.1543,1.1635,2723
102,1988-05-25,1.1635,1.1721,1.1635,1.1721,25872
103,1988-05-26,1.1635,1.1635,1.1635,1.1635,9533
104,1988-05-27,1.1543,1.1635,1.1456,1.1456,35175
105,1988-05-31,1.1543,1.1635,1.1456,1.1635,5897
106,1988-06-01,1.1721,1.1808,1.1721,1.1808,31545
107,1988-06-02,1.1808,1.19,1.1721,1.1721,15660
108,1988-06-03,1.1808,1.1808,1.1721,1.1721,14295
109,1988-06-06,1.1808,1.19,1.1808,1.19,23374
110,1988-06-07,1.1808,1.1986,1.1808,1.1986,16341
111,1988-06-08,1.1986,1.2161,1.1986,1.2161,15660
112,1988-06-09,1.2252,1.2514,1.2252,1.2252,41077
113,1988-06-10,1.2337,1.269,1.2337,1.269,12935
114,1988-06-13,1.2603,1.2603,1.2514,1.2603,39942
115,1988-06-14,1.2603,1.2603,1.2603,1.2603,100986
116,1988-06-15,1.2603,1.269,1.2603,1.2603,31089
117,1988-06-16,1.269,1.269,1.2514,1.2514,31998
118,1988-06-17,1.2603,1.2603,1.2603,1.2603,13161
119,1988-06-20,1.2603,1.2603,1.2603,1.2603,43116
120,1988-06-21,1.2603,1.2603,1.2603,1.2603,3178
121,1988-06-22,1.2603,1.269,1.2603,1.269,7489
122,1988-06-23,1.269,1.269,1.2603,1.269,19062
123,1988-06-24,1.2603,1.269,1.2603,1.269,11574
124,1988-06-27,1.269,1.2779,1.269,1.269,22013
125,1988-06-28,1.269,1.269,1.269,1.269,2496
126,1988-06-29,1.2779,1.2779,1.269,1.269,14295
127,1988-06-30,1.269,1.2779,1.269,1.2779,19290
128,1988-07-01,1.2867,1.2867,1.2779,1.2867,17247
129,1988-07-05,1.2867,1.2867,1.269,1.269,12705
130,1988-07-06,1.269,1.269,1.269,1.269,39033
131,1988-07-07,1.269,1.269,1.269,1.269,31545
132,1988-07-08,1.269,1.269,1.269,1.269,2042
133,1988-07-11,1.2603,1.269,1.2603,1.2603,2271
134,1988-07-12,1.269,1.269,1.2603,1.2603,6127
135,1988-07-13,1.2603,1.2603,1.2603,1.2603,4314
136,1988-07-14,1.2603,1.2603,1.2514,1.2603,3631
137,1988-07-15,1.2603,1.2779,1.2603,1.269,9986
138,1988-07-18,1.269,1.269,1.2603,1.2603,1586
139,1988-07-19,1.2514,1.2603,1.2514,1.2603,1586
140,1988-07-20,1.2603,1.2603,1.2603,1.2603,10439
141,1988-07-21,1.2514,1.2514,1.2252,1.2252,16112
142,1988-07-22,1.2161,1.2161,1.2074,1.2074,3403
143,1988-07-25,1.2074,1.2074,1.19,1.19,55374
144,1988-07-26,1.19,1.19,1.1808,1.1808,48339
145,1988-07-27,1.1808,1.1808,1.1635,1.1635,26781
146,1988-07-28,1.1721,1.1721,1.1721,1.1721,29275
147,1988-07-29,1.1808,1.19,1.1721,1.1808,7489
148,1988-08-01,1.19,1.19,1.1808,1.1808,4085
149,1988-08-02,1.1808,1.19,1.1808,1.19,1817
150,1988-08-03,1.1808,1.19,1.1808,1.19,9757
151,1988-08-04,1.1808,1.19,1.1808,1.1808,46067
152,1988-08-05,1.1808,1.1808,1.1721,1.1721,129583
153,1988-08-08,1.1808,1.1808,1.1808,1.1808,11346
154,1988-08-09,1.1808,1.1808,1.1808,1.1808,78067
155,1988-08-10,1.1808,1.1808,1.1721,1.1721,14068
156,1988-08-11,1.1721,1.19,1.1635,1.1635,45160
157,1988-08-12,1.1721,1.1808,1.1635,1.1721,22013
158,1988-08-15,1.1721,1.1721,1.1635,1.1635,20194
159,1988-08-16,1.1635,1.1808,1.1635,1.1808,59009
160,1988-08-18,1.1808,1.1808,1.1635,1.1635,34494
161,1988-08-19,1.1635,1.1635,1.1543,1.1543,63089
162,1988-08-22,1.1543,1.1635,1.1543,1.1635,4763
163,1988-08-23,1.1543,1.1635,1.1543,1.1635,8398
164,1988-08-24,1.1635,1.1808,1.1635,1.1721,40166
165,1988-08-25,1.1721,1.1721,1.1635,1.1635,22013
166,1988-08-26,1.1543,1.1543,1.1543,1.1543,5897
167,1988-08-29,1.1456,1.1543,1.1456,1.1456,4539
168,1988-08-30,1.1456,1.1456,1.1456,1.1456,2271
169,1988-08-31,1.1456,1.1456,1.1369,1.1369,30635
170,1988-09-01,1.1369,1.1369,1.1016,1.1016,29047
