,Date,Open,High,Low,Close,Volume
0,2015-10-01,17.55,19.0,16.95,18.11,8800400
1,2015-10-02,17.91,19.49,17.55,18.43,967300
2,2015-10-05,18.5,19.39,18.5,18.79,395697
3,2015-10-06,18.55,19.39,18.25,18.96,414400
4,2015-10-07,19.0,19.2,18.49,18.69,491500
5,2015-10-08,18.68,18.78,18.5,18.65,208700
6,2015-10-09,18.48,18.5,17.5,18.01,1062900
7,2015-10-12,18.0,18.93,18.0,18.14,259092
8,2015-10-13,18.2,18.75,18.19,18.69,327500
9,2015-10-14,18.41,18.85,18.26,18.77,262200
10,2015-10-15,18.58,18.89,18.26,18.54,403900
11,2015-10-16,18.5,19.01,18.39,18.97,104200
12,2015-10-19,18.77,19.16,18.51,19.16,113600
13,2015-10-20,18.91,20.0,18.91,19.81,407126
14,2015-10-21,19.67,19.86,18.71,19.04,378900
15,2015-10-22,19.06,19.06,16.26,17.52,487600
16,2015-10-23,17.52,17.88,16.87,17.83,132300
17,2015-10-26,18.33,18.9,18.06,18.63,231100
18,2015-10-27,18.55,19.35,18.01,18.79,623600
19,2015-10-28,18.8,18.8,17.51,17.89,289500
20,2015-10-29,17.95,17.95,16.75,16.87,136200
21,2015-10-30,16.71,17.53,16.68,16.82,397700
22,2015-11-02,16.98,16.98,16.28,16.54,119385
23,2015-11-03,16.6,17.5,16.55,17.37,178000
24,2015-11-04,17.3,17.5,16.6,16.78,419827
25,2015-11-05,16.66,17.33,16.66,17.23,76300
26,2015-11-06,17.75,18.95,17.31,18.81,199600
27,2015-11-09,19.01,19.48,18.12,18.93,192407
28,2015-11-10,18.79,19.35,18.29,19.06,219900
29,2015-11-11,18.91,19.23,18.37,18.94,107400
30,2015-11-12,18.1,19.08,17.51,18.33,397100
31,2015-11-13,18.14,19.29,17.64,18.9,151600
32,2015-11-16,18.9,19.19,18.33,18.85,111100
33,2015-11-17,18.76,19.23,18.59,18.88,150000
34,2015-11-18,18.79,19.03,18.43,18.47,86300
35,2015-11-19,18.24,18.48,17.61,18.2,81000
36,2015-11-20,18.08,19.05,18.01,18.63,99400
37,2015-11-23,18.69,19.06,18.52,18.96,143300
38,2015-11-24,18.95,19.49,18.73,19.07,237700
39,2015-11-25,19.0,19.61,18.8,19.48,179700
40,2015-11-27,19.5,19.5,19.2,19.49,92000
41,2015-11-30,19.22,19.51,18.74,19.11,109700
42,2015-12-01,19.11,19.22,18.58,18.62,202253
43,2015-12-02,18.75,19.07,18.04,18.93,245282
44,2015-12-03,19.16,19.5,18.44,19.28,198167
45,2015-12-04,19.43,19.72,19.01,19.61,233600
46,2015-12-07,19.85,20.95,19.55,19.97,319000
47,2015-12-08,20.03,20.7,19.865,20.15,226581
48,2015-12-09,20.27,21.27,20.27,20.78,428500
49,2015-12-10,20.93,21.96,20.54,21.31,251000
50,2015-12-11,21.47,22.32,21.11,21.32,593500
51,2015-12-14,21.66,21.82,20.57,20.85,236705
52,2015-12-15,21.17,21.42,19.91,20.64,298700
53,2015-12-16,20.54,21.21,20.42,20.8,248300
54,2015-12-17,20.72,21.3,20.65,20.71,481800
55,2015-12-18,20.19,21.78,19.11,19.27,3144800
56,2015-12-21,19.32,20.78,19.3,20.18,292500
57,2015-12-22,20.27,21.13,20.27,20.95,123826
58,2015-12-23,21.05,21.05,20.08,20.44,147200
59,2015-12-24,20.59,20.72,20.32,20.58,92119
60,2015-12-28,20.57,20.78,20.24,20.73,110857
61,2015-12-29,20.74,21.23,20.7,20.89,111824
62,2015-12-30,20.86,21.38,20.86,21.17,115037
63,2015-12-31,21.17,21.385,20.24,20.49,159716
64,2016-01-04,20.11,20.385,19.38,19.49,180247
65,2016-01-05,19.48,19.73,19.19,19.66,183404
66,2016-01-06,19.42,20.4,19.27,20.24,109202
67,2016-01-07,20.0,20.175,18.81,18.85,156133
68,2016-01-08,19.0,19.17,17.26,17.46,206834
69,2016-01-11,17.58,17.71,17.1301,17.41,151230
70,2016-01-12,17.49,17.82,17.27,17.77,107728
71,2016-01-13,17.85,18.02,17.06,17.13,112596
72,2016-01-14,17.08,17.8499,16.8508,17.62,105901
73,2016-01-15,17.24,17.92,16.75,17.88,175586
74,2016-01-19,17.94,17.96,17.33,17.42,217700
75,2016-01-20,17.25,18.57,16.64,18.2,129424
76,2016-01-21,18.33,18.9,17.27,17.71,118936
77,2016-01-22,17.9,17.96,16.8501,17.24,148814
78,2016-01-25,16.9,17.01,16.25,16.47,150951
79,2016-01-26,16.44,16.8,16.39,16.53,211107
80,2016-01-27,16.62,16.62,16.12,16.48,177228
81,2016-01-28,16.365,16.59,15.11,15.37,256380
82,2016-01-29,15.39,16.16,15.2021,16.11,130325
83,2016-02-01,16.07,16.93,15.905,16.75,97465
84,2016-02-02,16.54,16.8514,16.2303,16.65,150441
85,2016-02-03,16.71,17.13,16.35,16.64,151556
86,2016-02-04,16.58,16.91,16.57,16.77,87504
87,2016-02-05,16.68,17.15,15.8407,16.45,165579
88,2016-02-08,16.32,16.42,15.18,15.5,188776
89,2016-02-09,15.39,15.95,15.23,15.61,66210
90,2016-02-10,15.68,16.14,15.51,15.67,63607
91,2016-02-11,15.37,15.37,14.71,15.06,116695
92,2016-02-12,14.83,15.06,14.4,14.56,109820
93,2016-02-16,14.72,14.79,13.38,13.5,548580
94,2016-02-17,13.52,14.6166,12.6,12.64,178390
95,2016-02-18,12.64,13.82,11.973,12.1,123424
96,2016-02-19,12.11,13.91,12.11,13.82,170225
97,2016-02-22,13.95,14.88,13.88,14.01,282203
98,2016-02-23,14.01,14.21,13.8,13.87,191500
99,2016-02-24,13.85,14.0189,12.82,13.68,114514
100,2016-02-25,13.77,14.7568,13.24,13.51,236338
101,2016-02-26,13.57,13.82,12.9,13.1,255417
102,2016-02-29,13.17,13.4,13.0,13.12,194123
103,2016-03-01,13.25,13.58,13.05,13.55,98114
104,2016-03-02,13.49,14.01,13.49,13.98,140174
105,2016-03-03,13.89,14.31,13.42,13.53,93524
106,2016-03-04,13.5,13.96,13.5,13.84,68717
107,2016-03-07,13.74,14.28,13.63,13.89,78314
108,2016-03-08,13.89,13.89,13.47,13.57,95026
109,2016-03-09,14.7699,14.7699,13.45,13.66,60773
110,2016-03-10,13.66,14.09,13.6,13.77,131592
111,2016-03-11,17.0,17.36,14.5,16.0,573585
112,2016-03-14,15.89,16.4,15.28,15.58,264398
113,2016-03-15,15.54,15.54,14.27,14.69,169951
114,2016-03-16,14.63,15.36,14.55,15.28,98282
115,2016-03-17,15.23,15.28,14.66,14.94,132912
