,Date,Open,High,Low,Close,Volume
0,2014-11-21,17.28,18.05,17.0,18.05,29729
1,2014-11-24,18.0,18.92,17.0,18.69,162698
2,2014-11-25,19.96,21.75,19.67,20.94,59613
3,2014-11-26,20.0,20.5,19.5,19.75,59810
4,2014-11-28,20.5,23.0,19.85,20.0,65416
5,2014-12-01,21.0,21.0,17.87,18.85,71293
6,2014-12-02,18.85,19.78,18.51,18.51,34593
7,2014-12-03,18.5,19.99,18.0,19.35,29349
8,2014-12-04,18.55,20.93,18.0,19.27,30701
9,2014-12-05,19.13,21.0,18.55,20.2,52481
10,2014-12-08,20.5,21.5,20.25,21.0,158647
11,2014-12-09,20.4,21.9,20.4,21.75,131463
12,2014-12-10,21.0,21.25,20.14,20.34,65066
13,2014-12-11,20.5,21.85,19.46,20.01,75945
14,2014-12-12,20.999,21.0,19.35,19.7,20743
15,2014-12-15,20.0,20.9,19.42,19.8,57544
16,2014-12-16,20.5,22.0,19.75,19.75,14517
17,2014-12-17,21.0,22.0,19.4,20.95,21523
18,2014-12-18,22.0,22.0,20.9,21.99,19131
19,2014-12-19,23.0,24.25,22.75,23.75,142920
20,2014-12-22,23.15,23.15,20.05,22.88,31402
21,2014-12-23,20.76,23.56,20.76,21.99,7643
22,2014-12-24,20.69,22.0,20.07,20.6,15796
23,2014-12-26,21.04,21.04,20.3,20.3,983
24,2014-12-29,20.01,21.13,20.0,20.37,10600
25,2014-12-30,20.05,20.98,20.0,20.08,13491
26,2014-12-31,20.65,21.0,20.65,20.895,3922
27,2015-01-02,20.08,21.0,20.0,20.24,5022
28,2015-01-05,19.71,20.8,19.63,20.5,4919
29,2015-01-06,20.79,20.98,19.8,20.25,16226
30,2015-01-07,21.0,21.0,19.7,21.0,3113
31,2015-01-08,21.88,23.96,21.5,23.84,13688
32,2015-01-09,22.5,22.5,21.0,21.35,24724
33,2015-01-12,22.12,22.12,21.69,21.739,486
34,2015-01-13,23.45,23.45,22.0,22.0,4446
35,2015-01-14,22.0,22.0,20.52,21.0,2324
36,2015-01-15,20.51,21.6,20.0,20.46,6563
37,2015-01-16,20.51,21.5,20.11,21.25,17515
38,2015-01-20,21.0,21.49,20.51,21.4,32904
39,2015-01-21,21.0,21.45,20.55,21.4,4044
40,2015-01-22,20.8,22.84,20.557,22.82,9658
41,2015-01-23,22.8,24.0,22.31,23.75,247187
42,2015-01-26,24.24,24.24,23.5,24.03,3809
43,2015-01-27,21.01,23.79,21.01,23.5,3656
44,2015-01-28,23.1,23.76,22.4,22.4,9099
45,2015-01-29,22.4,22.97,21.78,22.4,2475
46,2015-01-30,21.84,22.89,21.01,21.01,14812
47,2015-02-02,22.05,22.54,21.31,22.5,5202
48,2015-02-03,22.5,23.28,22.09,23.0,5976
49,2015-02-04,23.5,23.5,21.861,22.3,12720
50,2015-02-05,22.14,22.76,21.92,21.92,4281
51,2015-02-06,22.0,22.49,21.25,21.44,14532
52,2015-02-09,21.36,22.68,21.15,21.16,3932
53,2015-02-10,21.3,21.6,21.26,21.5,5134
54,2015-02-11,21.3,22.6,21.241,21.26,11339
55,2015-02-12,21.07,22.0,20.603,20.91,12589
56,2015-02-13,22.12,23.0,21.99,23.0,1857
57,2015-02-17,23.0,24.25,22.97,22.97,2380
58,2015-02-18,23.89,24.25,23.25,23.25,9098
59,2015-02-19,23.9,24.07,23.5,24.07,770
60,2015-02-20,24.0,24.28,23.72,24.17,3614
61,2015-02-23,24.0,24.25,23.1,23.76,13711
62,2015-02-24,24.26,24.49,23.47,24.0,8840
63,2015-02-25,24.25,24.25,23.8,24.15,8956
64,2015-02-26,23.62,23.62,22.72,23.15,11532
65,2015-02-27,23.5,24.4,22.9,23.9,8919
66,2015-03-02,23.44,24.0,23.29,23.85,1600
67,2015-03-03,23.6,23.65,23.53,23.65,1600
68,2015-03-04,24.0,24.1,23.5,24.0,24600
69,2015-03-05,23.43,24.14,23.43,23.9,52500
70,2015-03-09,23.75,23.75,23.5,23.5,1700
71,2015-03-10,23.0,23.6,22.8,22.8,1600
72,2015-03-11,22.8,22.8,22.8,22.8,3600
73,2015-03-12,22.81,23.06,22.76,23.01,1600
74,2015-03-13,23.89,23.89,23.0,23.01,1200
75,2015-03-16,23.1,23.1,23.1,23.1,500
76,2015-03-17,23.44,24.5,23.44,24.5,900
77,2015-03-18,23.6,24.0,23.3,23.3,4300
