,Date,Open,High,Low,Close,Volume
0,2015-08-10,4.18,4.18,3.3,3.5,13400
1,2015-08-11,3.7,3.899,3.51,3.899,11027
2,2015-08-12,3.9,3.9,3.56,3.71,14400
3,2015-08-13,3.8,4.09,3.7,3.75,16900
4,2015-08-14,3.95,4.15,3.76,3.76,30900
5,2015-08-17,3.95,4.0,3.8,3.8,9800
6,2015-08-18,3.9,4.0,3.88,3.95,11700
7,2015-08-19,3.95,3.95,3.9,3.95,3400
8,2015-08-20,3.93,3.95,3.85,3.88,18400
9,2015-08-21,3.75,3.76,3.47,3.59,13900
10,2015-08-24,3.36,3.7899,2.66,3.545,23556
11,2015-08-25,3.39,3.8,3.36,3.77,19500
12,2015-08-26,3.74,3.9,3.74,3.88,28800
13,2015-08-27,3.87,3.9,3.5,3.7,14400
14,2015-08-28,3.84,3.85,3.7,3.76,26100
15,2015-08-31,3.85,3.9,3.63,3.87,10800
16,2015-09-01,3.78,3.89,3.77,3.89,3400
17,2015-09-02,3.9,4.09,3.81,4.05,32500
18,2015-09-03,4.03,4.11,4.03,4.11,3400
19,2015-09-04,4.29,4.29,3.81,4.08,34000
20,2015-09-08,4.11,4.29,4.1,4.25,53800
21,2015-09-09,4.25,4.3,4.24,4.28,19200
22,2015-09-10,4.26,4.73,4.01,4.73,44043
23,2015-09-11,4.85,5.68,4.85,5.59,103100
24,2015-09-14,5.6,6.11,5.37,6.0,133600
25,2015-09-15,6.01,6.15,4.62,4.75,83100
26,2015-09-16,5.38,5.38,5.01,5.23,43700
27,2015-09-17,5.2,5.2,4.87,5.07,45900
28,2015-09-18,5.07,5.07,4.8,4.99,285400
29,2015-09-21,5.05,5.5,5.0,5.32,40400
30,2015-09-22,5.21,5.25,5.0,5.02,9200
31,2015-09-23,5.15,5.33,4.93,5.31,4700
32,2015-09-24,5.07,5.13,4.89,5.02,5361
33,2015-09-25,5.04,5.06,4.5,4.62,55600
34,2015-09-28,4.61,4.82,4.22,4.25,26218
35,2015-09-29,3.62,4.25,3.62,3.9,44000
36,2015-09-30,3.98,4.13,3.98,4.0,10000
37,2015-10-01,3.95,3.98,3.63,3.93,35200
38,2015-10-02,3.61,3.97,3.6,3.78,34700
39,2015-10-05,3.68,3.73,3.6,3.67,10789
40,2015-10-06,3.56,3.64,3.25,3.5,24900
41,2015-10-07,3.47,3.8,3.47,3.57,31600
42,2015-10-08,3.64,3.68,3.17,3.56,47500
43,2015-10-09,3.46,3.46,3.1,3.19,43900
44,2015-10-12,3.13,3.15,3.0,3.01,19590
45,2015-10-13,3.04,3.1,2.96,3.03,36400
46,2015-10-14,3.09,3.09,2.99,3.05,10800
47,2015-10-15,2.98,3.1,2.95,3.04,35100
48,2015-10-16,2.9,3.49,2.9,3.49,26900
49,2015-10-19,3.49,3.94,3.49,3.63,52600
50,2015-10-20,3.72,3.73,3.422,3.6097,25577
51,2015-10-21,3.39,3.73,3.39,3.64,14700
52,2015-10-22,3.69,3.8,3.38,3.45,30800
53,2015-10-23,3.44,3.72,3.44,3.72,12800
54,2015-10-26,3.7,3.7,3.5,3.64,8800
55,2015-10-27,3.62,3.62,3.52,3.52,8400
56,2015-10-28,3.54,3.62,3.54,3.59,9100
57,2015-10-29,3.6,3.7,3.6,3.65,14200
58,2015-10-30,3.66,3.66,3.53,3.59,5600
59,2015-11-02,3.52,3.6,3.52,3.59,5584
60,2015-11-03,3.5,3.59,3.49,3.58,12600
61,2015-11-04,3.67,3.67,3.52,3.64,18841
62,2015-11-05,3.51,3.63,3.51,3.63,5900
63,2015-11-06,3.67,3.67,3.52,3.55,30900
64,2015-11-09,3.5,3.688,3.5,3.51,16192
65,2015-11-10,3.53,3.71,3.5,3.6,35100
66,2015-11-11,3.6,3.6,3.53,3.54,9400
67,2015-11-12,3.52,3.55,3.52,3.53,4200
68,2015-11-13,3.56,3.6,3.52,3.52,18100
69,2015-11-16,3.5,3.52,3.35,3.36,5200
70,2015-11-17,3.4,3.54,2.88,3.18,36600
71,2015-11-18,3.19,3.27,2.96,3.05,18100
72,2015-11-19,3.0,3.18,2.69,2.92,29900
73,2015-11-20,2.88,2.96,2.55,2.89,26600
74,2015-11-23,2.96,3.01,2.82,2.98,3500
75,2015-11-24,2.71,3.01,2.71,2.96,5900
76,2015-11-25,2.96,3.03,2.72,2.86,22100
77,2015-11-27,2.86,2.86,2.77,2.77,800
78,2015-11-30,2.75,2.78,2.59,2.69,12300
79,2015-12-01,2.63,2.63,2.4101,2.4101,31305
80,2015-12-02,2.4,2.6058,2.35,2.35,14095
81,2015-12-03,2.38,2.64,2.285,2.54,9819
82,2015-12-04,2.59,2.64,2.4,2.64,2000
83,2015-12-07,2.63,3.24,2.46,2.77,70700
84,2015-12-08,2.8,3.5,2.8,2.95,136624
85,2015-12-09,3.0,3.56,2.95,3.1,61200
86,2015-12-10,3.1,3.1,2.8,3.0,79400
87,2015-12-11,2.87,2.9,2.55,2.58,29900
88,2015-12-14,2.52,2.81,2.388,2.4,39035
89,2015-12-15,2.35,2.4,2.26,2.29,27000
90,2015-12-16,2.25,2.45,2.12,2.19,32700
91,2015-12-17,2.49,2.49,2.21,2.32,51400
92,2015-12-18,2.4,2.43,2.3,2.3,37900
93,2015-12-21,2.4,2.44,2.17,2.26,19800
94,2015-12-22,2.24,2.39,2.2,2.3,11073
95,2015-12-23,2.39,2.45,2.23,2.3,25200
96,2015-12-24,2.4,2.52,2.36,2.47,15065
97,2015-12-28,2.63,2.63,2.358,2.44,18320
98,2015-12-29,2.48,2.63,2.281,2.39,26285
99,2015-12-30,2.4,2.41,2.19,2.22,40109
100,2015-12-31,2.2,2.22,2.01,2.08,78429
101,2016-01-04,2.5,2.5,2.01,2.07,16240
102,2016-01-05,2.0,2.24,1.55,2.09,17797
103,2016-01-06,2.24,2.3,1.95,2.1061,12348
104,2016-01-07,2.02,2.28,1.9199,2.1,43662
105,2016-01-08,2.32,2.32,2.03,2.03,5626
106,2016-01-11,2.1,2.1,1.89,1.93,20786
107,2016-01-12,2.05,2.1,1.93,1.9914,9826
108,2016-01-13,2.05,2.08,1.778,1.7808,38876
109,2016-01-14,1.85,2.05,1.85,1.95,12910
110,2016-01-15,2.0,2.0388,1.61,1.82,34884
