,Date,Open,High,Low,Close,Volume
0,2005-02-25,16.46,16.89,16.46,16.83,874643
1,2005-02-28,16.75,18.3,16.75,17.92,3676074
2,2005-03-01,17.87,19.23,17.86,18.8,3574093
3,2005-03-02,18.68,18.89,18.1,18.28,1709915
4,2005-03-03,18.41,19.31,18.27,18.94,2947206
5,2005-03-04,19.0,19.19,18.65,19.12,1453115
6,2005-03-07,19.02,19.67,18.89,19.47,1746983
7,2005-03-08,19.46,19.9,19.26,19.43,1272321
8,2005-03-09,19.33,19.43,18.32,18.37,1684251
9,2005-03-10,18.38,18.7,18.02,18.58,1064797
10,2005-03-11,18.67,18.77,18.39,18.46,720525
11,2005-03-14,18.46,18.52,17.91,18.35,760781
12,2005-03-15,18.4,18.78,18.17,18.19,819753
13,2005-03-16,17.65,18.78,17.58,18.32,1945524
14,2005-03-17,18.27,18.38,17.92,18.08,904602
15,2005-03-18,18.18,18.24,17.72,17.77,875296
16,2005-03-21,17.95,18.11,17.66,17.86,607835
17,2005-03-22,17.67,18.09,17.6,17.75,733281
18,2005-03-23,17.63,18.14,17.63,17.89,561591
19,2005-03-24,17.98,18.15,17.83,17.84,409450
20,2005-03-28,17.84,18.37,17.7,17.82,1036736
21,2005-03-29,17.81,17.93,17.37,17.4,784058
22,2005-03-30,17.42,17.87,17.41,17.7,637896
23,2005-03-31,17.8,17.8,17.48,17.58,650079
24,2005-04-01,17.6,17.88,17.36,17.73,1546610
25,2005-04-04,17.77,17.81,17.2,17.66,618257
26,2005-04-05,17.8,17.97,17.55,17.67,394414
27,2005-04-06,17.74,17.8,17.64,17.72,569911
28,2005-04-07,17.78,17.8,17.58,17.72,487032
29,2005-04-08,17.68,17.78,17.47,17.59,392263
30,2005-04-11,17.42,17.65,17.26,17.4,543410
31,2005-04-12,17.44,17.59,17.2,17.5,545164
32,2005-04-13,17.46,17.59,17.39,17.47,556674
33,2005-04-14,17.33,17.49,16.5,16.66,1306938
34,2005-04-15,16.52,16.95,16.1,16.16,891171
35,2005-04-18,16.13,16.7,16.08,16.33,739242
36,2005-04-19,16.24,16.88,16.18,16.8,1322994
37,2005-04-20,17.04,17.04,16.65,16.78,1295709
38,2005-04-21,16.8,17.35,16.78,17.3,541612
39,2005-04-22,17.34,17.34,16.86,17.05,634858
40,2005-04-25,16.99,17.18,16.89,17.08,541931
41,2005-04-26,17.23,17.23,16.87,16.92,465364
42,2005-04-27,16.95,17.38,16.42,17.31,1416329
43,2005-04-28,17.5,18.09,17.07,17.2,2198769
44,2005-04-29,17.25,17.4,17.01,17.15,727726
45,2005-05-02,17.06,17.39,16.73,17.14,544649
46,2005-05-03,17.06,17.64,16.83,16.88,993265
47,2005-05-04,16.99,17.15,16.85,17.08,956968
48,2005-05-05,16.96,17.23,16.93,17.12,501920
49,2005-05-06,16.97,17.19,16.97,17.09,322914
50,2005-05-09,17.1,17.15,16.88,17.07,592469
51,2005-05-10,17.08,17.15,16.83,16.89,381613
52,2005-05-11,16.8,16.97,16.63,16.81,848607
53,2005-05-12,16.72,16.88,16.48,16.59,816024
54,2005-05-13,16.51,16.81,16.38,16.65,853847
55,2005-05-16,16.57,17.05,16.47,16.95,664955
56,2005-05-17,16.92,16.92,16.6,16.9,716074
57,2005-05-18,16.74,17.73,16.65,17.54,1462259
58,2005-05-19,17.73,18.07,17.42,17.5,1388170
59,2005-05-20,17.51,17.52,17.1,17.51,730544
60,2005-05-23,17.53,17.85,17.3,17.43,1103550
61,2005-05-24,17.38,17.8,17.3,17.66,454810
62,2005-05-25,17.89,17.89,17.36,17.76,781102
63,2005-05-26,17.86,18.33,17.82,18.28,1464708
64,2005-05-27,18.35,18.73,18.29,18.54,1021574
65,2005-05-31,18.61,18.84,18.39,18.72,999020
66,2005-06-01,18.74,19.15,18.52,19.13,2207188
67,2005-06-02,19.11,20.22,19.11,20.08,2600440
68,2005-06-03,20.18,20.83,19.94,20.6,1686800
69,2005-06-06,20.94,21.1,20.39,20.87,1914442
