,Date,Open,High,Low,Close,Volume
0,2008-01-29,65.4,68.65,62.0,64.95,1316110
1,2008-01-30,66.15,66.25,61.3,65.2,321948
2,2008-01-31,63.7,63.75,61.5,62.55,59761
3,2008-02-01,61.1,66.5,60.6,64.5,117039
4,2008-02-04,65.05,70.95,64.0,68.25,307036
5,2008-02-05,66.7,68.5,65.0,67.3,108106
6,2008-02-06,64.95,67.25,62.5,63.15,185077
7,2008-02-07,60.75,61.75,56.65,58.25,256654
8,2008-02-08,57.95,58.5,55.0,55.5,116203
9,2008-02-11,54.6,58.5,52.75,56.75,145777
10,2008-02-12,57.0,59.25,54.45,55.6,126119
11,2008-02-13,59.9,66.25,57.55,64.75,323065
12,2008-02-14,66.7,68.4,63.05,64.25,304181
13,2008-02-15,61.45,65.7,59.5,60.15,155860
14,2008-02-19,63.15,63.15,57.75,59.0,134040
15,2008-02-20,56.55,57.5,52.75,54.75,217296
16,2008-02-21,55.25,56.0,50.0,50.05,170772
17,2008-02-22,56.15,59.0,52.5,56.5,244019
18,2008-02-25,58.05,59.0,55.1,57.95,65420
19,2008-02-26,56.8,58.0,55.45,56.1,44400
20,2008-02-27,55.95,56.0,53.75,54.55,46745
21,2008-02-28,54.05,54.7,52.4,53.25,23656
22,2008-02-29,52.0,56.4,52.0,53.15,24691
23,2008-03-03,51.0,51.6,48.75,49.2,122850
24,2008-03-04,50.3,51.0,48.8,49.6,46941
25,2008-03-05,50.7,52.3,50.0,50.55,39937
26,2008-03-06,52.3,52.3,49.55,49.55,31170
27,2008-03-07,49.5,51.0,45.1,45.75,53969
28,2008-03-10,47.7,47.7,39.25,39.9,112822
29,2008-03-11,46.4,47.0,40.8,43.4,97162
30,2008-03-12,45.75,46.5,42.85,46.4,108690
31,2008-03-13,44.55,48.0,42.75,47.05,85074
32,2008-03-14,49.65,49.65,43.75,47.4,109377
33,2008-03-17,44.4,47.2,41.0,41.0,81650
34,2008-03-18,43.0,54.25,43.0,52.8,115864
35,2008-03-19,48.9,51.5,41.3,41.75,195939
36,2008-03-20,42.0,44.75,36.8,38.0,164824
37,2008-03-24,39.9,42.0,37.5,40.65,93292
38,2008-03-25,43.75,48.75,43.25,47.25,160003
39,2008-03-26,47.7,49.75,45.65,49.65,102304
40,2008-03-27,50.85,61.45,50.6,61.05,585284
41,2008-03-28,59.25,63.95,52.55,54.15,738450
42,2008-03-31,55.1,57.9,54.85,56.8,129531
43,2008-04-01,56.95,57.1,55.25,55.85,110054
44,2008-04-02,54.9,61.75,54.0,61.2,308321
45,2008-04-03,59.1,62.15,58.0,59.35,198832
46,2008-04-04,58.6,66.05,58.45,64.55,304281
47,2008-04-07,66.3,69.1,58.75,60.1,317883
48,2008-04-08,59.3,62.5,59.25,60.35,117091
49,2008-04-09,61.35,63.0,60.5,62.5,104040
50,2008-04-10,61.25,63.0,59.25,61.7,88781
51,2008-04-11,60.05,64.75,59.25,63.45,137882
52,2008-04-14,62.25,66.5,61.25,65.25,207709
53,2008-04-15,70.0,75.1,68.95,74.8,560153
54,2008-04-16,75.85,78.95,75.1,77.35,402465
55,2008-04-17,80.0,84.95,71.75,75.4,668819
56,2008-04-18,77.95,83.0,75.5,82.65,397502
57,2008-04-21,84.95,94.25,84.45,94.2,806842
58,2008-04-22,91.0,92.7,85.55,91.0,567446
59,2008-04-23,90.25,92.5,87.5,87.85,368443
60,2008-04-24,86.4,90.0,81.5,86.35,434725
61,2008-04-25,87.55,92.5,85.05,91.7,292050
62,2008-04-28,91.8,92.7,86.75,87.9,393658
63,2008-04-29,85.75,87.9,82.1,82.5,354321
64,2008-04-30,84.75,87.35,82.55,83.75,454692
65,2008-05-01,85.15,85.5,76.8,78.1,405348
66,2008-05-02,81.25,82.5,79.25,79.75,196223
67,2008-05-05,81.85,87.65,79.5,86.4,326090
68,2008-05-06,86.4,92.8,86.4,91.25,531934
69,2008-05-07,90.45,91.4,85.05,85.25,352591
70,2008-05-08,87.3,89.25,85.4,87.15,211720
71,2008-05-09,88.1,97.5,87.15,97.45,588640
72,2008-05-12,95.6,97.5,92.65,94.15,664717
73,2008-05-13,96.25,109.5,96.25,108.35,1443203
74,2008-05-14,117.4,122.5,108.85,111.5,2443464
75,2008-05-15,116.35,134.25,113.45,131.05,1596835
76,2008-05-16,128.85,133.7,124.55,130.2,1155457
77,2008-05-19,132.35,147.4,127.15,139.0,1741914
78,2008-05-20,134.0,139.0,132.0,135.4,766534
79,2008-05-21,137.9,143.15,125.8,127.5,847206
80,2008-05-22,129.3,130.85,107.5,114.45,1266828
81,2008-05-23,116.0,121.25,111.25,120.5,616482
82,2008-05-27,120.45,126.2,114.55,125.6,602216
83,2008-05-28,126.4,133.6,122.75,132.25,467742
84,2008-05-29,129.5,132.2,114.15,117.25,815538
85,2008-05-30,125.0,129.25,122.5,125.4,617740
86,2008-06-02,116.75,122.5,114.5,117.95,652615
87,2008-06-03,120.15,125.15,117.95,120.45,409771
88,2008-06-04,118.6,119.7,114.75,115.3,285167
89,2008-06-05,117.35,124.95,116.5,121.75,619540
90,2008-06-06,121.2,129.8,114.75,114.8,1044487
91,2008-06-09,117.5,118.7,95.1,102.8,1459601
92,2008-06-10,100.8,101.0,95.9,98.25,659029
93,2008-06-11,100.2,102.65,95.0,95.0,689597
94,2008-06-12,97.4,99.95,81.65,86.1,1128124
95,2008-06-13,85.45,91.25,82.8,89.0,1130699
96,2008-06-16,92.2,101.3,88.8,100.0,867911
97,2008-06-17,102.1,109.45,101.7,103.85,1352595
98,2008-06-18,101.9,109.5,99.15,107.45,1633349
99,2008-06-19,109.85,116.4,108.0,110.75,1090945
100,2008-06-20,107.5,109.5,102.5,104.35,629374
101,2008-06-23,105.3,109.1,104.35,105.9,506122
102,2008-06-24,104.3,105.5,94.15,98.25,996978
103,2008-06-25,99.55,101.4,94.25,95.35,684573
104,2008-06-26,93.1,93.95,85.9,86.7,931448
105,2008-06-27,89.0,92.25,84.25,91.85,1103364
106,2008-06-30,91.3,93.15,86.1,86.5,472497
107,2008-07-01,82.8,84.55,77.4,78.8,945593
108,2008-07-02,75.5,76.95,68.3,69.5,1216952
109,2008-07-03,70.6,71.3,60.1,65.8,806879
110,2008-07-07,66.75,72.2,63.5,66.5,986981
111,2008-07-08,64.85,68.55,63.45,66.45,533366
112,2008-07-09,69.05,72.8,67.15,67.9,786382
113,2008-07-10,68.85,71.8,65.15,70.25,712539
114,2008-07-11,69.9,76.0,67.55,75.1,842252
115,2008-07-14,79.0,79.6,75.75,77.2,654725
116,2008-07-15,75.2,79.65,71.05,76.6,539597
117,2008-07-16,79.5,84.5,78.0,84.5,682543
118,2008-07-17,86.45,88.5,78.3,79.45,765320
119,2008-07-18,80.0,85.8,78.5,83.5,467335
120,2008-07-21,86.2,87.25,82.85,83.2,370477
121,2008-07-22,81.55,82.5,77.45,79.5,333497
122,2008-07-23,79.3,81.2,78.6,79.3,194879
123,2008-07-24,79.9,80.0,70.9,72.75,357467
124,2008-07-25,73.0,74.25,69.35,72.75,268565
125,2008-07-28,74.2,75.45,71.9,72.5,160079
126,2008-07-29,72.6,83.1,72.0,81.7,449771
127,2008-07-30,83.85,84.4,76.35,78.2,526118
128,2008-07-31,81.0,82.45,77.55,78.85,310641
129,2008-08-01,78.75,79.6,75.75,76.65,175540
130,2008-08-04,77.7,77.7,72.5,73.2,230787
131,2008-08-05,73.75,74.55,70.5,74.05,201398
132,2008-08-06,74.05,77.3,73.5,75.8,180017
133,2008-08-07,76.3,77.8,73.5,74.3,165206
134,2008-08-08,74.6,74.6,67.5,69.5,342296
135,2008-08-11,69.25,70.45,67.75,69.05,210912
136,2008-08-12,72.65,79.0,72.55,78.95,528777
137,2008-08-13,77.35,83.5,74.6,82.7,393825
138,2008-08-14,83.85,86.65,81.55,83.3,386548
139,2008-08-15,85.4,91.5,85.0,90.65,644126
140,2008-08-18,95.0,95.85,87.55,89.65,846209
141,2008-08-19,87.25,90.85,85.2,87.45,994278
142,2008-08-20,90.2,96.8,89.35,95.55,1088823
143,2008-08-21,94.55,98.4,91.75,92.95,608381
144,2008-08-22,95.5,95.5,89.35,94.7,475557
145,2008-08-25,95.85,98.5,92.9,95.05,413261
146,2008-08-26,93.95,94.4,88.5,89.15,365161
147,2008-08-27,87.7,94.25,85.15,92.05,600152
148,2008-08-28,93.0,94.25,90.5,93.0,239379
149,2008-08-29,94.4,97.5,93.0,94.75,390093
150,2008-09-02,92.6,93.7,83.25,85.15,531615
151,2008-09-03,83.95,84.95,78.5,80.5,495494
152,2008-09-04,80.5,81.75,74.55,76.4,443768
153,2008-09-05,74.25,77.45,72.0,76.7,360869
154,2008-09-08,80.95,81.1,72.05,72.85,429571
155,2008-09-09,71.85,72.05,64.8,65.6,527576
156,2008-09-10,65.65,68.0,61.8,65.55,746674
157,2008-09-11,63.55,67.3,58.8,66.6,593002
158,2008-09-12,67.0,70.7,64.9,69.5,354114
159,2008-09-15,64.1,69.0,62.0,63.35,361182
160,2008-09-16,61.3,65.5,58.4,65.5,460381
161,2008-09-17,65.35,67.4,60.0,62.8,390367
162,2008-09-18,64.25,66.95,60.1,66.0,458301
163,2008-09-19,71.0,72.75,67.65,72.75,526754
164,2008-09-22,72.15,73.9,67.8,67.8,315445
165,2008-09-23,68.7,70.3,64.7,64.95,300098
166,2008-09-24,68.8,69.9,66.0,66.0,395488
167,2008-09-25,66.55,70.95,65.6,70.35,308222
168,2008-09-26,66.55,68.4,65.05,66.8,245178
169,2008-09-29,65.0,65.05,47.5,47.5,668598
170,2008-09-30,51.85,53.45,49.15,52.45,444133
171,2008-10-01,55.55,58.5,53.9,56.15,341972
172,2008-10-02,57.3,57.7,48.8,49.55,381969
173,2008-10-03,50.7,54.35,48.5,48.5,318180
174,2008-10-06,45.15,45.55,37.55,42.8,717687
175,2008-10-07,41.05,42.35,33.5,34.3,624272
176,2008-10-08,33.25,39.15,30.4,36.55,608918
177,2008-10-09,38.85,41.45,32.5,34.1,409810
178,2008-10-10,31.25,36.4,29.25,35.65,448628
179,2008-10-13,40.0,41.05,36.85,41.05,375417
180,2008-10-14,43.25,44.9,36.65,37.9,412724
181,2008-10-15,35.5,36.85,31.6,31.6,267806
182,2008-10-16,33.0,36.2,30.7,35.6,333878
183,2008-10-17,35.0,39.6,34.15,36.95,351335
184,2008-10-20,39.2,39.8,37.1,39.0,224960
185,2008-10-21,38.7,39.0,36.25,36.5,240608
186,2008-10-22,35.55,35.55,31.5,32.8,300116
187,2008-10-23,32.5,33.65,28.35,29.95,317016
188,2008-10-24,26.8,28.2,24.7,24.7,574455
189,2008-10-27,24.5,25.3,22.5,23.55,362725
190,2008-10-28,25.5,25.9,21.65,22.45,423109
191,2008-10-29,23.35,25.85,23.0,24.35,764326
192,2008-10-30,26.95,30.0,25.55,29.8,579458
193,2008-10-31,29.3,32.5,28.0,31.4,325954
194,2008-11-03,37.0,39.75,35.9,37.85,807915
195,2008-11-04,42.0,45.0,41.0,44.1,784706
196,2008-11-05,42.5,42.5,35.35,36.3,676718
197,2008-11-06,34.4,35.0,30.5,31.95,492615
198,2008-11-07,34.35,36.6,33.55,34.85,366364
199,2008-11-10,39.1,39.5,31.3,32.55,524523
200,2008-11-11,31.4,31.9,28.6,29.95,504504
201,2008-11-12,27.95,27.95,17.1,17.35,2157204
202,2008-11-13,19.5,22.55,17.65,22.55,1078740
203,2008-11-14,21.3,23.35,20.55,21.75,571629
204,2008-11-17,20.85,22.5,20.05,20.55,419489
205,2008-11-18,17.7,19.95,14.6,16.75,1215066
206,2008-11-19,15.5,15.95,12.5,12.6,944348
207,2008-11-20,11.4,14.7,10.3,11.05,670534
208,2008-11-21,12.85,13.15,10.6,11.75,451684
209,2008-11-24,13.15,14.9,12.55,13.95,665995
210,2008-11-25,14.9,15.6,12.75,14.75,415194
211,2008-11-26,13.65,17.7,13.6,15.95,754265
212,2008-11-28,16.1,18.25,16.1,17.35,284359
213,2008-12-01,16.1,16.1,13.55,13.6,349629
214,2008-12-02,14.5,16.0,13.7,15.65,297299
215,2008-12-03,14.7,17.1,14.35,16.4,390742
216,2008-12-04,15.85,16.9,14.5,14.95,382227
217,2008-12-05,14.5,16.15,13.8,16.15,225399
218,2008-12-08,16.65,17.25,15.1,15.5,512954
219,2008-12-09,15.15,16.15,14.75,14.85,267752
220,2008-12-10,15.7,15.8,15.0,15.75,281558
221,2008-12-11,15.65,18.6,15.35,16.4,561297
222,2008-12-12,14.85,16.1,14.4,16.0,262162
223,2008-12-15,16.35,16.9,15.4,15.9,178708
224,2008-12-16,15.65,17.8,15.65,16.6,216046
225,2008-12-17,16.35,18.85,16.0,18.15,499654
226,2008-12-18,19.2,19.2,16.25,16.7,313172
227,2008-12-19,16.25,20.0,16.0,20.0,291303
228,2008-12-22,18.95,18.95,15.95,18.1,207994
229,2008-12-23,17.55,18.55,17.05,17.6,128232
230,2008-12-24,17.5,17.85,16.65,17.25,72090
231,2008-12-26,17.9,18.0,16.75,17.25,63842
232,2008-12-29,17.15,18.5,17.05,18.15,260149
233,2008-12-30,18.5,26.4,18.35,24.3,1192261
234,2008-12-31,24.3,25.4,22.05,22.05,456204
235,2009-01-02,21.65,25.15,21.5,24.3,472016
236,2009-01-05,25.0,28.0,24.2,25.75,867993
237,2009-01-06,24.9,26.7,23.75,25.65,498081
238,2009-01-07,24.35,24.9,23.6,24.35,306540
239,2009-01-08,23.4,25.35,22.85,23.85,421536
240,2009-01-09,24.6,25.2,23.15,23.95,341071
241,2009-01-12,24.05,24.05,20.0,20.7,414311
242,2009-01-13,19.65,20.65,18.55,19.15,348391
243,2009-01-14,18.3,18.3,16.65,17.55,264846
244,2009-01-15,17.5,19.35,16.25,18.7,306309
245,2009-01-16,20.0,20.0,17.55,19.05,206404
246,2009-01-20,18.6,19.35,17.0,17.05,223811
247,2009-01-21,17.25,18.15,16.0,17.25,255951
248,2009-01-22,17.25,17.7,16.1,17.45,107270
249,2009-01-23,16.3,18.45,16.2,16.65,307043
250,2009-01-26,16.9,17.95,16.35,16.95,161875
251,2009-01-27,17.75,18.5,17.3,17.95,167598
252,2009-01-28,18.5,19.75,18.2,19.25,244426
253,2009-01-29,18.85,18.95,17.75,17.85,155266
254,2009-01-30,17.75,19.3,17.5,18.4,166248
255,2009-02-02,17.5,18.25,17.05,17.6,76918
256,2009-02-03,17.85,18.25,17.5,17.9,76582
257,2009-02-04,18.35,19.1,17.55,17.9,154022
258,2009-02-05,18.1,18.7,17.85,18.2,84632
259,2009-02-06,18.5,19.3,18.3,19.15,170588
260,2009-02-09,19.0,20.35,19.0,20.0,253103
261,2009-02-10,20.0,21.05,18.05,18.2,251490
262,2009-02-11,18.45,18.85,17.0,18.1,150547
263,2009-02-12,17.45,17.8,16.75,17.2,178332
264,2009-02-13,17.9,17.9,17.2,17.9,98912
265,2009-02-17,17.0,17.0,15.7,15.8,184227
266,2009-02-18,16.55,16.55,14.2,14.2,162705
267,2009-02-19,15.0,15.0,12.5,12.8,197848
268,2009-02-20,12.15,12.4,11.05,11.85,201038
269,2009-02-23,13.15,13.7,11.25,11.4,208388
270,2009-02-24,12.1,14.35,11.75,13.55,252539
271,2009-02-25,13.25,13.25,11.8,12.65,148869
272,2009-02-26,12.65,13.15,11.8,12.1,110796
273,2009-02-27,11.6,12.5,11.45,12.1,104582
274,2009-03-02,12.0,12.3,10.95,11.05,215689
275,2009-03-03,11.7,12.9,11.3,11.6,169501
276,2009-03-04,12.3,12.9,12.05,12.2,126611
277,2009-03-05,12.05,12.1,10.5,10.9,164621
278,2009-03-06,11.3,11.4,10.1,10.6,147628
279,2009-03-09,10.7,11.25,10.4,10.6,117191
280,2009-03-10,11.1,12.0,10.8,11.8,180468
281,2009-03-11,12.0,12.5,11.0,11.35,135738
282,2009-03-12,11.35,11.6,10.75,11.5,165168
283,2009-03-13,11.5,12.4,10.75,11.3,195048
284,2009-03-16,11.65,11.9,10.7,10.7,181812
285,2009-03-17,11.05,11.25,10.35,11.05,134446
286,2009-03-18,11.25,11.6,10.75,11.4,145929
287,2009-03-19,11.75,14.25,11.7,13.75,394168
288,2009-03-20,13.3,13.7,11.75,11.75,301207
289,2009-03-23,13.0,14.2,12.5,13.85,269749
290,2009-03-24,13.65,14.5,12.8,13.6,172555
291,2009-03-25,13.75,14.85,12.5,13.15,228166
292,2009-03-26,13.8,18.65,13.75,18.5,1176646
293,2009-03-27,17.8,19.6,17.05,18.5,637282
294,2009-03-30,16.75,17.95,16.1,17.3,351442
295,2009-03-31,17.5,20.0,16.0,20.0,632720
296,2009-04-01,18.9,19.75,18.3,19.75,435385
297,2009-04-02,20.0,20.95,19.05,19.9,470149
298,2009-04-03,19.25,19.85,18.1,19.2,197201
299,2009-04-06,18.5,20.55,17.9,20.0,314201
300,2009-04-07,19.35,19.35,18.0,18.5,171199
301,2009-04-08,19.05,19.2,17.7,18.6,133755
302,2009-04-09,19.25,19.85,19.1,19.1,188993
303,2009-04-13,18.85,19.15,17.75,18.35,329524
304,2009-04-14,18.4,19.7,17.75,18.5,430850
305,2009-04-15,18.4,18.4,17.35,17.5,285270
306,2009-04-16,17.35,18.05,16.75,17.7,322977
307,2009-04-17,17.25,17.45,16.1,16.6,325514
308,2009-04-20,16.2,16.2,14.3,14.5,365296
309,2009-04-21,14.95,15.65,14.5,15.4,340314
310,2009-04-22,15.3,16.65,15.1,15.65,212581
311,2009-04-23,16.5,16.65,15.05,15.5,249733
312,2009-04-24,15.35,16.35,15.1,15.4,205790
313,2009-04-27,15.15,16.15,14.75,15.7,227913
