,Date,Open,High,Low,Close,Volume
0,2009-12-17,27.467,27.467,27.448,27.467,11555
1,2009-12-18,27.514,27.514,27.413,27.467,52943
2,2009-12-21,27.34,27.394,27.285,27.359,183809
3,2009-12-22,27.376,27.376,27.257,27.257,115039
4,2009-12-23,27.285,27.285,27.138,27.175,56440
5,2009-12-24,27.129,27.204,27.129,27.194,5978
6,2009-12-28,27.175,27.185,27.147,27.156,7035
7,2009-12-29,27.166,27.166,27.083,27.138,12085
8,2009-12-30,27.194,27.194,27.067,27.102,28449
9,2009-12-31,27.102,27.138,27.083,27.138,14889
10,2010-01-04,27.156,27.156,27.083,27.129,64002
11,2010-01-05,27.102,27.147,27.102,27.138,73454
12,2010-01-06,27.025,27.156,27.025,27.156,59578
13,2010-01-07,27.175,27.175,27.043,27.156,61285
14,2010-01-08,27.156,27.185,27.112,27.156,81869
15,2010-01-11,27.238,27.238,27.175,27.213,57961
16,2010-01-12,27.185,27.204,27.175,27.204,15252
17,2010-01-13,27.156,27.185,27.147,27.156,123303
18,2010-01-14,27.194,27.194,27.129,27.156,21128
19,2010-01-15,27.194,27.204,27.156,27.175,27169
20,2010-01-19,27.267,27.267,27.185,27.194,53183
21,2010-01-20,27.204,27.204,27.112,27.175,49877
22,2010-01-21,27.204,27.213,27.175,27.213,15568
23,2010-01-22,27.238,27.238,27.22,27.238,20598
24,2010-01-25,27.229,27.247,27.22,27.238,218749
25,2010-01-26,27.238,27.238,27.194,27.229,8960
26,2010-01-27,27.229,27.229,27.185,27.194,18492
27,2010-01-28,27.147,27.175,27.06,27.138,68564
28,2010-01-29,27.093,27.166,27.093,27.166,16928
29,2010-02-01,27.156,27.156,27.102,27.156,12067
30,2010-02-02,27.156,27.175,27.102,27.156,198979
31,2010-02-03,27.166,27.175,27.102,27.156,189581
32,2010-02-04,27.213,27.213,27.166,27.175,27437
33,2010-02-05,27.22,27.22,27.175,27.194,22946
34,2010-02-08,27.194,27.194,27.129,27.156,23103
35,2010-02-09,27.194,27.194,27.12,27.138,40442
36,2010-02-10,27.185,27.185,27.12,27.138,19448
37,2010-02-11,27.129,27.147,27.112,27.147,64302
38,2010-02-12,27.156,27.175,27.12,27.12,59370
39,2010-02-16,27.185,27.185,27.12,27.147,20981
40,2010-02-17,27.156,27.156,27.12,27.138,154037
41,2010-02-18,27.147,27.147,27.112,27.129,23233
42,2010-02-19,27.129,27.129,27.06,27.102,17764
43,2010-02-22,27.147,27.166,27.083,27.138,29166
44,2010-02-23,27.138,27.204,27.138,27.185,138814
45,2010-02-24,27.166,27.175,27.147,27.175,45608
46,2010-02-25,27.185,27.185,27.156,27.185,11608
47,2010-02-26,27.194,27.194,27.166,27.175,29128
48,2010-03-01,27.204,27.213,27.185,27.194,64718
49,2010-03-02,27.22,27.22,27.156,27.175,51166
50,2010-03-03,27.166,27.166,27.147,27.147,20789
51,2010-03-04,27.147,27.147,27.112,27.129,6977
52,2010-03-05,27.112,27.129,27.112,27.129,18837
53,2010-03-08,27.12,27.138,27.083,27.138,25456
54,2010-03-09,27.138,27.166,27.129,27.156,10495
55,2010-03-10,27.147,27.185,27.138,27.156,988384
56,2010-03-11,27.166,27.166,27.129,27.156,12485
57,2010-03-12,27.147,27.147,27.112,27.112,50050
58,2010-03-15,27.102,27.156,27.102,27.156,45659
59,2010-03-16,27.147,27.166,27.112,27.166,41641
60,2010-03-17,27.129,27.175,27.129,27.175,59381
61,2010-03-18,27.185,27.185,27.12,27.156,35648
62,2010-03-19,27.185,27.185,27.138,27.166,38835
63,2010-03-22,27.175,27.175,27.129,27.129,28086
64,2010-03-23,27.156,27.156,27.12,27.156,25468
65,2010-03-24,27.156,27.156,27.102,27.12,55248
66,2010-03-25,27.102,27.129,27.093,27.093,43881
67,2010-03-26,27.093,27.147,27.093,27.138,111028
68,2010-03-29,27.147,27.156,27.12,27.129,84700
69,2010-03-30,27.175,27.175,27.112,27.12,91574
70,2010-03-31,27.156,27.175,27.129,27.156,26274
71,2010-04-01,27.166,27.166,27.129,27.138,165818
72,2010-04-05,27.112,27.112,27.06,27.06,38610
73,2010-04-06,27.12,27.12,27.06,27.102,58318
74,2010-04-07,27.102,27.129,27.083,27.112,35426
75,2010-04-08,27.12,27.147,27.093,27.093,55425
76,2010-04-09,27.12,27.129,27.083,27.129,120025
77,2010-04-12,27.12,27.156,27.102,27.156,40714
78,2010-04-13,27.156,27.166,27.129,27.166,18747
79,2010-04-14,27.175,27.185,27.129,27.175,118664
80,2010-04-15,27.175,27.194,27.138,27.138,34316
81,2010-04-16,27.194,27.22,27.156,27.22,32614
82,2010-04-19,27.238,27.247,27.185,27.204,16676
83,2010-04-20,27.213,27.213,27.156,27.185,39842
84,2010-04-21,27.213,27.213,27.166,27.194,65075
85,2010-04-22,27.204,27.204,27.147,27.175,73205
86,2010-04-23,27.155,27.174,27.128,27.165,30611
87,2010-04-26,27.194,27.194,27.129,27.147,99516
88,2010-04-27,27.166,27.185,27.166,27.185,57310
89,2010-04-28,27.185,27.204,27.147,27.194,330519
90,2010-04-29,27.204,27.204,27.166,27.194,131437
91,2010-04-30,27.22,27.22,27.156,27.194,203567
92,2010-05-03,27.185,27.185,27.147,27.147,45316
