,Date,Open,High,Low,Close,Volume
0,2005-11-22,12.073,12.073,12.073,12.073,0
1,2005-11-23,12.073,12.079,12.073,12.073,953360
2,2005-11-25,12.073,12.079,12.073,12.073,145918
3,2005-11-28,12.073,12.079,12.073,12.073,117431
4,2005-11-29,12.073,12.079,12.073,12.073,183682
5,2005-11-30,12.073,12.079,12.073,12.079,197429
6,2005-12-01,12.079,12.079,12.073,12.073,217639
7,2005-12-02,12.073,12.079,12.073,12.073,138799
8,2005-12-05,12.073,12.079,12.073,12.073,161819
9,2005-12-06,12.073,12.079,12.073,12.073,164970
10,2005-12-07,12.073,12.079,12.073,12.073,134659
11,2005-12-08,12.073,12.079,12.073,12.073,203894
12,2005-12-09,12.073,12.079,12.073,12.073,191633
13,2005-12-12,12.073,12.079,12.073,12.073,149730
14,2005-12-13,12.073,12.079,12.073,12.073,152875
15,2005-12-14,12.073,12.079,12.073,12.073,137636
16,2005-12-15,12.073,12.079,12.073,12.073,103850
17,2005-12-16,12.073,12.079,12.073,12.073,126046
18,2005-12-19,12.073,12.073,12.073,12.073,91426
19,2005-12-20,12.073,12.079,11.833,11.833,712375
20,2005-12-21,11.833,11.833,10.753,10.868,716012
21,2005-12-22,10.474,10.621,10.397,10.45,312047
22,2005-12-23,10.414,10.571,10.397,10.536,142278
23,2005-12-27,10.474,10.536,10.301,10.426,330596
24,2005-12-28,10.446,10.446,10.276,10.307,107326
25,2005-12-29,10.288,10.355,10.204,10.324,156849
26,2005-12-30,10.355,10.446,10.24,10.414,495237
27,2006-01-03,10.474,10.505,10.33,10.474,111964
28,2006-01-04,10.494,10.674,10.494,10.656,88777
29,2006-01-05,10.627,10.656,10.536,10.607,111305
30,2006-01-06,10.668,10.802,10.645,10.71,96230
31,2006-01-09,10.71,10.83,10.71,10.758,88115
32,2006-01-10,10.771,10.862,10.748,10.862,65092
33,2006-01-11,10.806,10.886,10.682,10.868,98385
34,2006-01-12,10.868,10.868,10.697,10.748,62775
35,2006-01-13,10.748,10.796,10.645,10.688,60787
36,2006-01-17,10.627,10.656,10.446,10.56,136809
37,2006-01-18,10.5,10.583,10.488,10.571,65092
38,2006-01-19,10.578,10.645,10.553,10.583,81158
39,2006-01-20,10.553,10.602,10.446,10.505,98550
40,2006-01-23,10.505,10.59,10.505,10.571,76024
41,2006-01-24,10.553,10.638,10.536,10.627,70724
42,2006-01-25,10.656,10.71,10.627,10.638,79670
43,2006-01-26,10.632,10.71,10.59,10.597,82650
44,2006-01-27,10.59,10.692,10.548,10.692,73870
45,2006-01-30,10.692,10.814,10.607,10.771,175567
46,2006-01-31,10.784,10.802,10.661,10.736,90764
47,2006-02-01,10.777,10.79,10.682,10.784,81820
48,2006-02-02,10.716,10.83,10.716,10.802,72381
49,2006-02-03,10.784,10.838,10.723,10.748,58304
50,2006-02-06,10.729,10.802,10.697,10.753,64432
51,2006-02-07,10.716,10.771,10.632,10.632,88278
52,2006-02-08,10.645,10.723,10.583,10.682,123891
53,2006-02-09,10.627,10.697,10.59,10.638,148571
54,2006-02-10,10.645,10.656,10.548,10.645,111469
55,2006-02-13,10.5,10.645,10.494,10.59,106333
56,2006-02-14,10.53,10.656,10.53,10.59,87622
57,2006-02-15,10.614,10.682,10.59,10.607,61118
58,2006-02-16,10.627,10.825,10.583,10.825,87781
59,2006-02-17,10.806,10.825,10.645,10.802,128528
60,2006-02-21,10.742,10.862,10.736,10.838,104680
61,2006-02-22,10.796,10.85,10.777,10.85,89438
62,2006-02-23,10.838,10.855,10.806,10.814,78175
63,2006-02-24,10.85,10.85,10.763,10.814,90103
64,2006-02-27,10.814,10.85,10.796,10.83,117763
65,2006-02-28,10.838,10.862,10.806,10.83,163148
66,2006-03-01,10.855,10.878,10.814,10.868,107991
67,2006-03-02,10.845,10.911,10.79,10.802,97553
68,2006-03-03,10.806,10.917,10.763,10.838,106002
69,2006-03-06,10.855,10.886,10.79,10.83,83974
70,2006-03-07,10.845,10.845,10.771,10.845,81326
71,2006-03-08,10.83,10.862,10.748,10.825,104346
72,2006-03-09,10.825,10.886,10.771,10.818,82152
73,2006-03-10,10.818,10.868,10.818,10.862,63600
74,2006-03-13,10.79,10.845,10.736,10.777,81820
75,2006-03-14,10.753,10.838,10.748,10.748,81659
76,2006-03-15,10.777,10.777,10.716,10.771,89771
77,2006-03-16,10.796,10.85,10.771,10.79,91259
78,2006-03-17,10.79,10.818,10.79,10.818,20538
79,2006-03-20,10.838,10.868,10.771,10.796,105343
80,2006-03-21,10.748,10.838,10.748,10.806,138630
81,2006-03-22,10.806,10.855,10.748,10.818,84469
82,2006-03-23,10.825,10.85,10.784,10.838,87781
83,2006-03-24,10.825,10.838,10.777,10.825,93249
84,2006-03-27,10.814,10.855,10.806,10.806,92258
85,2006-03-28,10.825,10.845,10.729,10.777,149565
86,2006-03-29,10.825,10.892,10.758,10.878,114282
87,2006-03-30,10.878,10.892,10.845,10.878,95900
88,2006-03-31,10.878,10.939,10.874,10.939,120248
89,2006-04-03,10.922,11.06,10.892,10.97,171926
90,2006-04-04,10.982,11.026,10.928,10.994,79994
91,2006-04-05,10.994,11.055,10.952,10.987,69896
92,2006-04-06,10.987,11.006,10.939,10.965,50021
93,2006-04-07,10.965,11.0,10.936,10.952,50847
94,2006-04-10,10.936,10.965,10.878,10.886,76190
95,2006-04-11,10.814,10.83,10.729,10.729,58135
96,2006-04-12,10.736,10.763,10.661,10.748,72711
97,2006-04-13,10.729,10.796,10.65,10.753,80329
98,2006-04-17,10.771,10.777,10.578,10.59,102192
99,2006-04-18,10.645,10.656,10.571,10.583,95568
100,2006-04-19,10.59,10.621,10.571,10.621,84639
101,2006-04-20,10.583,10.627,10.5,10.566,127867
102,2006-04-21,10.583,10.688,10.578,10.645,103186
103,2006-04-24,10.578,10.597,10.45,10.566,200245
104,2006-04-25,10.488,10.524,10.414,10.463,176065
105,2006-04-26,10.481,10.542,10.456,10.542,107160
106,2006-04-27,10.524,10.627,10.456,10.597,71221
107,2006-04-28,10.597,10.627,10.571,10.597,50021
108,2006-05-01,10.621,10.682,10.597,10.607,108984
109,2006-05-02,10.627,10.682,10.597,10.602,122564
110,2006-05-03,10.602,10.697,10.597,10.661,59126
111,2006-05-04,10.688,10.736,10.632,10.71,72545
112,2006-05-05,10.742,10.802,10.682,10.784,89110
113,2006-05-08,10.784,10.802,10.716,10.79,91426
114,2006-05-09,10.753,10.818,10.736,10.796,120742
115,2006-05-10,10.771,10.802,10.697,10.763,125545
116,2006-05-11,10.704,10.716,10.566,10.59,101036
117,2006-05-12,10.56,10.578,10.463,10.463,97553
118,2006-05-15,10.42,10.524,10.42,10.456,66750
119,2006-05-16,10.494,10.553,10.42,10.548,68734
120,2006-05-17,10.505,10.511,10.36,10.474,117431
121,2006-05-18,10.481,10.548,10.397,10.441,94907
122,2006-05-19,10.36,10.407,10.281,10.301,159666
123,2006-05-22,10.276,10.312,10.149,10.254,166294
124,2006-05-23,10.281,10.414,10.265,10.294,158178
