,Date,Open,High,Low,Close,Volume
0,2015-03-04,24.736,24.99,24.73,24.99,2331
1,2015-03-05,24.91,24.91,24.8,24.8,200
2,2015-03-06,24.9,24.9,24.8,24.8,1645
3,2015-03-09,24.83,24.9,24.77,24.85,5479
4,2015-03-11,24.89,24.89,24.77,24.77,1000
5,2015-03-12,24.87,24.87,24.72,24.72,3276
6,2015-03-13,24.75,24.75,24.62,24.67,1713
7,2015-03-16,24.77,24.77,24.579,24.63,13394
8,2015-03-17,24.7,24.7,24.6,24.6,3702
9,2015-03-18,24.56,24.6,24.42,24.51,6100
10,2015-03-19,24.459,24.58,24.42,24.51,2700
11,2015-03-20,24.46,24.63,24.45,24.63,600
12,2015-03-24,24.65,24.65,24.65,24.65,200
13,2015-03-25,24.5,24.57,24.5,24.54,2700
14,2015-03-26,24.5,24.6,24.5,24.59,8674
15,2015-03-27,24.63,24.65,24.59,24.62,7629
16,2015-03-30,24.619,24.619,24.58,24.58,200
17,2015-03-31,24.61,24.66,24.561,24.66,780
18,2015-04-07,24.455,24.596,24.455,24.596,660
19,2015-04-08,24.66,24.71,24.64,24.664,2666
20,2015-04-09,24.4,24.84,24.4,24.71,2401
21,2015-04-10,24.53,24.75,24.53,24.75,800
22,2015-04-13,24.7,24.79,24.7,24.7,1527
23,2015-04-14,24.73,24.8,24.7,24.7,6998
24,2015-04-15,24.745,24.79,24.73,24.73,6100
25,2015-04-16,24.72,24.72,24.7,24.7,359
26,2015-04-20,24.51,24.69,24.51,24.6,1900
27,2015-04-21,24.51,24.65,24.5,24.54,5063
28,2015-04-22,24.6,24.6,24.6,24.6,1000
29,2015-04-23,24.39,24.64,24.39,24.64,1533
30,2015-04-24,24.68,24.68,24.19,24.35,8722
31,2015-04-27,24.35,24.89,24.35,24.59,23616
32,2015-04-28,24.78,24.86,24.78,24.85,2973
33,2015-04-29,24.85,24.87,24.69,24.77,18579
34,2015-04-30,24.83,24.85,24.76,24.77,3010
35,2015-05-01,24.76,24.77,24.55,24.55,8096
36,2015-05-04,24.67,24.88,24.67,24.717,7600
37,2015-05-05,24.8,24.85,24.8,24.85,5912
38,2015-05-06,24.85,24.86,24.67,24.67,4190
39,2015-05-07,24.71,24.71,24.62,24.62,200
40,2015-05-08,24.69,24.69,24.69,24.69,500
41,2015-05-11,24.621,24.621,24.621,24.621,100
42,2015-05-12,24.67,24.85,24.67,24.85,11115
43,2015-05-13,24.84,24.84,24.72,24.74,2968
44,2015-05-14,24.65,24.65,24.54,24.54,400
45,2015-05-15,24.67,24.71,24.54,24.55,5200
46,2015-05-18,24.51,24.67,24.5,24.64,3425
47,2015-05-19,24.47,24.62,24.46,24.57,8763
48,2015-05-20,24.6,24.65,24.55,24.55,1300
49,2015-05-21,24.55,24.86,24.55,24.66,6711
50,2015-05-22,24.64,24.7,24.64,24.7,400
51,2015-05-26,24.8,25.3,24.8,25.1,25709
52,2015-05-27,25.18,25.18,25.1,25.18,2948
53,2015-05-28,24.9,24.9,24.78,24.78,1700
54,2015-05-29,24.56,24.665,24.56,24.665,200
55,2015-06-01,24.62,24.83,24.62,24.77,6110
56,2015-06-03,24.664,24.664,24.664,24.664,100
57,2015-06-05,24.999,24.999,24.8,24.8,200
58,2015-06-10,24.839,24.839,24.816,24.816,500
59,2015-06-11,24.82,24.82,24.81,24.82,600
60,2015-06-12,24.82,24.82,24.768,24.82,4600
61,2015-06-15,24.89,24.89,24.664,24.84,2762
62,2015-06-16,24.89,24.89,24.81,24.81,569
63,2015-06-17,24.86,24.86,24.72,24.84,902
64,2015-06-18,24.78,24.78,24.78,24.78,300
