,Date,Open,High,Low,Close,Volume
0,2005-02-25,11.399,11.686,11.353,11.671,175627
1,2005-02-28,11.789,11.789,11.635,11.692,78908
2,2005-03-01,11.824,11.866,11.501,11.64,103916
3,2005-03-02,11.712,11.809,11.645,11.671,76553
4,2005-03-03,11.794,12.076,11.768,11.768,144929
5,2005-03-04,11.989,11.989,11.804,11.927,56744
6,2005-03-07,11.953,12.107,11.671,11.681,68718
7,2005-03-08,11.83,11.87,11.671,11.676,96658
8,2005-03-09,11.773,11.891,11.676,11.768,55964
9,2005-03-10,11.784,11.891,11.671,11.743,77776
10,2005-03-11,11.784,11.891,11.666,11.676,78119
11,2005-03-14,11.84,12.25,11.789,12.153,198332
12,2005-03-15,12.184,12.204,11.917,11.917,80418
13,2005-03-16,11.917,12.173,11.917,12.142,118357
14,2005-03-17,12.26,12.291,11.861,11.942,139707
15,2005-03-18,12.096,12.096,11.671,11.671,131570
16,2005-03-21,11.85,12.039,11.753,11.753,112712
17,2005-03-22,11.891,11.942,11.692,11.732,56906
18,2005-03-23,11.799,11.912,11.747,11.747,24760
19,2005-03-24,11.876,11.896,11.666,11.692,33948
20,2005-03-28,11.835,11.917,11.815,11.87,30939
21,2005-03-29,11.917,11.917,11.558,11.645,41934
22,2005-03-30,11.692,11.799,11.558,11.712,53574
23,2005-03-31,11.784,11.794,11.655,11.738,89409
24,2005-04-01,11.732,11.794,11.312,11.348,66277
25,2005-04-04,11.302,11.563,11.302,11.517,33804
26,2005-04-05,11.569,11.569,11.399,11.563,33569
27,2005-04-06,11.671,12.162,11.455,11.912,57776
28,2005-04-07,12.004,12.142,11.84,11.866,38315
29,2005-04-08,11.815,11.815,11.312,11.332,74127
30,2005-04-11,11.317,11.409,10.922,11.174,157565
31,2005-04-12,11.286,11.558,11.051,11.527,67755
32,2005-04-13,11.512,11.532,11.174,11.174,35370
33,2005-04-14,11.168,11.174,10.61,10.656,115019
34,2005-04-15,10.579,10.81,10.559,10.589,79993
35,2005-04-18,10.579,11.158,10.553,10.805,157185
36,2005-04-19,10.799,10.933,10.676,10.733,114971
37,2005-04-20,10.676,10.84,10.384,10.553,164164
38,2005-04-21,10.789,10.814,10.559,10.568,80668
39,2005-04-22,10.702,10.702,10.441,10.553,95683
40,2005-04-25,10.553,10.553,10.415,10.415,40203
41,2005-04-26,10.502,10.502,10.072,10.148,184735
42,2005-04-27,10.199,10.999,10.179,10.994,133761
43,2005-04-28,11.071,11.071,10.333,10.333,233863
44,2005-04-29,10.487,10.487,10.292,10.39,116192
45,2005-05-02,10.292,10.538,10.282,10.492,109715
46,2005-05-03,10.568,10.789,10.502,10.615,113960
47,2005-05-04,10.64,10.64,10.482,10.615,160553
48,2005-05-05,10.666,10.666,10.456,10.656,146987
49,2005-05-06,10.656,10.656,10.553,10.625,34557
50,2005-05-09,10.625,10.687,10.476,10.636,74208
51,2005-05-10,10.748,10.779,10.384,10.476,79706
52,2005-05-11,10.584,10.584,10.23,10.39,124434
53,2005-05-12,10.533,10.533,10.03,10.082,64123
54,2005-05-13,10.021,10.056,9.677,9.78,253688
55,2005-05-16,9.933,9.933,9.503,9.913,145115
56,2005-05-17,9.805,10.072,9.805,10.056,201518
57,2005-05-18,10.092,10.179,10.021,10.087,113639
58,2005-05-19,10.056,10.199,10.056,10.113,58662
59,2005-05-20,10.113,10.113,9.99,10.041,65379
60,2005-05-23,10.041,10.313,9.979,10.159,155087
61,2005-05-24,10.271,10.384,10.164,10.179,35390
62,2005-05-25,10.184,10.399,10.03,10.333,75033
63,2005-05-26,10.302,10.528,10.271,10.502,50840
64,2005-05-27,10.364,10.835,10.364,10.697,93923
65,2005-05-31,10.779,10.779,10.379,10.492,73681
66,2005-06-01,10.364,10.39,10.215,10.369,199621
67,2005-06-02,10.313,10.415,10.313,10.379,83918
68,2005-06-03,10.333,10.333,10.133,10.241,94885
69,2005-06-06,10.174,10.179,10.092,10.144,132242
70,2005-06-07,10.43,10.43,9.933,10.164,171169
71,2005-06-08,10.098,10.364,9.933,9.933,79355
72,2005-06-09,9.933,10.082,9.872,9.933,115781
73,2005-06-10,9.861,10.343,9.861,10.338,64231
74,2005-06-13,10.19,10.19,9.754,10.0,130058
75,2005-06-14,9.944,10.271,9.944,10.225,176544
76,2005-06-15,10.302,11.327,10.256,11.153,365992
77,2005-06-16,11.051,12.285,11.051,11.722,293581
78,2005-06-17,11.635,12.168,11.635,11.973,234298
79,2005-06-20,11.824,11.993,11.348,11.953,132460
80,2005-06-21,11.743,12.408,11.743,11.973,199006
81,2005-06-22,12.184,12.184,11.578,11.763,123522
82,2005-06-23,11.63,11.896,11.578,11.589,151699
83,2005-06-24,11.532,11.804,11.425,11.804,452279
84,2005-06-27,11.563,12.142,11.44,11.953,149333
85,2005-06-28,11.912,12.875,11.907,12.414,232541
86,2005-06-29,12.322,12.537,11.978,12.147,182024
87,2005-06-30,12.168,12.654,12.086,12.193,88641
88,2005-07-01,12.086,12.362,11.973,12.362,65526
89,2005-07-05,12.332,12.65,12.116,12.639,120582
90,2005-07-06,12.665,12.88,12.378,12.511,98181
91,2005-07-07,12.531,12.531,11.768,12.173,74863
92,2005-07-08,11.999,12.076,11.692,11.83,235910
93,2005-07-11,11.676,12.127,11.584,11.599,271715
94,2005-07-12,11.63,11.815,11.501,11.62,146646
95,2005-07-13,11.701,11.707,11.527,11.707,69613
96,2005-07-14,11.763,11.84,11.62,11.768,63126
97,2005-07-15,11.681,12.081,11.681,11.942,119618
98,2005-07-18,11.942,12.039,11.65,12.024,152626
99,2005-07-19,12.322,14.254,12.322,13.721,461069
100,2005-07-20,13.618,14.356,13.557,14.121,416833
101,2005-07-21,14.156,14.351,13.532,13.624,271650
102,2005-07-22,13.506,14.151,13.434,14.116,168121
103,2005-07-25,14.116,14.351,13.947,14.018,189829
104,2005-07-26,14.018,15.341,14.018,14.854,218011
105,2005-07-27,14.915,14.982,13.464,13.844,282536
