,Date,Open,High,Low,Close,Volume
0,2005-02-28,6.1,6.1,6.0,6.0,2000
1,2005-03-03,6.0,6.0,5.5,5.7,3900
2,2005-03-04,5.5,5.7,4.5,4.5,4700
3,2005-03-07,5.0,5.0,4.95,5.0,200
4,2005-03-11,6.0,6.0,6.0,6.0,775
5,2005-03-15,6.0,6.0,6.0,6.0,1200
6,2005-03-16,6.0,6.0,6.0,6.0,4000
7,2005-03-18,6.0,6.0,5.95,5.95,10500
8,2005-03-31,6.0,6.0,5.75,6.0,4600
9,2005-04-04,6.0,6.0,5.0,5.0,435
10,2005-04-05,6.0,6.0,5.0,5.0,1375
11,2005-04-06,5.98,5.98,5.95,5.95,498
12,2005-04-12,5.94,5.94,5.94,5.94,100
13,2005-04-20,5.0,5.94,5.0,5.93,2200
14,2005-04-27,4.5,5.95,4.5,5.93,300
15,2005-06-06,5.25,5.25,4.75,4.75,200
16,2005-06-15,5.95,5.95,5.95,5.95,100
17,2005-07-26,5.95,5.95,5.9,5.95,1979
18,2005-08-08,5.5,5.5,5.0,5.0,41000
19,2005-08-10,4.75,5.0,4.75,5.0,3300
20,2005-08-15,5.0,5.0,5.0,5.0,500
21,2005-08-16,5.0,5.0,5.0,5.0,750
22,2005-08-17,5.0,5.0,5.0,5.0,500
23,2005-08-19,5.5,5.5,5.4,5.4,200
24,2005-08-26,5.5,5.5,5.5,5.5,140
25,2005-09-06,5.95,5.95,5.6,5.75,3200
26,2005-09-15,5.6,5.6,5.6,5.6,1000
27,2005-09-23,5.7,5.7,5.65,5.65,2000
28,2005-09-26,5.65,5.8,5.65,5.75,1900
29,2005-09-27,5.95,5.95,5.6,5.6,1950
30,2005-10-03,5.6,5.6,5.6,5.6,1000
31,2005-10-04,5.0,5.95,5.0,5.95,2900
32,2005-10-07,5.95,5.95,5.95,5.95,500
33,2005-10-12,5.5,5.95,5.5,5.5,2200
34,2005-10-14,5.55,6.0,5.55,5.55,2000
35,2005-10-17,5.8,5.85,5.8,5.85,2000
36,2005-10-18,6.3,6.3,6.25,6.25,3320
37,2005-10-19,6.25,6.5,6.25,6.5,24800
38,2005-10-21,6.5,6.5,6.5,6.5,500
39,2005-10-24,6.5,6.5,6.5,6.5,1500
40,2005-10-28,6.25,6.3,6.25,6.3,1000
41,2005-11-08,6.27,6.35,6.27,6.35,1000
42,2005-11-09,7.0,7.0,6.25,7.0,1300
43,2005-11-18,6.5,6.5,6.5,6.5,300
44,2005-11-22,6.5,7.25,6.5,7.25,1700
45,2005-11-30,6.5,7.5,6.5,7.5,200
46,2005-12-01,6.5,7.0,6.5,6.5,800
47,2005-12-12,6.5,6.5,6.5,6.5,1000
48,2005-12-16,7.0,7.0,6.5,6.5,1500
49,2005-12-19,6.0,7.5,6.0,6.0,4200
50,2005-12-20,6.0,6.0,6.0,6.0,1400
51,2005-12-23,6.0,6.0,6.0,6.0,500
52,2005-12-30,7.5,7.5,7.5,7.5,600
53,2006-01-11,5.0,5.0,5.0,5.0,400
54,2006-01-12,4.5,7.5,4.5,7.5,3250
55,2006-01-13,7.0,7.0,6.75,6.75,900
56,2006-01-18,7.5,7.5,7.5,7.5,4500
57,2006-01-19,8.0,8.0,7.0,8.0,6000
58,2006-01-20,8.5,8.5,8.5,8.5,2500
59,2006-01-23,9.0,9.0,9.0,9.0,500
60,2006-01-24,9.25,9.5,9.25,9.25,2500
61,2006-01-25,9.5,9.75,9.25,9.5,7105
62,2006-01-26,9.5,9.75,9.5,9.75,818
63,2006-01-27,9.75,9.75,9.5,9.5,1000
64,2006-01-31,9.25,9.5,9.25,9.45,3900
65,2006-02-01,9.0,9.0,5.5,9.0,2500
66,2006-02-02,9.0,9.0,9.0,9.0,500
67,2006-02-03,6.75,9.0,6.5,9.0,1900
68,2006-02-06,7.0,9.25,6.5,9.25,3399
69,2006-02-07,6.5,6.5,6.5,6.5,100
70,2006-02-08,7.55,8.05,7.55,8.05,2000
71,2006-02-09,6.75,6.75,6.5,6.5,200
72,2006-02-10,8.05,8.05,7.5,7.5,2000
73,2006-02-13,8.05,8.05,6.5,7.25,1700
74,2006-02-14,8.05,8.05,7.5,7.5,1000
75,2006-02-16,8.05,8.05,7.5,7.5,2050
76,2006-02-17,8.0,8.0,8.0,8.0,1000
77,2006-02-21,8.0,8.0,7.5,7.5,1440
78,2006-02-23,8.0,8.0,7.75,7.75,2000
79,2006-02-28,6.75,7.0,6.75,7.0,600
80,2006-03-07,7.0,8.0,6.5,8.0,500
81,2006-03-08,6.5,6.75,6.5,6.75,1500
82,2006-03-13,6.25,8.0,6.25,8.0,14600
83,2006-03-15,6.25,6.5,6.25,6.5,600
84,2006-03-16,6.25,6.5,6.25,6.25,2700
85,2006-03-17,6.35,6.99,6.35,6.99,1200
86,2006-03-20,6.0,6.95,5.5,6.95,800
87,2006-03-22,7.25,7.25,7.0,7.25,2000
88,2006-03-24,7.25,7.25,7.25,7.25,3500
89,2006-03-29,5.5,6.75,5.5,6.75,600
90,2006-03-30,7.5,7.5,6.75,6.75,2000
91,2006-04-04,6.75,6.75,6.75,6.75,1000
92,2006-04-05,5.5,6.75,5.5,6.75,1000
93,2006-04-06,6.75,7.5,6.75,7.0,4600
94,2006-04-10,5.5,6.75,5.5,6.4,700
95,2006-04-13,5.5,6.75,5.5,6.5,2650
96,2006-04-18,6.75,7.5,6.7,6.7,1200
97,2006-04-20,6.4,6.75,6.4,6.75,1654
98,2006-04-21,6.6,6.75,6.6,6.65,1400
99,2006-04-25,6.75,6.75,6.75,6.75,1000
100,2006-04-27,6.0,6.75,6.0,6.75,6300
101,2006-04-28,6.75,6.75,6.75,6.75,1000
102,2006-05-01,6.5,6.75,6.5,6.75,400
103,2006-05-03,3.0,6.75,3.0,6.5,700
104,2006-05-12,3.75,6.75,3.5,6.75,1300
105,2006-05-16,1.5,6.75,1.5,6.75,200
106,2006-05-17,5.95,6.75,5.5,6.75,500
107,2006-05-18,5.5,6.75,5.5,6.75,600
108,2006-05-19,3.0,6.75,2.75,5.0,3300
109,2006-05-22,5.75,5.75,5.75,5.75,200
110,2006-05-24,3.0,5.0,2.75,5.0,7400
111,2006-05-26,5.0,6.0,4.95,6.0,1300
112,2006-05-31,2.75,6.0,2.0,3.0,800
113,2006-06-01,6.0,6.0,5.0,5.0,1300
114,2006-06-02,5.25,5.25,5.0,5.0,800
115,2006-06-05,5.25,5.25,5.25,5.25,100
116,2006-06-06,5.25,5.25,5.25,5.25,1035
117,2006-06-07,5.25,5.25,5.25,5.25,700
118,2006-06-08,3.0,5.3,3.0,5.25,700
119,2006-06-12,3.0,5.2,3.0,5.2,200
120,2006-06-13,3.0,5.3,3.0,5.3,2400
121,2006-06-14,2.5,5.3,2.0,5.3,3450
122,2006-06-15,2.5,5.3,2.5,5.3,2100
123,2006-06-16,5.25,5.5,5.0,5.5,7700
124,2006-06-19,5.0,5.7,4.0,5.7,3000
125,2006-06-20,6.0,6.0,5.5,5.75,1300
126,2006-06-21,5.5,5.5,5.5,5.5,1100
127,2006-06-22,6.0,6.0,5.75,5.75,2900
128,2006-06-26,5.5,6.5,5.5,6.05,6670
129,2006-06-27,6.5,6.5,6.5,6.5,1000
130,2006-06-28,6.0,6.05,6.0,6.05,2000
131,2006-06-29,6.5,6.5,6.5,6.5,2000
132,2006-06-30,6.75,6.75,6.5,6.5,400
133,2006-07-03,6.75,6.75,6.5,6.5,1800
134,2006-07-06,6.75,6.75,6.75,6.75,2000
135,2006-07-12,6.0,6.75,6.0,6.5,2000
136,2006-07-13,6.0,6.05,6.0,6.05,1000
137,2006-07-14,6.75,6.75,6.5,6.5,200
138,2006-07-17,6.75,7.5,6.7,7.25,9184
139,2006-07-18,7.75,8.0,7.75,8.0,1800
140,2006-07-19,8.0,8.0,7.75,7.75,1525
141,2006-07-20,7.75,8.0,7.75,8.0,1000
142,2006-07-24,6.75,8.0,6.75,8.0,1600
143,2006-07-26,6.75,8.0,6.75,7.5,300
144,2006-07-27,7.25,7.25,6.75,6.75,600
145,2006-07-28,7.5,8.0,7.5,8.0,700
146,2006-08-02,6.75,8.0,6.75,7.5,500
147,2006-08-03,6.5,8.0,6.5,7.75,1800
148,2006-08-11,6.5,7.5,6.5,7.5,1300
149,2006-08-14,6.25,7.5,6.25,7.0,3500
150,2006-08-15,7.5,7.5,7.5,7.5,100
151,2006-08-17,7.25,7.75,7.25,7.75,200
152,2006-08-24,6.75,7.75,6.75,7.75,700
153,2006-08-25,6.75,7.0,6.75,7.0,1300
154,2006-08-28,7.0,7.5,7.0,7.5,200
155,2006-08-29,7.0,7.5,6.75,7.5,1260
156,2006-08-30,7.5,7.5,7.0,7.0,200
157,2006-09-05,6.25,6.75,6.25,6.5,400
158,2006-09-06,7.5,7.5,6.25,7.5,1600
159,2006-09-12,6.5,6.5,6.5,6.5,100
160,2006-09-13,7.5,7.5,7.5,7.5,200
161,2006-09-15,7.5,7.5,7.5,7.5,120
162,2006-09-19,7.49,7.49,7.49,7.49,200
163,2006-09-20,6.25,7.5,6.25,7.5,500
164,2006-09-25,7.5,7.5,6.5,7.5,2000
165,2006-09-28,6.5,7.5,6.5,7.5,700
166,2006-10-03,6.5,7.5,6.5,7.5,700
167,2006-10-10,7.5,7.5,6.5,7.5,1092
168,2006-10-11,6.48,7.5,6.48,7.5,1800
169,2006-10-16,6.25,7.0,6.25,7.0,1800
170,2006-10-25,6.25,6.5,6.25,6.5,400
171,2006-10-30,7.0,7.0,7.0,7.0,500
172,2006-11-02,6.25,6.25,6.25,6.25,500
173,2006-11-03,7.0,7.0,7.0,7.0,100
174,2006-11-06,6.0,6.5,6.0,6.5,638
175,2006-11-08,6.0,6.0,6.0,6.0,1000
176,2006-11-09,6.5,6.5,6.5,6.5,750
177,2006-11-13,6.5,6.5,6.5,6.5,442
178,2006-11-14,6.0,7.0,6.0,6.75,450
179,2006-11-15,6.0,6.5,6.0,6.25,1115
180,2006-11-16,6.0,6.25,6.0,6.25,2000
181,2006-11-20,6.0,6.5,6.0,6.5,700
182,2006-11-22,6.5,6.5,6.25,6.25,200
183,2006-11-27,6.25,6.25,6.25,6.25,1000
184,2006-11-28,6.5,6.5,6.0,6.25,880
185,2006-11-29,6.25,6.5,6.25,6.25,800
186,2006-11-30,6.0,6.5,6.0,6.5,600
