,Date,Open,High,Low,Close,Volume
0,2013-04-11,18.874,18.874,18.796,18.796,77769
1,2013-04-12,18.874,18.874,18.796,18.841,114234
2,2013-04-15,18.874,18.874,18.833,18.865,107477
3,2013-04-16,18.874,18.909,18.865,18.897,137309
4,2013-04-17,18.909,18.918,18.874,18.89,116543
5,2013-04-18,18.986,18.986,18.89,18.909,44881
6,2013-04-19,18.95,18.95,18.893,18.943,82424
7,2013-04-22,18.933,18.933,18.918,18.933,29761
8,2013-04-23,18.962,18.962,18.909,18.943,129656
9,2013-04-24,18.95,18.956,18.918,18.956,160359
10,2013-04-25,18.962,18.962,18.909,18.926,53499
11,2013-04-26,18.95,18.971,18.881,18.956,84065
12,2013-04-29,18.971,19.016,18.95,18.986,55615
13,2013-04-30,18.986,19.063,18.95,19.063,156851
14,2013-05-01,18.962,19.083,18.962,19.083,114611
15,2013-05-02,19.063,19.138,19.024,19.099,376741
16,2013-05-03,19.092,19.099,19.063,19.099,70297
17,2013-05-06,19.329,19.329,19.063,19.161,193481
18,2013-05-07,19.177,19.221,19.063,19.161,185900
19,2013-05-08,19.221,19.29,19.138,19.282,177346
20,2013-05-09,19.313,19.313,19.214,19.214,181317
21,2013-05-10,19.305,19.305,19.214,19.251,649402
22,2013-05-13,19.251,19.32,19.161,19.19,109230
23,2013-05-14,19.099,19.25,19.099,19.108,249298
24,2013-05-15,19.177,19.177,19.099,19.138,92245
25,2013-05-16,19.131,19.177,19.113,19.161,85222
26,2013-05-17,19.177,19.403,19.144,19.223,47589
27,2013-05-20,19.177,19.251,19.177,19.237,58966
28,2013-05-21,19.222,19.243,19.207,19.234,73477
29,2013-05-22,19.229,19.295,19.19,19.261,42399
30,2013-05-23,19.329,19.329,19.122,19.251,84428
31,2013-05-24,19.313,19.329,19.184,19.251,35429
32,2013-05-28,19.403,19.403,19.177,19.251,210573
33,2013-05-29,19.099,19.349,18.962,19.131,540383
34,2013-05-30,19.219,19.326,19.142,19.257,335119
35,2013-05-31,19.288,19.294,19.126,19.142,58440
36,2013-06-03,19.219,19.294,19.071,19.118,90657
37,2013-06-04,19.118,19.18,19.026,19.142,50192
38,2013-06-05,19.219,19.219,18.909,18.987,67811
39,2013-06-06,19.08,19.142,18.956,19.071,17243
40,2013-06-07,19.142,19.219,19.112,19.18,29400
41,2013-06-10,19.18,19.21,18.943,19.064,38727
42,2013-06-11,19.21,19.21,18.754,18.759,47343
43,2013-06-12,19.064,19.064,18.644,18.717,63775
44,2013-06-13,18.742,19.064,18.45,18.644,123544
45,2013-06-14,19.204,19.204,18.909,18.946,29034
46,2013-06-17,18.95,19.142,18.844,18.987,26262
47,2013-06-18,18.987,19.172,18.833,18.987,98098
48,2013-06-19,19.064,19.112,18.909,18.972,36448
49,2013-06-20,18.972,18.98,18.602,18.833,50348
50,2013-06-21,18.644,18.849,18.602,18.759,22490
51,2013-06-24,18.552,18.552,18.142,18.45,18639
52,2013-06-25,18.572,18.827,18.21,18.45,35860
53,2013-06-26,18.822,18.827,18.45,18.488,19921
54,2013-06-27,18.679,18.679,18.526,18.679,36502
55,2013-06-28,19.171,19.171,19.014,19.078,15219
56,2013-07-01,18.833,18.833,18.732,18.833,38036
57,2013-07-02,18.833,19.005,18.82,18.893,29188
58,2013-07-03,18.84,19.026,18.833,18.909,14232
59,2013-07-05,18.833,18.873,18.711,18.873,10977
60,2013-07-08,18.893,19.134,18.893,18.95,38669
61,2013-07-09,18.873,18.98,18.833,18.98,60749
62,2013-07-10,18.918,18.95,18.893,18.902,22189
63,2013-07-11,19.026,19.026,18.849,18.902,36206
64,2013-07-12,18.987,18.987,18.688,18.688,17013
