,Date,Open,High,Low,Close,Volume
0,2005-02-25,17.425,18.252,17.102,18.252,16448
1,2005-02-28,18.27,18.27,17.407,17.553,21936
2,2005-03-01,18.043,18.168,17.562,17.801,7253
3,2005-03-02,17.662,18.218,17.662,18.035,22828
4,2005-03-03,18.14,18.149,17.773,18.14,14471
5,2005-03-04,18.051,18.672,17.929,18.637,8283
6,2005-03-07,18.323,18.672,18.323,18.548,15971
7,2005-03-08,18.548,18.672,18.498,18.498,33544
8,2005-03-09,18.332,18.672,18.332,18.505,7149
9,2005-03-10,18.418,18.848,18.418,18.541,17904
10,2005-03-11,18.41,18.548,18.41,18.41,18179
11,2005-03-14,18.73,18.73,18.41,18.583,15064
12,2005-03-15,18.672,18.698,18.489,18.489,7563
13,2005-03-16,18.418,18.583,18.41,18.41,10514
14,2005-03-17,18.583,18.62,18.41,18.602,21988
15,2005-03-18,18.672,18.672,18.323,18.558,55931
16,2005-03-21,18.323,18.445,18.314,18.314,10352
17,2005-03-22,18.314,18.566,18.14,18.149,13684
18,2005-03-23,18.113,18.305,18.001,18.078,9448
19,2005-03-24,18.35,18.35,17.947,18.113,6967
20,2005-03-28,18.384,18.462,17.956,18.27,32087
21,2005-03-29,18.454,18.454,17.686,17.701,38373
22,2005-03-30,18.14,18.454,17.929,18.192,51266
23,2005-03-31,18.366,18.366,17.902,18.279,44607
24,2005-04-01,18.454,18.454,17.709,17.792,25601
25,2005-04-04,17.764,18.059,17.718,17.876,11739
26,2005-04-05,17.755,18.226,17.668,17.902,22375
27,2005-04-06,18.168,18.168,17.801,17.801,16258
28,2005-04-07,18.051,18.226,17.755,17.912,20196
29,2005-04-08,18.279,18.279,17.81,17.81,11981
30,2005-04-11,17.818,17.818,17.398,17.398,15477
31,2005-04-12,17.352,17.801,17.232,17.662,24715
32,2005-04-13,17.851,17.851,17.362,17.425,15402
33,2005-04-14,17.319,17.501,17.286,17.487,17774
34,2005-04-15,17.468,17.526,17.302,17.389,17049
35,2005-04-18,17.371,17.536,17.333,17.495,20418
36,2005-04-19,17.572,18.158,17.495,18.059,32688
37,2005-04-20,17.544,17.826,17.286,17.517,20087
38,2005-04-21,17.773,18.113,17.352,18.043,16258
39,2005-04-22,18.218,18.218,17.487,17.842,29400
40,2005-04-25,18.122,18.122,17.343,17.468,22884
41,2005-04-26,17.459,17.544,16.935,17.102,10758
42,2005-04-27,17.022,17.495,16.333,17.206,11148
43,2005-04-28,16.996,17.215,16.978,16.978,13927
44,2005-04-29,17.013,17.013,16.254,16.639,23762
45,2005-05-02,16.629,16.787,16.578,16.718,18758
46,2005-05-03,16.787,16.962,16.578,16.744,64678
47,2005-05-04,17.04,17.084,16.664,17.031,32844
48,2005-05-05,16.56,17.242,16.56,17.206,59270
49,2005-05-06,17.294,18.707,16.962,18.192,79462
50,2005-05-09,18.209,18.323,18.043,18.289,10925
51,2005-05-10,18.323,18.323,17.693,17.895,97450
52,2005-05-11,17.81,18.149,17.6,17.737,59885
53,2005-05-12,17.876,18.323,17.553,17.553,56300
54,2005-05-13,17.792,17.792,16.578,16.803,97460
55,2005-05-16,17.013,17.136,16.656,17.136,21989
56,2005-05-17,17.136,17.662,17.013,17.286,15544
57,2005-05-18,17.407,18.401,17.302,18.192,35560
58,2005-05-19,18.235,18.323,17.536,17.826,34276
59,2005-05-20,17.634,17.993,17.326,17.86,8866
60,2005-05-23,17.517,18.226,17.517,18.001,34588
61,2005-05-24,18.158,18.158,17.835,17.956,4801
62,2005-05-25,17.755,17.842,17.277,17.459,34040
63,2005-05-26,17.343,17.966,17.333,17.86,36176
64,2005-05-27,18.252,18.252,17.608,18.149,14049
65,2005-05-31,18.27,18.323,17.591,17.801,18015
66,2005-06-01,17.746,18.314,17.677,18.182,20023
67,2005-06-02,17.947,18.323,17.869,17.869,6964
68,2005-06-03,17.652,18.209,17.544,17.902,10704
69,2005-06-06,17.895,17.895,17.517,17.652,8524
70,2005-06-07,17.86,18.243,17.86,18.026,24724
71,2005-06-08,17.764,18.158,17.764,17.902,27594
72,2005-06-09,17.902,18.059,17.818,18.051,7463
73,2005-06-10,18.059,18.175,18.059,18.059,28560
74,2005-06-13,18.182,18.323,18.131,18.175,26962
75,2005-06-14,18.158,18.41,18.149,18.296,21720
76,2005-06-15,18.279,18.41,18.235,18.41,34137
77,2005-06-16,18.583,18.994,18.35,18.959,10497
78,2005-06-17,18.866,19.195,18.393,18.689,48753
79,2005-06-20,18.784,19.107,18.629,18.932,9000
80,2005-06-21,18.665,19.091,18.558,18.994,11460
81,2005-06-22,19.075,19.107,18.48,18.749,10493
82,2005-06-23,18.758,18.932,18.296,18.41,10009
83,2005-06-24,18.279,18.558,18.103,18.393,115732
84,2005-06-27,18.199,18.489,18.199,18.366,14658
85,2005-06-28,18.366,19.082,18.366,19.075,31754
86,2005-06-29,18.83,19.098,18.401,18.758,28355
87,2005-06-30,18.949,19.666,18.949,19.493,39836
88,2005-07-01,19.368,19.543,19.222,19.258,27134
89,2005-07-05,19.475,20.023,18.471,18.775,61654
90,2005-07-06,18.722,18.74,18.48,18.646,19657
91,2005-07-07,18.454,18.672,18.426,18.602,11410
92,2005-07-08,18.454,18.715,18.454,18.715,20123
93,2005-07-11,18.715,18.967,18.548,18.898,18706
