,Date,Open,High,Low,Close,Volume
0,2013-06-27,11.0,11.09,8.38,8.5,7833067
1,2013-06-28,8.48,9.0,7.9,9.0,1614028
2,2013-07-01,8.94,8.99,8.42,8.6,223431
3,2013-07-02,8.63,8.73,7.7,7.95,347658
4,2013-07-03,7.99,7.99,7.23,7.5,337406
5,2013-07-05,7.5,7.52,7.02,7.12,215726
6,2013-07-08,7.15,7.39,6.83,7.04,178096
7,2013-07-09,7.01,7.08,6.81,6.96,55004
8,2013-07-10,7.07,7.58,7.07,7.55,185994
9,2013-07-11,7.55,8.32,7.18,8.0,230122
10,2013-07-12,8.07,8.2,7.84,7.97,60779
11,2013-07-15,8.25,8.25,7.92,7.96,41576
12,2013-07-16,8.07,8.2,7.91,8.01,99510
13,2013-07-17,8.14,8.17,7.9,8.09,57880
14,2013-07-18,8.02,8.49,8.01,8.41,240895
15,2013-07-19,8.31,8.54,8.28,8.38,184056
16,2013-07-22,8.75,8.85,8.08,8.36,167911
17,2013-07-23,8.67,8.69,8.32,8.47,184833
18,2013-07-24,8.49,8.63,8.49,8.54,62213
19,2013-07-25,8.53,8.79,8.53,8.63,185176
20,2013-07-26,8.58,8.79,8.58,8.67,107218
21,2013-07-29,8.71,8.72,8.4,8.59,62324
22,2013-07-30,8.68,8.68,8.25,8.32,56821
23,2013-07-31,8.39,8.57,8.23,8.37,89153
24,2013-08-01,8.4,8.47,8.18,8.18,58230
25,2013-08-02,8.32,8.32,8.07,8.11,28194
26,2013-08-05,8.09,8.41,8.09,8.14,38843
27,2013-08-06,8.21,8.3,8.0,8.04,145267
28,2013-08-07,8.09,8.3,8.04,8.07,106277
29,2013-08-08,8.13,8.13,7.8,7.94,154391
30,2013-08-09,8.89,8.98,7.94,7.98,241051
31,2013-08-12,8.22,8.22,7.71,7.72,102891
32,2013-08-13,7.79,7.81,7.28,7.32,81783
33,2013-08-14,7.38,7.38,6.56,6.72,286323
34,2013-08-15,6.72,6.77,6.4,6.47,158374
35,2013-08-16,6.53,6.82,6.53,6.74,148794
36,2013-08-19,6.76,6.92,6.25,6.3,72843
37,2013-08-20,6.34,6.84,6.26,6.27,102686
38,2013-08-21,6.34,6.64,6.28,6.6,158626
39,2013-08-22,6.82,7.11,6.8,7.08,102545
40,2013-08-23,7.09,7.46,7.09,7.33,231344
41,2013-08-26,7.35,7.48,6.85,6.94,69530
42,2013-08-27,6.89,7.0,6.55,6.89,147790
43,2013-08-28,6.97,7.86,6.97,7.8,191075
44,2013-08-29,7.87,7.98,7.7,7.81,143758
45,2013-08-30,7.95,8.21,7.9,7.96,229889
46,2013-09-03,8.2,8.21,7.98,8.1,112936
47,2013-09-04,8.19,8.19,8.0,8.11,163724
48,2013-09-05,8.15,8.15,8.06,8.12,75230
49,2013-09-06,8.15,8.6,8.02,8.11,196986
50,2013-09-09,8.2,8.35,8.01,8.11,205984
51,2013-09-10,8.1,8.72,8.05,8.56,239373
52,2013-09-11,8.54,9.47,8.49,9.07,288553
53,2013-09-12,9.14,9.4,8.5,8.5,279945
54,2013-09-13,8.59,9.61,8.59,9.11,267663
55,2013-09-16,9.25,9.51,9.11,9.17,268092
56,2013-09-17,9.33,9.8,9.23,9.51,262687
57,2013-09-18,9.64,10.04,9.48,10.03,252824
58,2013-09-19,10.13,10.26,9.84,10.24,242638
59,2013-09-20,10.29,10.43,9.8,9.8,241829
60,2013-09-23,9.92,10.77,9.81,10.49,238661
61,2013-09-24,10.64,10.73,10.13,10.24,227541
62,2013-09-25,10.25,10.4,9.79,10.04,166001
63,2013-09-26,10.12,10.71,9.98,10.04,209607
64,2013-09-27,10.0,10.05,9.0,9.13,339538
65,2013-09-30,9.12,9.42,8.71,9.23,559539
66,2013-10-01,9.27,9.75,9.27,9.63,177948
67,2013-10-02,9.59,10.1,9.59,10.07,419305
68,2013-10-03,10.08,10.15,9.83,10.01,85707
69,2013-10-04,10.0,10.25,9.86,10.11,173571
70,2013-10-07,10.02,10.2,9.84,10.06,132539
71,2013-10-08,10.09,10.1,9.4,9.7,231630
72,2013-10-09,9.79,10.04,9.55,9.96,107277
73,2013-10-10,10.05,10.45,9.95,10.31,192013
74,2013-10-11,10.26,10.74,10.26,10.64,135964
75,2013-10-14,10.62,10.72,10.35,10.5,38996
76,2013-10-15,10.45,10.84,10.45,10.75,120073
77,2013-10-16,10.74,10.86,10.2,10.38,112447
78,2013-10-17,10.37,10.7,10.26,10.54,90604
79,2013-10-18,10.67,11.09,10.4,11.01,123769
80,2013-10-21,11.04,11.04,10.45,10.6,121613
81,2013-10-22,10.72,10.72,10.41,10.51,60693
82,2013-10-23,10.45,10.66,10.43,10.54,53325
83,2013-10-24,10.58,10.84,10.46,10.51,53770
84,2013-10-25,10.54,10.58,10.22,10.35,72228
85,2013-10-28,10.33,10.67,10.21,10.55,120958
86,2013-10-29,10.55,10.67,9.64,9.79,100100
87,2013-10-30,9.77,9.81,8.85,9.17,153512
88,2013-10-31,9.18,9.71,9.07,9.64,130070
89,2013-11-01,9.61,9.66,9.28,9.41,124392
90,2013-11-04,9.35,9.73,9.33,9.64,103288
91,2013-11-05,9.67,10.12,9.58,10.05,213159
92,2013-11-06,10.12,10.36,9.95,10.15,84428
93,2013-11-07,10.15,10.51,9.25,9.26,202724
94,2013-11-08,4.9,5.1,4.32,4.72,3503150
95,2013-11-11,4.95,5.2,4.21,4.29,1481590
96,2013-11-12,4.4,4.58,3.85,3.92,922569
97,2013-11-13,3.99,4.22,3.59,4.15,719661
98,2013-11-14,4.13,4.13,3.78,3.85,521702
99,2013-11-15,3.97,4.09,3.75,4.07,690259
100,2013-11-18,4.13,4.37,4.1,4.19,583347
101,2013-11-19,4.23,4.32,4.15,4.28,399533
102,2013-11-20,4.27,4.27,4.0,4.02,240145
103,2013-11-21,4.02,4.06,3.87,3.96,246900
104,2013-11-22,3.97,4.33,3.92,4.2,371819
105,2013-11-25,4.25,4.36,4.16,4.25,225507
106,2013-11-26,4.29,4.29,4.14,4.18,195997
107,2013-11-27,4.2,4.3,4.11,4.28,128648
108,2013-11-29,4.4,4.69,4.34,4.65,222508
109,2013-12-02,4.65,4.69,4.29,4.33,212632
110,2013-12-03,4.31,4.42,4.19,4.28,156714
111,2013-12-04,4.27,4.4,4.2,4.27,163772
112,2013-12-05,4.31,4.31,4.13,4.27,90779
113,2013-12-06,4.34,4.34,4.2,4.27,144000
114,2013-12-09,4.28,4.35,4.01,4.08,205220
115,2013-12-10,4.1,4.29,4.08,4.29,147994
116,2013-12-11,4.3,4.34,4.12,4.17,110063
117,2013-12-12,4.18,4.25,4.1,4.18,120033
118,2013-12-13,4.22,4.3,4.13,4.15,172219
119,2013-12-16,4.19,4.29,4.17,4.22,108135
120,2013-12-17,4.25,4.52,4.18,4.4,147359
121,2013-12-18,4.42,4.55,4.25,4.37,177215
122,2013-12-19,4.4,4.81,4.31,4.73,297428
123,2013-12-20,4.76,4.99,4.51,4.95,268982
124,2013-12-23,5.0,5.45,4.95,5.42,317924
125,2013-12-24,5.36,5.52,5.07,5.27,463443
126,2013-12-26,5.31,5.45,5.21,5.3,237439
127,2013-12-27,5.3,5.57,5.29,5.32,305382
128,2013-12-30,5.35,5.41,5.1,5.23,242320
129,2013-12-31,5.2,5.84,5.17,5.8,340377
130,2014-01-02,5.45,5.75,5.24,5.68,281257
131,2014-01-03,5.67,5.76,5.41,5.49,171223
132,2014-01-06,5.45,5.49,4.94,5.02,324639
133,2014-01-07,5.16,5.16,4.92,5.0,193215
134,2014-01-08,5.03,5.15,4.97,5.01,312494
135,2014-01-09,5.05,5.06,4.59,4.64,251241
136,2014-01-10,4.68,4.71,4.47,4.7,811049
137,2014-01-13,4.71,4.73,4.41,4.52,232923
138,2014-01-14,4.54,4.69,4.49,4.59,127377
139,2014-01-15,4.6,4.65,4.55,4.62,160423
140,2014-01-16,4.64,4.9,4.64,4.85,114434
141,2014-01-17,4.86,5.04,4.75,5.03,199532
142,2014-01-21,5.09,5.17,4.7,4.72,163058
143,2014-01-22,4.74,4.79,4.59,4.79,117906
144,2014-01-23,4.79,4.94,4.64,4.73,78657
145,2014-01-24,4.7,4.71,4.5,4.57,207128
146,2014-01-27,4.6,4.67,4.2,4.4,178114
147,2014-01-28,4.38,4.48,4.29,4.43,116473
148,2014-01-29,4.39,4.41,4.26,4.31,107519
149,2014-01-30,4.36,4.57,4.29,4.45,117987
150,2014-01-31,4.37,4.5,4.33,4.44,81682
151,2014-02-03,4.4,4.48,4.14,4.21,151572
152,2014-02-04,4.21,4.3,4.13,4.19,51611
153,2014-02-05,4.19,4.25,4.03,4.17,116126
154,2014-02-06,4.2,4.35,4.19,4.25,100672
155,2014-02-07,4.3,4.33,4.24,4.33,57875
156,2014-02-10,4.26,4.34,4.26,4.32,39255
157,2014-02-11,4.34,4.43,4.27,4.37,71521
158,2014-02-12,4.39,4.42,4.28,4.35,46718
159,2014-02-13,4.37,4.8,4.35,4.76,260405
160,2014-02-14,4.8,4.88,4.64,4.83,110966
161,2014-02-18,4.83,5.0,4.8,4.96,94108
162,2014-02-19,4.93,4.97,4.76,4.85,102064
163,2014-02-20,4.83,4.83,4.56,4.72,198303
164,2014-02-21,5.14,5.2,4.42,4.49,486802
165,2014-02-24,4.5,4.6,4.21,4.29,495832
166,2014-02-25,4.3,4.3,4.1,4.17,425633
167,2014-02-26,4.19,4.24,4.06,4.09,397864
168,2014-02-27,4.09,4.27,4.03,4.2,247037
169,2014-02-28,4.14,4.35,4.13,4.34,502703
170,2014-03-03,4.33,4.35,4.22,4.33,157227
171,2014-03-04,4.5,4.66,4.36,4.65,373308
172,2014-03-05,4.64,4.95,4.64,4.92,252262
173,2014-03-06,4.96,4.96,4.68,4.76,150375
174,2014-03-07,4.8,4.86,4.68,4.75,160437
175,2014-03-10,4.71,4.93,4.66,4.93,210480
176,2014-03-11,4.91,5.06,4.8,4.87,327583
177,2014-03-12,4.87,4.96,4.82,4.93,192465
178,2014-03-13,4.96,5.0,4.87,4.93,211051
179,2014-03-14,4.96,4.99,4.92,4.95,233689
180,2014-03-17,5.0,5.01,4.83,4.89,247189
181,2014-03-18,4.89,4.94,4.73,4.8,320188
182,2014-03-19,4.79,4.85,4.4,4.45,207712
183,2014-03-20,4.45,4.49,4.26,4.38,270411
184,2014-03-21,4.41,4.56,4.25,4.35,671104
185,2014-03-24,4.53,4.53,4.25,4.3,397299
186,2014-03-25,4.36,4.51,4.22,4.27,248373
187,2014-03-26,4.29,4.32,4.05,4.1,409300
188,2014-03-27,4.08,4.17,4.04,4.05,406076
189,2014-03-28,4.07,4.26,4.04,4.07,287920
190,2014-03-31,4.13,4.25,4.08,4.12,264171
191,2014-04-01,4.15,4.27,4.1,4.21,287766
192,2014-04-02,4.25,4.47,4.16,4.41,423196
193,2014-04-03,4.4,4.48,4.1,4.18,279765
194,2014-04-04,4.24,4.24,3.88,4.1,600231
195,2014-04-07,4.08,4.13,3.92,3.99,265329
196,2014-04-08,4.01,4.15,3.99,4.07,202777
197,2014-04-09,4.1,4.23,4.09,4.2,194248
198,2014-04-10,4.19,4.22,4.0,4.03,201475
199,2014-04-11,4.02,4.14,3.91,3.94,472296
200,2014-04-14,3.99,4.04,3.9,3.99,193245
201,2014-04-15,3.99,4.22,3.9,4.21,466753
202,2014-04-16,4.24,4.5,4.18,4.47,336216
203,2014-04-17,4.43,4.56,4.35,4.51,197365
204,2014-04-21,4.56,4.57,4.35,4.38,82935
205,2014-04-22,4.4,4.71,4.37,4.67,366244
206,2014-04-23,4.6,4.69,4.44,4.57,139452
207,2014-04-24,4.62,4.65,4.45,4.57,177004
208,2014-04-25,4.56,4.56,4.41,4.5,249225
209,2014-04-28,4.49,4.71,4.3,4.49,507705
210,2014-04-29,4.48,4.63,4.35,4.54,231023
211,2014-04-30,4.51,4.56,4.33,4.51,114647
212,2014-05-01,4.54,4.69,4.43,4.59,211692
213,2014-05-02,4.62,4.65,4.5,4.51,120633
214,2014-05-05,4.52,4.53,4.19,4.24,219001
215,2014-05-06,4.27,4.38,4.01,4.02,280731
216,2014-05-07,4.2,4.38,3.8,3.97,650091
217,2014-05-08,3.97,4.03,3.8,3.85,308332
218,2014-05-09,3.89,4.0,3.75,4.0,197583
219,2014-05-12,4.0,4.21,4.0,4.1,181791
220,2014-05-13,4.17,4.33,4.0,4.1,3069160
221,2014-05-14,4.03,4.35,4.03,4.09,357571
222,2014-05-15,4.09,4.21,3.98,4.07,334436
223,2014-05-16,4.04,4.17,3.97,4.12,223768
224,2014-05-19,4.04,4.25,4.04,4.25,370212
225,2014-05-20,4.3,4.36,4.14,4.19,328464
226,2014-05-21,4.24,4.27,4.13,4.22,159860
227,2014-05-22,4.21,4.3,4.07,4.07,321866
228,2014-05-23,4.1,4.2,3.99,4.14,576623
229,2014-05-27,4.18,4.21,4.07,4.2,832943
230,2014-05-28,4.13,4.52,4.09,4.33,1554265
231,2014-05-29,4.33,4.46,4.14,4.17,1181335
232,2014-05-30,4.25,4.25,3.96,4.1,470731
233,2014-06-02,4.09,4.17,3.9,3.93,436712
234,2014-06-03,3.95,4.03,3.76,3.89,855936
235,2014-06-04,3.9,4.05,3.86,3.94,976220
236,2014-06-05,3.93,4.0,3.75,3.92,1617556
237,2014-06-06,3.93,4.14,3.89,4.04,1906728
238,2014-06-09,4.06,4.17,4.04,4.1,733027
239,2014-06-10,4.07,4.22,4.07,4.18,615700
240,2014-06-11,4.15,4.24,4.07,4.2,1004908
241,2014-06-12,4.2,4.25,4.13,4.2,236774
242,2014-06-13,4.24,4.24,4.14,4.15,162451
243,2014-06-16,4.18,4.57,4.18,4.57,1432130
244,2014-06-17,4.48,4.64,4.43,4.46,676828
245,2014-06-18,4.48,4.65,4.47,4.54,688696
246,2014-06-19,4.56,4.8,4.42,4.57,1102733
247,2014-06-20,4.6,4.67,4.49,4.59,686864
248,2014-06-23,4.55,4.8,4.54,4.77,858842
249,2014-06-24,4.8,4.98,4.52,4.58,1178676
250,2014-06-25,4.58,4.77,4.54,4.69,695955
251,2014-06-26,4.7,4.75,4.57,4.71,424442
252,2014-06-27,4.68,4.87,4.65,4.65,2906996
253,2014-06-30,4.67,4.87,4.63,4.72,453034
254,2014-07-01,4.76,4.84,4.69,4.72,256231
255,2014-07-02,4.69,4.77,4.53,4.58,262900
256,2014-07-03,4.59,4.62,4.52,4.55,101646
257,2014-07-07,4.52,4.53,4.22,4.23,231975
258,2014-07-08,4.2,4.21,4.02,4.04,364577
259,2014-07-09,4.16,4.16,4.03,4.11,271908
260,2014-07-10,4.03,4.09,3.99,4.0,190846
261,2014-07-11,4.02,4.06,3.95,3.98,150330
262,2014-07-14,4.01,4.09,3.99,4.05,128207
263,2014-07-15,4.03,4.13,3.92,3.95,210913
264,2014-07-16,3.99,4.04,3.9,3.91,153953
265,2014-07-17,3.9,3.92,3.7,3.72,228248
266,2014-07-18,3.71,3.84,3.66,3.77,206202
267,2014-07-21,3.75,3.81,3.69,3.71,130399
268,2014-07-22,3.74,3.85,3.69,3.79,113541
269,2014-07-23,3.78,3.85,3.69,3.71,116296
270,2014-07-24,3.72,3.82,3.68,3.69,129148
271,2014-07-25,3.65,3.73,3.51,3.52,171910
272,2014-07-28,3.54,3.56,3.38,3.42,206149
273,2014-07-29,3.42,3.65,3.42,3.58,267793
274,2014-07-30,3.63,3.81,3.61,3.79,283732
275,2014-07-31,3.72,3.81,3.65,3.72,220055
276,2014-08-01,3.73,3.73,3.44,3.48,257644
277,2014-08-04,3.51,3.57,3.42,3.55,163224
278,2014-08-05,3.52,3.55,3.41,3.42,156080
279,2014-08-06,3.41,3.51,3.38,3.45,117510
280,2014-08-07,3.67,3.68,3.13,3.18,273616
281,2014-08-08,3.18,3.27,3.08,3.25,215875
282,2014-08-11,3.2,3.28,3.01,3.02,376781
283,2014-08-12,3.0,3.07,2.92,2.97,284731
284,2014-08-13,2.97,3.13,2.97,2.98,167409
285,2014-08-14,2.97,3.15,2.96,3.02,196035
286,2014-08-15,3.06,3.06,2.91,2.97,197918
287,2014-08-18,3.02,3.1,3.0,3.09,241187
288,2014-08-19,3.08,3.15,2.96,3.03,232562
289,2014-08-20,3.0,3.07,2.94,2.96,116092
290,2014-08-21,2.95,2.99,2.9,2.97,109675
291,2014-08-22,2.97,3.1,2.91,3.06,110932
292,2014-08-25,3.09,3.1,2.94,2.98,92094
293,2014-08-26,3.03,3.15,2.98,3.1,177718
294,2014-08-27,3.12,3.22,2.98,3.03,154368
295,2014-08-28,3.03,3.08,2.97,2.97,88188
296,2014-08-29,3.0,3.05,2.92,2.99,164204
297,2014-09-02,3.01,3.04,2.94,2.96,48256
298,2014-09-03,2.99,2.99,2.88,2.91,113973
299,2014-09-04,2.93,2.93,2.76,2.79,152101
300,2014-09-05,2.77,2.83,2.71,2.79,143706
301,2014-09-08,2.77,2.89,2.52,2.7,413940
302,2014-09-09,2.75,2.75,2.53,2.58,213576
303,2014-09-10,2.57,2.7,2.57,2.63,159905
304,2014-09-11,2.62,2.68,2.53,2.63,242507
305,2014-09-12,2.67,2.93,2.59,2.86,321742
306,2014-09-15,2.84,2.84,2.59,2.6,146578
307,2014-09-16,2.58,2.62,2.5,2.55,120965
308,2014-09-17,2.56,2.77,2.54,2.56,147112
309,2014-09-18,2.57,2.58,2.45,2.46,141657
310,2014-09-19,2.47,2.49,2.26,2.27,446322
311,2014-09-22,2.27,2.34,2.23,2.3,282540
312,2014-09-23,2.3,2.43,2.29,2.41,221165
313,2014-09-24,2.45,2.63,2.45,2.53,255226
314,2014-09-25,2.52,2.62,2.48,2.57,302451
315,2014-09-26,2.58,2.58,2.41,2.51,151875
316,2014-09-29,2.47,2.51,2.39,2.44,151593
317,2014-09-30,2.43,2.45,2.33,2.34,222731
318,2014-10-01,2.34,2.4,2.29,2.32,89774
319,2014-10-02,2.31,2.38,2.25,2.25,139594
320,2014-10-03,2.3,2.36,2.26,2.33,168313
321,2014-10-06,2.33,2.38,2.31,2.32,75087
322,2014-10-07,2.3,2.3,2.23,2.24,109669
323,2014-10-08,2.22,2.33,2.17,2.31,145452
324,2014-10-09,2.3,2.31,2.17,2.18,136578
325,2014-10-10,2.17,2.23,2.17,2.17,85173
326,2014-10-13,2.18,2.3,2.18,2.22,99866
327,2014-10-14,2.26,2.29,2.21,2.24,69690
328,2014-10-15,2.2,2.3,2.2,2.28,154566
329,2014-10-16,2.27,2.4,2.27,2.34,183471
330,2014-10-17,2.38,2.45,2.29,2.42,207965
331,2014-10-20,2.41,2.44,2.32,2.36,108219
332,2014-10-21,2.36,2.36,2.23,2.26,122194
333,2014-10-22,2.28,2.36,2.21,2.21,183462
334,2014-10-23,2.24,2.25,2.2,2.22,101883
335,2014-10-24,2.23,2.23,2.18,2.19,77641
336,2014-10-27,2.2,2.24,2.03,2.07,391175
337,2014-10-28,2.11,2.21,2.03,2.21,1069566
338,2014-10-29,2.21,2.21,2.13,2.15,67546
339,2014-10-30,2.13,2.19,2.1,2.19,73180
340,2014-10-31,2.25,2.35,2.2,2.35,150140
341,2014-11-03,2.35,2.39,2.32,2.34,103037
342,2014-11-04,2.34,2.35,2.17,2.19,106280
343,2014-11-05,2.22,2.25,2.14,2.22,75704
344,2014-11-06,2.23,2.31,2.16,2.23,166614
345,2014-11-07,2.25,2.29,2.19,2.28,111638
346,2014-11-10,2.27,2.42,2.27,2.41,244587
347,2014-11-11,2.56,2.89,2.54,2.73,584875
348,2014-11-12,2.73,2.97,2.54,2.94,354999
349,2014-11-13,2.92,2.98,2.75,2.77,181412
350,2014-11-14,2.79,2.82,2.68,2.81,58099
351,2014-11-17,2.8,2.82,2.65,2.65,52426
352,2014-11-18,2.67,2.71,2.55,2.57,130140
353,2014-11-19,2.53,2.59,2.47,2.52,83517
354,2014-11-20,2.5,2.67,2.47,2.67,73877
355,2014-11-21,2.73,2.79,2.66,2.66,91901
356,2014-11-24,2.66,2.74,2.61,2.74,64263
357,2014-11-25,2.73,2.73,2.57,2.57,52193
358,2014-11-26,2.66,2.69,2.57,2.64,91869
359,2014-11-28,2.65,2.65,2.45,2.45,76051
360,2014-12-01,2.44,2.55,2.31,2.46,147919
361,2014-12-02,2.48,2.7,2.46,2.67,175458
