,Date,Open,High,Low,Close,Volume
0,2017-04-13,10.27,12.45,10.25,12.45,1473593
1,2017-04-17,12.5,13.6856,12.0,13.0,302569
2,2017-04-18,13.1,14.0,13.05,13.96,247698
3,2017-04-19,14.0,14.72,12.53,13.98,334394
4,2017-04-20,14.0,14.17,13.25,13.6,132764
5,2017-04-21,13.84,13.84,12.73,13.27,64184
6,2017-04-24,13.05,13.8052,12.58,13.4,114077
7,2017-04-25,13.47,13.91,13.026,13.73,108749
8,2017-04-26,13.8,13.8001,12.8,13.35,209136
9,2017-04-27,13.32,13.88,13.24,13.34,153070
10,2017-04-28,13.35,14.64,13.0953,13.98,193979
11,2017-05-01,14.22,15.98,14.11,15.47,273374
12,2017-05-02,15.69,16.4,15.32,16.07,268289
13,2017-05-03,16.28,16.28,15.75,16.16,140459
14,2017-05-04,16.25,17.5,16.0797,17.3,198102
15,2017-05-05,17.58,17.829,17.1,17.4,245235
16,2017-05-08,17.63,17.9528,16.65,16.99,265222
17,2017-05-09,17.09,17.3,16.51,17.02,118404
18,2017-05-10,17.14,17.5,16.57,16.69,130913
19,2017-05-11,16.44,17.15,16.13,16.56,202778
20,2017-05-12,16.64,16.7622,16.05,16.26,81658
21,2017-05-15,16.04,16.5829,15.5,15.84,111044
22,2017-05-16,15.79,15.97,14.52,14.6,103188
23,2017-05-17,14.43,14.9,13.08,14.5,183424
24,2017-05-18,14.41,15.75,14.41,14.85,32408
25,2017-05-19,14.74,16.0,14.7,15.69,83412
26,2017-05-22,15.85,16.02,15.29,15.97,75469
27,2017-05-23,15.5901,16.25,15.41,15.96,66990
28,2017-05-24,14.96,16.25,14.7,15.97,79042
29,2017-05-25,16.05,16.8,15.92,16.64,84541
30,2017-05-26,16.95,17.2,16.1,16.32,118091
31,2017-05-30,16.28,16.895,15.841,16.34,62920
32,2017-05-31,16.93,17.25,15.15,15.99,128864
33,2017-06-01,16.0,16.36,15.16,15.95,97591
34,2017-06-02,16.08,16.57,15.74,15.88,109723
35,2017-06-05,16.0,16.13,15.57,15.91,62992
36,2017-06-06,15.91,16.14,15.65,15.99,50528
37,2017-06-07,16.07,16.23,15.5408,15.9,73419
38,2017-06-08,16.34,16.34,15.585,15.86,55930
39,2017-06-09,16.0,16.31,15.565,16.06,45939
40,2017-06-12,16.0,16.11,15.111,15.18,77710
41,2017-06-13,15.32,15.775,14.89,14.94,156577
42,2017-06-14,14.9,15.5,14.86,14.96,136465
43,2017-06-15,15.19,15.3956,14.5,14.56,163710
44,2017-06-16,14.56,15.49,14.56,14.95,599038
45,2017-06-19,15.46,15.46,14.56,14.94,197585
46,2017-06-20,15.0,15.0,14.7131,14.9,136308
