,Date,Open,High,Low,Close,Volume
0,2014-08-07,19.551,19.924,19.317,19.504,322495
1,2014-08-08,19.617,20.063,19.356,19.551,706290
2,2014-08-11,19.468,19.542,19.01,19.103,405911
3,2014-08-12,18.917,19.327,17.689,18.201,673816
4,2014-08-13,18.201,18.22,17.54,18.156,770583
5,2014-08-14,18.015,18.435,17.866,18.284,775330
6,2014-08-15,18.156,18.499,18.108,18.163,355928
7,2014-08-18,17.959,18.443,17.959,18.033,159133
8,2014-08-19,18.062,19.225,18.062,18.406,475633
9,2014-08-20,18.21,18.732,18.127,18.201,292337
10,2014-08-21,18.146,18.853,18.146,18.452,474974
11,2014-08-22,18.36,18.638,18.249,18.323,89011
12,2014-08-25,18.303,18.536,18.156,18.323,235185
13,2014-08-26,18.452,18.452,17.923,18.22,304343
14,2014-08-27,18.257,18.294,17.773,17.923,164441
15,2014-08-28,17.894,17.94,17.746,17.848,83654
16,2014-08-29,17.95,18.146,17.82,17.876,131666
17,2014-09-02,17.996,17.996,17.502,17.615,595576
18,2014-09-03,17.624,17.829,16.787,17.251,732740
19,2014-09-04,17.334,17.856,17.251,17.671,76957
20,2014-09-05,17.689,18.267,17.569,18.062,275255
21,2014-09-08,18.127,19.449,18.127,19.087,615200
22,2014-09-09,19.225,20.324,19.15,20.036,586200
23,2014-09-10,19.867,21.367,19.867,20.472,326255
24,2014-09-11,20.482,20.949,20.175,20.482,551534
25,2014-09-12,20.463,20.595,20.426,20.502,168913
26,2014-09-15,20.502,20.502,20.119,20.343,236202
27,2014-09-16,20.389,20.417,19.458,19.617,195450
28,2014-09-17,19.458,19.887,18.657,18.816,250202
29,2014-09-18,18.853,18.956,18.156,18.452,514853
30,2014-09-19,18.333,19.449,18.303,19.309,1030735
31,2014-09-22,19.309,19.645,18.825,19.216,220964
32,2014-09-23,19.253,19.253,18.713,19.103,231667
33,2014-09-24,19.263,19.812,19.04,19.57,506123
34,2014-09-25,19.551,19.551,19.17,19.337,261172
35,2014-09-26,19.578,19.578,18.657,19.16,178494
36,2014-09-29,18.927,19.002,18.574,18.694,238856
37,2014-09-30,18.78,19.02,18.257,18.788,274537
38,2014-10-01,18.713,19.15,18.416,18.583,451445
39,2014-10-02,18.545,18.583,18.257,18.564,125747
40,2014-10-03,18.564,18.592,18.386,18.536,145673
41,2014-10-06,18.657,18.722,18.386,18.583,115432
42,2014-10-07,18.545,18.583,18.146,18.333,103444
43,2014-10-08,18.528,18.574,17.773,18.033,92537
44,2014-10-09,17.839,18.156,17.402,17.456,170198
45,2014-10-10,17.54,17.54,16.637,16.74,273099
46,2014-10-13,16.591,16.944,16.182,16.516,162031
47,2014-10-14,16.33,16.833,16.153,16.609,199013
48,2014-10-15,16.535,16.833,16.292,16.591,58266
49,2014-10-16,16.535,16.657,16.33,16.479,215629
50,2014-10-17,16.73,17.018,16.674,16.908,185424
51,2014-10-20,16.87,17.196,16.833,16.964,80516
52,2014-10-21,17.177,18.025,16.684,17.773,455121
53,2014-10-22,17.54,18.136,17.419,17.913,257360
54,2014-10-23,18.108,18.313,17.773,18.163,195230
55,2014-10-24,18.35,18.574,17.829,18.08,111851
56,2014-10-27,18.117,18.136,17.586,17.754,86437
57,2014-10-28,17.718,17.94,17.662,17.829,183814
58,2014-10-29,17.82,18.006,17.698,17.884,78968
59,2014-10-30,17.931,17.931,17.325,17.671,210292
60,2014-10-31,17.848,17.848,17.549,17.746,113658
61,2014-11-03,17.876,18.416,17.531,18.378,105105
62,2014-11-04,18.275,18.452,17.894,18.033,122167
63,2014-11-05,18.025,18.025,13.965,15.258,1605702
64,2014-11-06,15.268,15.343,14.244,14.654,586660
65,2014-11-07,14.673,15.037,14.207,14.905,506347
66,2014-11-10,14.895,15.352,14.701,15.223,414790
67,2014-11-11,15.194,16.06,15.175,15.762,477024
68,2014-11-12,15.949,16.935,15.734,16.73,582271
69,2014-11-13,16.964,17.113,16.358,16.433,303697
70,2014-11-14,16.516,16.516,16.153,16.423,301603
71,2014-11-17,16.334,17.697,16.334,17.397,337603
72,2014-11-18,17.491,18.224,17.397,18.149,343925
73,2014-11-19,18.262,18.383,17.801,18.356,169029
74,2014-11-20,18.13,18.693,18.064,18.685,193907
75,2014-11-21,18.732,19.239,18.732,19.09,150456
76,2014-11-24,19.117,19.427,18.703,19.277,165261
77,2014-11-25,19.239,19.728,18.967,19.314,169076
78,2014-11-26,19.371,19.485,18.986,19.427,166101
79,2014-11-28,19.287,19.841,19.267,19.832,56721
80,2014-12-01,19.934,20.217,19.701,20.096,213631
81,2014-12-02,20.16,20.273,19.963,20.096,105827
82,2014-12-03,20.189,20.367,19.963,20.255,83743
83,2014-12-04,20.198,21.064,20.17,20.687,132860
84,2014-12-05,20.64,20.922,20.631,20.744,336833
85,2014-12-08,20.904,21.439,20.904,21.401,193718
86,2014-12-09,21.421,21.628,21.111,21.599,139616
