,Date,Open,High,Low,Close,Volume
0,2005-02-25,3.42,3.42,3.42,3.42,400
1,2005-02-28,3.41,3.41,3.16,3.35,30400
2,2005-03-01,3.34,3.37,3.32,3.32,8600
3,2005-03-02,3.32,3.32,3.22,3.23,5600
4,2005-03-03,3.19,3.19,3.17,3.17,2000
5,2005-03-04,3.21,3.32,3.21,3.32,5100
6,2005-03-07,3.23,3.37,3.23,3.33,6800
7,2005-03-08,3.28,3.36,3.28,3.32,4300
8,2005-03-10,3.32,3.33,3.32,3.33,1800
9,2005-03-11,3.26,3.33,3.24,3.33,3200
10,2005-03-14,3.31,3.37,3.31,3.37,4600
11,2005-03-17,3.36,3.36,3.29,3.29,800
12,2005-03-18,3.3,3.3,3.3,3.3,300
13,2005-03-21,3.3,3.39,3.3,3.39,8000
14,2005-03-22,3.41,3.41,3.41,3.41,400
15,2005-03-24,3.32,3.39,3.32,3.39,3600
16,2005-03-28,3.35,3.35,3.35,3.35,100
17,2005-03-29,3.35,3.41,3.35,3.41,7100
18,2005-03-30,3.37,3.37,3.37,3.37,100
19,2005-04-05,3.33,3.41,3.33,3.41,2500
20,2005-04-06,3.37,3.37,3.32,3.32,1800
21,2005-04-07,3.23,3.35,3.22,3.35,5000
22,2005-04-08,3.29,3.3,3.29,3.3,1000
23,2005-04-11,3.23,3.23,3.23,3.23,1100
24,2005-04-13,3.19,3.22,3.19,3.22,2700
25,2005-04-15,3.15,3.15,3.14,3.14,2200
26,2005-04-18,3.21,3.21,3.14,3.14,900
27,2005-04-19,3.12,3.17,3.12,3.17,1100
28,2005-04-25,3.18,3.18,3.18,3.18,100
29,2005-04-26,3.18,3.37,3.18,3.37,8700
30,2005-04-27,3.41,3.41,3.33,3.34,2500
31,2005-04-28,3.32,3.32,3.32,3.32,100
32,2005-05-02,3.33,3.46,3.33,3.46,3800
33,2005-05-03,3.47,3.5,3.47,3.5,4800
34,2005-05-04,3.5,3.5,3.5,3.5,3600
35,2005-05-06,3.56,3.68,3.56,3.59,4500
36,2005-05-09,3.64,3.64,3.59,3.59,1600
37,2005-05-10,3.6,3.73,3.41,3.46,6800
38,2005-05-11,3.46,3.46,3.46,3.46,500
39,2005-05-13,3.43,3.43,3.43,3.43,500
40,2005-05-16,3.41,3.41,3.41,3.41,2500
41,2005-05-18,3.37,3.41,3.37,3.41,700
42,2005-05-19,3.39,3.39,3.39,3.39,500
43,2005-05-20,3.32,3.32,3.32,3.32,500
44,2005-05-23,3.28,3.28,3.19,3.19,8600
45,2005-05-24,3.28,3.41,3.28,3.41,3000
46,2005-05-25,3.37,3.37,3.24,3.37,5300
47,2005-05-26,3.28,3.28,3.23,3.28,2300
48,2005-05-27,3.29,3.29,3.29,3.29,300
49,2005-06-02,3.29,3.29,3.29,3.29,100
50,2005-06-03,3.37,3.37,3.37,3.37,300
51,2005-06-07,3.32,3.37,3.32,3.32,3000
52,2005-06-09,3.36,3.36,3.29,3.29,5100
53,2005-06-13,3.3,3.3,3.28,3.28,3100
54,2005-06-15,3.32,3.32,3.32,3.32,100
55,2005-06-17,3.36,3.44,3.32,3.41,12100
56,2005-06-20,3.44,3.44,3.43,3.44,700
57,2005-06-21,3.44,3.44,3.44,3.44,100
58,2005-06-22,3.44,3.45,3.39,3.39,1700
59,2005-06-27,3.41,3.44,3.41,3.44,400
60,2005-06-28,3.41,3.41,3.41,3.41,500
61,2005-06-30,3.41,3.45,3.24,3.41,2800
62,2005-07-01,3.44,3.44,3.37,3.37,1800
63,2005-07-07,3.37,3.41,3.36,3.36,3000
64,2005-07-08,3.32,3.37,3.28,3.28,12200
65,2005-07-11,3.23,3.23,3.22,3.22,900
66,2005-07-12,3.28,3.46,3.28,3.45,9800
67,2005-07-13,3.46,3.46,3.46,3.46,200
68,2005-07-15,3.49,3.49,3.49,3.49,1900
69,2005-07-18,3.53,3.59,3.53,3.59,8900
70,2005-07-19,3.59,3.68,3.59,3.59,4800
71,2005-07-20,3.59,3.59,3.59,3.59,5700
72,2005-07-21,3.55,3.55,3.55,3.55,6000
73,2005-07-22,3.54,3.54,3.54,3.54,2600
74,2005-07-25,3.64,3.64,3.6,3.6,2900
75,2005-07-26,3.59,3.62,3.59,3.62,1200
76,2005-07-29,3.58,3.58,3.58,3.58,1000
77,2005-08-01,3.57,3.57,3.5,3.5,600
78,2005-08-02,3.46,3.46,3.46,3.46,700
79,2005-08-03,3.41,3.48,3.25,3.48,7600
80,2005-08-04,3.5,3.54,3.5,3.54,1100
81,2005-08-09,3.53,3.53,3.53,3.53,800
82,2005-08-10,3.55,3.55,3.55,3.55,300
83,2005-08-16,3.56,3.56,3.56,3.56,100
84,2005-08-17,3.5,3.5,3.5,3.5,100
85,2005-08-19,3.46,3.46,3.42,3.42,700
86,2005-08-22,3.39,3.39,3.39,3.39,200
87,2005-08-29,3.37,3.37,3.37,3.37,100
88,2005-08-30,3.28,3.28,3.28,3.28,1000
89,2005-08-31,3.26,3.26,3.26,3.26,100
90,2005-09-06,3.32,3.37,3.32,3.33,10600
91,2005-09-07,3.32,3.41,3.28,3.41,18000
92,2005-09-12,3.37,3.41,3.32,3.41,4300
93,2005-09-13,3.43,3.63,3.43,3.59,2400
94,2005-09-15,3.59,3.6,3.58,3.58,8400
95,2005-09-16,3.5,3.5,3.5,3.5,1100
96,2005-09-19,3.52,3.68,3.52,3.68,6300
97,2005-09-20,3.68,3.68,3.64,3.64,5000
98,2005-09-21,3.6,3.6,3.6,3.6,100
99,2005-09-22,3.58,3.58,3.47,3.47,4300
100,2005-09-26,3.37,3.45,3.37,3.45,2100
101,2005-09-27,3.52,3.73,3.41,3.51,91600
102,2005-09-28,3.59,3.68,3.5,3.68,10700
103,2005-09-29,3.68,3.68,3.68,3.68,2500
104,2005-09-30,3.73,3.86,3.73,3.86,3000
105,2005-10-03,3.86,3.86,3.84,3.84,600
106,2005-10-04,3.87,4.31,3.87,4.15,56000
