,Date,Open,High,Low,Close,Volume
0,2017-07-24,25.37,25.4,25.34,25.35,367866
1,2017-07-25,25.35,25.3799,25.2099,25.25,686737
2,2017-07-26,25.29,25.3599,25.23,25.29,242054
3,2017-07-27,25.32,25.34,25.26,25.29,86018
4,2017-07-28,25.3,25.33,25.25,25.32,117552
5,2017-07-31,25.32,25.36,25.27,25.34,227751
6,2017-08-01,25.34,25.38,25.31,25.35,106106
7,2017-08-02,25.34,25.45,25.3301,25.3699,112604
8,2017-08-03,25.39,25.45,25.361,25.42,158324
9,2017-08-04,25.44,25.45,25.38,25.45,113954
10,2017-08-07,25.45,25.45,25.34,25.42,131222
11,2017-08-08,25.4,25.5412,25.4,25.4,164655
12,2017-08-09,25.41,25.44,25.22,25.285,294675
13,2017-08-10,25.29,25.33,25.21,25.21,153243
14,2017-08-11,25.2201,25.33,25.11,25.29,172520
15,2017-08-14,25.35,25.35,25.14,25.2,321619
16,2017-08-15,25.19,25.2,25.13,25.19,156171
17,2017-08-16,25.2,25.29,25.18,25.29,99230
18,2017-08-17,25.22,25.33,25.2,25.28,86164
19,2017-08-18,25.32,25.4,25.28,25.4,35870
20,2017-08-21,25.3708,25.39,25.306,25.33,70204
21,2017-08-22,25.35,25.35,25.26,25.26,136763
22,2017-08-23,25.26,25.2784,25.23,25.236,147820
23,2017-08-24,25.27,25.3999,25.25,25.38,115422
24,2017-08-25,25.355,25.44,25.34,25.405,62220
25,2017-08-28,25.41,25.5699,25.36,25.54,76578
26,2017-08-29,25.47,25.64,25.41,25.5499,100771
27,2017-08-30,25.55,25.55,25.47,25.52,39480
28,2017-08-31,25.51,25.67,25.49,25.56,77505
29,2017-09-01,25.62,25.63,25.56,25.56,16100
30,2017-09-05,25.59,25.64,25.51,25.6,46505
31,2017-09-06,25.6,25.79,25.54,25.79,58669
32,2017-09-07,25.6701,25.74,25.45,25.56,157944
33,2017-09-08,25.52,25.56,25.41,25.55,35908
34,2017-09-11,25.6,25.73,25.53,25.72,31669
35,2017-09-12,25.72,25.9,25.64,25.79,55291
36,2017-09-13,25.83,25.8499,25.6,25.7,77386
37,2017-09-14,25.6795,25.74,25.61,25.7,68387
38,2017-09-15,25.6965,25.82,25.6764,25.82,30707
39,2017-09-18,25.81,25.88,25.75,25.88,114745
40,2017-09-19,25.89,25.98,25.83,25.97,54066
41,2017-09-20,25.9392,25.97,25.88,25.9,47063
42,2017-09-21,25.9516,26.05,25.91,26.05,27343
43,2017-09-22,26.05,26.05,25.877,25.95,65976
44,2017-09-25,25.9,26.0,25.84,25.89,78595
45,2017-09-26,25.87,25.98,25.85,25.96,33255
46,2017-09-27,25.96,25.98,25.87,25.98,49797
47,2017-09-28,25.97,26.095,25.8,26.0,137482
48,2017-09-29,26.03,26.15,25.9491,26.15,55919
49,2017-10-02,26.15,26.15,25.95,25.97,69294
50,2017-10-03,25.97,26.05,25.97,26.02,271591
51,2017-10-04,26.03,26.04,25.92,25.95,274995
52,2017-10-05,25.98,26.1,25.95,26.1,169217
53,2017-10-06,26.0,26.09,25.91,26.08,74090
54,2017-10-09,26.1,26.12,26.02,26.09,103439
55,2017-10-10,26.14,26.15,26.04,26.15,206425
56,2017-10-11,25.71,25.79,25.67,25.78,124051
57,2017-10-12,25.74,26.03,25.74,25.92,100807
58,2017-10-13,25.97,26.36,25.93,26.25,94952
59,2017-10-16,26.34,26.38,26.09,26.3,149423
60,2017-10-17,26.29,26.38,26.16,26.35,122281
61,2017-10-18,26.38,26.55,26.27,26.55,89023
62,2017-10-19,26.45,26.57,26.27,26.5,121562
63,2017-10-20,26.58,26.58,26.12,26.43,1098271
64,2017-10-23,26.43,26.53,26.36,26.52,36551
65,2017-10-24,26.55,26.63,26.4,26.49,122966
66,2017-10-25,26.32,26.53,26.05,26.47,119512
67,2017-10-26,26.47,26.59,26.41,26.55,85609
68,2017-10-27,26.55,26.56,26.46,26.51,51044
69,2017-10-30,26.54,26.59,26.41,26.46,81486
70,2017-10-31,26.51,26.66,26.431,26.56,64835
71,2017-11-01,26.61,26.63,26.46,26.5,55353
72,2017-11-02,26.57,26.7,26.5,26.7,71412
73,2017-11-03,26.74,26.75,26.64,26.75,15945
74,2017-11-06,26.75,26.79,26.67,26.74,142261
75,2017-11-07,26.71,26.78,26.66,26.72,127892
76,2017-11-08,26.78,26.78,26.58,26.67,22479
77,2017-11-09,26.58,26.78,26.5,26.78,19543
78,2017-11-10,26.77,26.8999,26.6,26.8865,60272
