,Date,Open,High,Low,Close,Volume
0,2005-02-25,64.08,65.3,62.26,62.85,643090
1,2005-02-28,62.75,64.32,60.53,61.66,595562
2,2005-03-01,62.5,63.5,61.02,61.1,436136
3,2005-03-02,61.41,65.75,60.51,62.23,1467794
4,2005-03-03,63.46,64.9,61.5,61.85,731897
5,2005-03-04,63.34,64.25,61.4,61.5,419444
6,2005-03-07,61.87,63.24,61.25,61.84,379584
7,2005-03-08,62.42,62.42,57.3,58.9,712746
8,2005-03-09,59.08,60.5,57.57,58.0,419306
9,2005-03-10,58.0,60.92,52.63,60.25,1201691
10,2005-03-11,61.18,61.49,54.98,55.49,1143547
11,2005-03-14,55.4,56.11,47.39,47.9,2442425
12,2005-03-15,48.52,51.23,48.25,49.6,1188455
13,2005-03-16,50.0,50.11,47.56,47.66,571455
14,2005-03-17,48.62,50.44,48.21,48.29,712927
15,2005-03-18,49.24,50.0,47.01,47.24,533999
16,2005-03-21,47.4,48.25,46.0,46.3,476230
17,2005-03-22,46.09,47.5,45.0,45.05,439445
18,2005-03-23,45.17,47.5,45.0,45.5,723940
19,2005-03-24,45.96,46.6,45.26,45.71,384768
20,2005-03-28,45.48,46.65,42.52,42.8,836723
21,2005-03-29,42.0,43.81,41.54,42.25,488825
22,2005-03-30,45.47,53.0,45.31,52.85,2950130
23,2005-03-31,53.73,54.4,48.6,49.72,2214708
24,2005-04-01,50.3,56.7,49.11,54.49,3867471
25,2005-04-04,54.5,55.7,50.88,51.9,1651660
26,2005-04-05,52.46,53.85,49.02,49.53,1137368
27,2005-04-06,49.5,50.36,47.75,48.1,773280
28,2005-04-07,48.25,48.25,45.75,46.4,803094
29,2005-04-08,46.05,46.8,44.42,44.76,536720
30,2005-04-11,45.6,49.85,45.0,46.3,2573663
31,2005-04-12,38.49,40.05,36.86,37.32,6579297
32,2005-04-13,36.81,37.69,33.99,34.34,2138931
33,2005-04-14,35.0,35.52,32.69,32.96,994102
34,2005-04-15,32.98,33.44,31.3,31.35,836293
35,2005-04-18,33.5,34.15,31.26,32.18,1234831
36,2005-04-19,32.4,33.1,30.53,31.23,916629
