,Date,Open,High,Low,Close,Volume
0,2017-09-21,25.53,25.84,25.474,25.61,112255
1,2017-09-22,25.62,25.75,25.62,25.75,45940
2,2017-09-25,25.81,25.92,25.75,25.75,19848
3,2017-09-26,25.7798,25.85,25.74,25.75,23276
4,2017-09-27,25.75,25.76,25.53,25.67,51137
5,2017-09-28,25.67,25.68,25.616,25.68,19537
6,2017-09-29,25.68,25.87,25.68,25.84,22660
7,2017-10-02,25.85,25.8676,25.6,25.78,71681
8,2017-10-03,25.779,25.83,25.65,25.81,46052
9,2017-10-04,25.83,25.92,25.78,25.89,18153
10,2017-10-05,25.88,25.95,25.88,25.94,12214
11,2017-10-06,25.9,25.9,25.72,25.89,12543
12,2017-10-09,25.83,26.0,25.77,26.0,27918
13,2017-10-10,26.03,26.19,25.9,26.08,39361
14,2017-10-11,26.11,26.2,26.01,26.19,36377
15,2017-10-12,26.21,26.35,26.096,26.31,52907
16,2017-10-13,26.31,26.63,26.29,26.62,19946
17,2017-10-16,26.63,26.67,26.11,26.41,46597
18,2017-10-17,26.49,26.815,26.49,26.65,28786
19,2017-10-18,26.5101,26.74,26.51,26.735,23250
20,2017-10-19,26.88,26.88,26.63,26.73,43362
21,2017-10-20,26.73,26.75,26.41,26.63,387116
22,2017-10-23,26.6,26.78,26.555,26.78,57224
23,2017-10-24,26.61,26.62,26.4486,26.48,23312
24,2017-10-25,26.5,26.57,26.3138,26.43,16880
25,2017-10-26,26.64,26.65,26.545,26.6,11697
26,2017-10-27,26.515,26.6,26.43,26.53,5874
27,2017-10-30,26.5609,26.5806,26.5609,26.5806,643
28,2017-10-31,26.54,26.6271,26.45,26.59,6758
29,2017-11-01,26.65,26.65,26.59,26.59,2553
30,2017-11-02,26.6712,26.6712,26.6712,26.6712,175
31,2017-11-06,26.5,26.65,26.5,26.65,6173
32,2017-11-07,26.52,26.87,26.52,26.87,13109
33,2017-11-09,26.84,26.85,26.59,26.71,19657
34,2017-11-10,26.62,26.71,26.54,26.61,8797
