,Date,Open,High,Low,Close,Volume
0,2005-02-25,24.239,25.2,24.23,25.192,68822
1,2005-02-28,24.867,26.913,24.666,26.556,181652
2,2005-03-01,25.911,26.814,25.911,26.581,92718
3,2005-03-02,26.948,27.39,26.029,26.99,99743
4,2005-03-03,26.99,27.542,26.573,26.99,44530
5,2005-03-04,26.856,27.475,26.796,27.416,36613
6,2005-03-07,26.913,28.051,26.548,27.667,119033
7,2005-03-08,27.624,28.496,26.982,28.461,238153
8,2005-03-09,27.95,28.452,27.95,28.068,54101
9,2005-03-10,28.01,28.402,27.86,27.868,52515
10,2005-03-11,27.86,28.409,27.175,27.524,62606
11,2005-03-14,27.081,28.194,25.075,27.475,83158
12,2005-03-15,27.95,28.152,26.731,27.356,107904
13,2005-03-16,26.787,27.676,26.74,27.132,98073
14,2005-03-17,26.839,27.566,26.597,26.973,27839
15,2005-03-18,27.373,27.734,26.162,26.874,79037
16,2005-03-21,26.496,26.748,25.753,26.589,71866
17,2005-03-22,26.322,27.65,26.322,27.533,82940
18,2005-03-23,27.248,27.89,26.748,27.725,104605
19,2005-03-24,27.709,29.822,27.248,28.338,775702
20,2005-03-28,28.638,28.72,28.143,28.418,217783
21,2005-03-29,28.418,28.505,28.211,28.392,117498
22,2005-03-30,28.619,28.628,28.301,28.354,78765
23,2005-03-31,28.418,28.577,28.218,28.276,106600
24,2005-04-01,28.586,28.628,28.211,28.338,101758
25,2005-04-04,28.619,28.696,28.338,28.418,132922
26,2005-04-05,28.536,28.696,28.418,28.696,143225
27,2005-04-06,28.779,28.802,28.292,28.346,175961
28,2005-04-07,28.536,28.67,28.169,28.443,46499
29,2005-04-08,28.586,28.662,28.134,28.319,89288
30,2005-04-11,28.496,28.505,28.16,28.26,91741
31,2005-04-12,28.418,28.586,28.169,28.461,75118
32,2005-04-13,28.619,28.619,28.002,28.218,61175
33,2005-04-14,28.409,28.418,28.027,28.211,80742
34,2005-04-15,28.377,28.418,28.126,28.268,59213
35,2005-04-18,28.505,28.544,28.211,28.301,106416
36,2005-04-19,28.544,28.628,28.301,28.384,109227
37,2005-04-20,28.418,28.628,28.211,28.628,129249
38,2005-04-21,28.426,28.953,28.426,28.845,98822
39,2005-04-22,28.904,28.904,27.985,28.178,174198
40,2005-04-25,28.418,28.418,28.083,28.268,115951
41,2005-04-26,28.384,28.384,28.002,28.251,104775
42,2005-04-27,28.369,28.369,28.002,28.251,102903
43,2005-04-28,28.211,28.362,28.051,28.178,63766
44,2005-04-29,28.319,28.319,27.835,28.319,1371932
45,2005-05-02,28.377,29.329,28.211,29.265,163183
46,2005-05-03,29.188,31.134,28.505,29.822,246422
47,2005-05-04,30.167,31.896,30.098,31.662,193953
48,2005-05-05,31.764,32.449,31.344,31.97,166366
49,2005-05-06,32.073,32.347,30.14,30.941,165069
50,2005-05-09,31.513,31.62,30.175,31.287,214704
51,2005-05-10,31.468,32.063,30.809,31.211,250825
52,2005-05-11,31.521,31.67,30.609,31.67,55891
53,2005-05-12,31.764,31.955,30.551,30.71,44388
54,2005-05-13,31.178,31.662,30.591,30.752,67363
55,2005-05-16,31.102,31.102,29.991,30.816,100882
56,2005-05-17,30.441,30.985,30.192,30.66,81048
57,2005-05-18,30.567,30.926,30.248,30.543,109138
58,2005-05-19,30.693,31.72,30.493,31.211,88306
59,2005-05-20,31.37,32.431,31.37,32.006,110653
60,2005-05-23,32.332,33.342,32.055,32.873,189553
61,2005-05-24,32.959,32.959,32.413,32.556,84178
62,2005-05-25,32.355,33.006,32.273,32.623,80426
63,2005-05-26,33.11,33.351,32.181,32.489,111583
64,2005-05-27,32.738,32.738,32.13,32.597,68249
65,2005-05-31,32.406,33.14,32.164,32.959,82811
66,2005-06-01,33.377,33.391,31.219,31.805,540658
67,2005-06-02,31.887,32.34,31.545,32.264,88648
68,2005-06-03,32.347,32.856,31.78,32.073,71637
69,2005-06-06,31.552,33.252,31.521,33.226,234437
70,2005-06-07,33.377,33.4,32.765,32.925,80724
71,2005-06-08,33.391,33.619,32.849,33.5,88636
72,2005-06-09,33.642,33.719,32.849,33.657,112570
73,2005-06-10,33.612,33.927,33.436,33.612,41021
74,2005-06-13,33.943,34.103,33.436,33.568,70155
75,2005-06-14,33.852,34.979,33.235,34.521,127421
76,2005-06-15,33.918,35.097,33.785,35.056,119175
77,2005-06-16,34.979,35.448,34.728,35.323,90341
78,2005-06-17,30.024,35.35,30.024,32.907,382132
79,2005-06-20,32.907,33.533,32.457,33.284,112666
80,2005-06-21,33.05,34.988,33.05,34.672,152226
81,2005-06-22,34.979,35.825,34.897,35.732,101021
82,2005-06-23,35.775,35.898,34.386,34.404,103540
83,2005-06-24,34.27,34.27,33.604,33.701,97117
84,2005-06-27,33.612,35.28,33.612,35.073,76867
85,2005-06-28,35.473,36.537,35.064,36.411,150133
86,2005-06-29,36.468,37.329,35.993,37.312,131674
87,2005-06-30,37.397,37.997,37.103,37.127,113453
88,2005-07-01,37.803,37.865,36.537,37.646,63826
89,2005-07-05,37.279,37.671,36.819,37.504,105346
90,2005-07-06,37.671,37.671,36.627,36.871,97796
91,2005-07-07,36.527,37.613,36.12,37.581,78853
92,2005-07-08,37.956,38.274,36.359,37.613,88947
93,2005-07-11,38.098,39.887,37.446,38.907,125062
94,2005-07-12,39.01,39.537,37.638,37.757,117300
95,2005-07-13,37.821,38.433,37.455,38.232,78073
96,2005-07-14,38.791,38.791,36.047,36.871,115387
97,2005-07-15,36.368,37.405,36.368,36.994,42777
98,2005-07-18,37.629,37.629,36.056,36.277,109782
99,2005-07-19,36.709,37.606,36.277,37.338,45981
100,2005-07-20,37.154,37.865,36.61,37.446,72219
101,2005-07-21,37.539,37.629,36.459,37.039,53701
102,2005-07-22,37.774,38.608,36.687,38.608,119368
103,2005-07-25,38.199,39.276,37.706,38.933,135765
104,2005-07-26,38.64,39.268,37.766,38.541,82352
105,2005-07-27,38.074,38.292,37.347,38.149,82371
106,2005-07-28,37.971,38.19,37.757,37.907,61079
107,2005-07-29,37.629,38.166,37.288,37.429,46456
108,2005-08-01,37.295,37.949,37.039,37.581,54731
109,2005-08-02,37.766,38.024,37.338,38.024,54777
110,2005-08-03,38.024,38.024,36.945,36.961,71197
111,2005-08-04,36.985,36.985,34.998,35.834,117130
112,2005-08-05,35.74,35.942,35.482,35.525,79307
113,2005-08-08,35.525,35.89,35.113,35.332,84729
114,2005-08-09,35.425,35.807,34.163,34.595,81611
115,2005-08-10,34.338,35.208,33.903,34.604,83129
116,2005-08-11,34.529,35.693,34.086,35.005,60237
117,2005-08-12,35.082,35.231,34.245,34.664,65323
118,2005-08-15,34.69,35.665,34.194,35.249,98796
119,2005-08-16,35.432,35.665,34.163,34.163,63195
120,2005-08-17,34.027,34.622,32.783,34.279,74896
121,2005-08-18,34.354,34.745,33.226,34.254,58737
122,2005-08-19,34.154,35.231,34.154,34.295,67686
123,2005-08-22,34.579,35.005,34.279,34.771,35684
124,2005-08-23,34.998,34.998,33.466,34.204,62334
125,2005-08-24,34.019,34.771,33.935,34.404,51389
126,2005-08-25,34.413,34.814,33.885,34.027,56718
127,2005-08-26,33.809,34.019,32.691,33.201,93956
128,2005-08-29,32.825,34.095,31.094,33.927,261179
129,2005-08-30,33.596,34.771,33.551,34.178,122077
130,2005-08-31,33.87,34.604,33.87,34.445,225793
131,2005-09-01,34.21,34.638,33.418,34.045,147992
132,2005-09-02,34.338,34.63,33.71,34.27,112630
133,2005-09-06,33.87,35.24,33.87,35.24,78428
134,2005-09-07,34.998,35.231,34.638,34.855,35237
135,2005-09-08,34.521,34.863,33.642,33.728,61313
136,2005-09-09,33.533,35.106,32.708,34.529,195107
137,2005-09-12,34.27,34.737,33.101,33.275,292704
138,2005-09-13,33.014,34.471,31.764,34.27,635247
139,2005-09-14,34.227,34.462,34.01,34.146,139192
140,2005-09-15,34.27,34.312,33.918,34.204,123652
141,2005-09-16,34.204,34.386,34.045,34.312,647592
142,2005-09-19,34.086,34.27,33.436,33.577,388717
143,2005-09-20,33.452,33.911,32.738,33.023,461606
144,2005-09-21,32.791,34.386,32.791,34.227,850031
145,2005-09-22,34.06,34.304,33.568,34.112,706691
146,2005-09-23,33.943,34.529,33.625,34.529,922338
147,2005-09-26,34.579,35.199,34.437,35.181,218787
148,2005-09-27,37.03,38.442,36.788,37.865,704979
149,2005-09-28,37.662,38.157,37.504,37.74,736591
150,2005-09-29,37.83,38.45,37.372,38.308,310003
151,2005-09-30,38.45,38.515,37.606,37.706,2161692
152,2005-10-03,37.68,37.865,37.429,37.774,559277
153,2005-10-04,37.856,37.956,37.347,37.488,724833
154,2005-10-05,37.671,37.671,35.843,36.778,376042
155,2005-10-06,37.803,37.803,36.559,37.003,229746
156,2005-10-07,37.279,37.757,36.929,37.689,130394
157,2005-10-10,37.813,37.979,37.438,37.556,258138
158,2005-10-11,37.74,37.789,37.295,37.572,250478
159,2005-10-12,37.364,37.74,36.985,37.288,219908
160,2005-10-13,37.438,37.821,37.012,37.355,202218
161,2005-10-14,37.706,37.865,36.743,37.646,141258
162,2005-10-17,37.653,37.653,36.827,36.976,146662
163,2005-10-18,36.796,37.213,36.065,36.335,255261
164,2005-10-19,36.092,36.871,35.599,36.871,343832
165,2005-10-20,37.012,37.012,35.44,35.648,279346
166,2005-10-21,35.473,36.074,35.199,35.525,310983
167,2005-10-24,35.775,37.581,35.775,37.154,282031
168,2005-10-25,36.796,37.613,36.403,36.893,262987
169,2005-10-26,37.047,37.512,36.878,37.397,207204
170,2005-10-27,37.11,37.378,36.619,37.003,201943
171,2005-10-28,36.945,37.372,36.527,37.171,145832
172,2005-10-31,37.364,38.032,37.012,37.629,339414
173,2005-11-01,36.953,37.397,36.695,36.885,324223
174,2005-11-02,36.687,37.988,36.568,37.931,155120
