,Date,Open,High,Low,Close,Volume
0,2005-02-25,22.5,22.875,22.0,22.55,790122
1,2005-02-28,22.585,22.725,22.2,22.26,555922
2,2005-03-01,22.2,22.46,21.95,22.12,303196
3,2005-03-02,21.575,21.75,20.15,21.055,1300650
4,2005-03-03,20.995,21.355,20.77,21.095,325500
5,2005-03-04,20.995,21.3,20.945,21.175,276304
6,2005-03-07,20.93,21.49,20.87,21.405,453762
7,2005-03-08,21.5,21.725,21.39,21.425,315802
8,2005-03-09,21.39,21.66,21.33,21.5,272120
9,2005-03-10,21.695,21.795,21.505,21.72,316426
10,2005-03-11,21.75,21.96,21.63,21.715,217466
11,2005-03-14,21.755,23.62,21.755,23.32,893374
12,2005-03-15,23.53,24.935,23.345,23.555,974324
13,2005-03-16,23.555,24.36,23.545,23.725,673176
14,2005-03-17,23.71,24.0,22.735,22.88,628224
15,2005-03-18,22.985,23.11,22.28,22.465,539390
16,2005-03-21,22.82,24.02,22.475,23.86,862424
17,2005-03-22,23.985,24.215,23.65,23.905,521476
18,2005-03-23,23.995,23.995,23.425,23.545,745854
19,2005-03-24,23.545,24.175,23.3,24.07,347646
20,2005-03-28,24.19,25.56,24.19,24.91,675432
21,2005-03-29,24.99,26.465,24.99,25.415,875256
22,2005-03-30,25.5,25.75,22.79,23.325,1664638
23,2005-03-31,23.5,24.475,23.13,23.65,1516700
24,2005-04-01,23.99,24.13,22.285,22.54,1252546
25,2005-04-04,22.275,23.825,21.63,23.645,1134882
26,2005-04-05,23.79,24.24,23.13,23.98,471754
27,2005-04-06,24.055,24.095,23.355,23.415,515064
28,2005-04-07,23.245,23.63,23.075,23.305,328814
29,2005-04-08,23.49,24.15,23.405,23.425,598622
30,2005-04-11,23.59,23.73,22.93,22.93,541098
31,2005-04-12,22.895,22.985,22.4,22.82,528546
32,2005-04-13,22.75,22.84,22.305,22.445,346400
33,2005-04-14,22.5,23.215,22.33,23.1,606654
34,2005-04-15,23.25,23.695,22.825,23.115,621956
35,2005-04-18,22.88,23.145,22.525,22.97,419778
36,2005-04-19,22.88,24.05,22.88,23.665,631344
37,2005-04-20,23.37,23.38,21.0,21.06,1814790
38,2005-04-21,21.26,22.185,20.035,22.04,1513134
39,2005-04-22,22.04,22.365,21.21,21.395,599074
40,2005-04-25,21.485,21.51,20.73,21.385,563096
41,2005-04-26,21.385,22.085,21.305,22.0,631666
42,2005-04-27,21.86,22.22,21.42,22.0,420488
43,2005-04-28,21.78,21.92,20.68,20.705,871672
44,2005-04-29,20.75,21.0,20.25,20.665,786178
45,2005-05-02,20.63,20.955,20.315,20.525,616910
46,2005-05-03,20.35,21.25,20.33,20.94,605600
47,2005-05-04,20.81,21.55,20.81,21.325,498206
48,2005-05-05,21.465,21.77,21.275,21.555,425900
49,2005-05-06,21.7,21.8,21.48,21.75,262952
50,2005-05-09,21.815,21.825,21.475,21.565,192756
51,2005-05-10,21.625,21.625,21.075,21.11,281246
52,2005-05-11,21.38,21.75,20.875,21.555,252080
53,2005-05-12,21.54,21.695,21.15,21.34,260006
54,2005-05-13,21.3,21.895,21.2,21.325,365200
55,2005-05-16,21.525,22.28,21.28,22.255,356838
56,2005-05-17,22.185,22.26,21.5,21.96,362184
57,2005-05-18,22.23,22.49,22.03,22.48,324764
58,2005-05-19,22.73,22.75,22.065,22.2,255914
59,2005-05-20,22.15,22.445,21.82,21.94,259870
60,2005-05-23,21.89,22.4,21.75,22.26,278384
61,2005-05-24,22.345,22.345,22.005,22.04,169212
62,2005-05-25,22.17,22.35,22.04,22.235,192100
63,2005-05-26,22.48,22.495,22.005,22.1,238448
64,2005-05-27,22.1,22.3,21.88,22.0,203006
65,2005-05-31,21.93,22.13,21.505,21.95,317092
66,2005-06-01,22.01,22.025,21.695,21.81,322284
67,2005-06-02,21.75,21.9,21.5,21.715,304532
68,2005-06-03,21.75,21.765,21.435,21.455,219974
