,Date,Open,High,Low,Close,Volume
0,2015-04-29,8.5,9.48,8.21,8.96,435200
1,2015-04-30,9.32,9.4,8.55,8.8,110500
2,2015-05-01,8.98,9.15,8.7,9.1,66400
3,2015-05-04,9.05,9.79,9.0,9.49,55300
4,2015-05-05,9.48,10.23,9.21,9.5,137100
5,2015-05-06,9.83,10.0,9.3005,9.7,106281
6,2015-05-07,9.41,9.796,8.95,9.15,38574
7,2015-05-08,9.41,9.6,8.5,9.39,89000
8,2015-05-11,9.21,9.4,9.0,9.39,7600
9,2015-05-12,9.2,9.2,8.7,9.0,22500
10,2015-05-13,8.73,8.99,8.6,8.97,40800
11,2015-05-14,8.75,9.48,8.75,9.37,48700
12,2015-05-15,9.83,9.83,9.0119,9.42,91243
13,2015-05-18,9.31,9.31,8.85,9.08,31580
14,2015-05-19,8.82,8.99,8.69,8.96,41700
15,2015-05-20,8.7,9.12,8.35,9.01,99900
16,2015-05-21,8.68,9.18,8.68,9.13,34000
17,2015-05-22,9.09,9.35,8.92,9.06,42300
18,2015-05-26,8.78,8.8,8.4,8.48,49112
19,2015-05-27,8.39,8.74,8.18,8.37,54900
20,2015-05-28,8.47,8.6,8.11,8.22,109641
21,2015-05-29,8.36,8.55,8.03,8.23,155300
22,2015-06-01,8.3,8.34,7.51,7.58,115800
23,2015-06-02,7.7,8.14,7.7,7.83,15005
24,2015-06-03,7.85,7.97,7.71,7.87,6400
25,2015-06-04,7.84,7.95,7.8,7.94,23800
26,2015-06-05,7.97,8.03,7.79,7.89,55700
27,2015-06-08,7.95,8.22,7.76,8.02,39300
28,2015-06-09,7.95,8.04,7.75,7.81,14080
29,2015-06-10,7.91,7.96,7.8,7.8,3040
30,2015-06-11,7.89,7.89,7.7,7.86,8981
31,2015-06-12,7.85,7.85,7.1,7.67,30100
32,2015-06-15,7.6,8.0,7.25,7.68,153700
33,2015-06-16,7.65,7.97,7.14,7.28,49500
34,2015-06-17,7.31,8.0,7.04,7.36,25400
35,2015-06-18,7.36,7.95,7.3,7.52,27800
36,2015-06-19,7.9,7.92,6.71,6.73,71200
37,2015-06-22,7.28,7.69,6.95,7.25,15900
38,2015-06-23,7.21,7.68,7.1501,7.42,11284
39,2015-06-24,7.35,7.5,7.05,7.25,18400
40,2015-06-25,7.22,8.21,7.09,7.09,17100
41,2015-06-26,7.3,7.64,6.94,7.08,25400
42,2015-06-29,7.22,7.39,6.69,7.06,10900
43,2015-06-30,7.3,7.3,6.99,7.14,6617
44,2015-07-01,7.08,7.71,6.52,6.93,59500
45,2015-07-02,7.2,7.39,6.81,7.13,2200
46,2015-07-06,7.18,7.61,7.06,7.08,1400
47,2015-07-07,6.82,7.15,6.82,6.88,4700
48,2015-07-08,6.99,7.41,6.99,7.14,4100
49,2015-07-09,7.0,7.61,6.84,7.05,1500
50,2015-07-10,7.12,7.2,6.95,6.95,8100
51,2015-07-13,7.32,7.32,6.9,6.95,4500
52,2015-07-14,6.6,7.6,6.6,7.05,12924
53,2015-07-15,7.21,7.3,7.11,7.28,3322
54,2015-07-16,7.04,7.3,6.28,6.95,33100
55,2015-07-17,6.91,7.07,6.5,7.07,18100
56,2015-07-20,7.1,7.26,6.56,6.64,29500
57,2015-07-21,7.0,7.0,6.75,6.76,4100
58,2015-07-22,6.52,6.52,6.46,6.46,500
59,2015-07-23,6.95,6.95,5.86,6.02,7800
60,2015-07-24,6.07,6.95,6.07,6.57,39100
61,2015-07-27,6.58,6.93,6.15,6.4,29600
62,2015-07-28,6.12,6.74,5.74,6.32,28000
63,2015-07-29,5.9,6.85,5.72,6.47,43300
64,2015-07-30,6.7,6.84,6.22,6.42,34700
65,2015-07-31,6.49,6.69,6.05,6.09,35700
66,2015-08-03,6.69,6.89,6.16,6.535,6436
67,2015-08-04,6.37,6.69,5.8,5.9,22200
68,2015-08-05,6.2,6.5,5.55,6.1,19900
69,2015-08-06,6.19,6.21,5.8,5.89,7567
70,2015-08-07,5.85,6.45,5.3,6.45,25800
71,2015-08-10,6.37,6.45,5.81,6.14,12900
72,2015-08-11,6.22,6.45,5.5,6.45,5113
73,2015-08-12,6.26,6.26,6.2,6.2,2400
74,2015-08-13,6.38,7.42,6.3,7.31,83200
75,2015-08-14,7.12,7.52,7.12,7.27,13100
76,2015-08-17,7.38,7.75,7.0,7.73,14200
77,2015-08-18,7.7,7.72,7.29,7.32,10300
78,2015-08-19,7.38,7.38,6.75,7.14,13800
79,2015-08-20,7.13,7.59,6.75,6.99,4900
80,2015-08-21,6.87,6.99,6.17,6.17,7800
81,2015-08-24,6.04,7.43,6.0,6.5,12388
82,2015-08-25,7.35,7.36,6.04,6.79,10200
83,2015-08-26,6.9,6.9,5.98,6.1,19200
84,2015-08-27,5.92,6.5,5.92,6.14,6000
85,2015-08-28,6.07,6.49,6.04,6.29,5000
86,2015-08-31,6.26,6.8,6.01,6.15,5800
87,2015-09-01,6.14,6.55,6.14,6.26,1700
88,2015-09-02,6.76,6.99,6.05,6.06,1000
89,2015-09-03,5.78,7.19,5.78,6.51,2800
90,2015-09-04,6.2,6.3,6.2,6.3,400
91,2015-09-08,6.46,7.06,6.42,6.45,2000
92,2015-09-09,6.46,6.46,6.09,6.11,14200
93,2015-09-10,6.17,6.17,5.89,5.99,1639
94,2015-09-11,5.82,6.4,5.82,6.25,19100
95,2015-09-14,6.12,6.48,6.02,6.25,800
96,2015-09-15,6.14,6.14,5.81,5.9,4400
97,2015-09-16,5.75,5.91,5.7,5.83,7100
98,2015-09-17,5.72,6.2,5.37,5.95,6300
99,2015-09-18,5.5,6.14,5.5,5.78,6600
100,2015-09-21,5.52,5.85,5.43,5.53,5800
101,2015-09-22,5.56,6.04,5.56,5.61,5400
102,2015-09-23,6.0,6.0,5.45,5.54,3200
103,2015-09-24,5.59,5.59,5.14,5.57,15425
104,2015-09-25,5.44,5.98,5.16,5.89,23000
105,2015-09-28,5.38,5.9,5.37,5.5,28237
106,2015-09-29,5.64,5.78,5.5,5.78,2200
107,2015-09-30,5.6,5.86,5.0,5.86,6300
108,2015-10-01,5.8,5.8,5.33,5.64,2300
109,2015-10-02,5.39,5.79,5.39,5.56,1300
110,2015-10-05,5.63,5.73,5.29,5.29,1578
111,2015-10-06,5.22,5.67,5.22,5.67,500
112,2015-10-07,5.49,5.49,5.29,5.31,900
113,2015-10-08,5.32,6.8,5.32,6.8,10100
114,2015-10-09,6.95,6.95,6.5,6.5,5400
115,2015-10-12,6.6,6.88,6.6,6.87,921
116,2015-10-13,6.89,6.95,6.11,6.76,5100
117,2015-10-14,6.84,6.9,6.8,6.9,4100
118,2015-10-15,7.14,7.14,6.05,6.4,15500
119,2015-10-16,6.84,6.84,5.95,6.0,8600
120,2015-10-19,6.2,6.5,5.98,6.21,6500
121,2015-10-20,6.21,6.4,6.21,6.4,700
122,2015-10-21,6.23,6.7,5.75,6.23,3700
123,2015-10-22,6.0,6.49,5.61,6.0,2100
124,2015-10-23,5.98,6.49,5.98,6.2,900
125,2015-10-26,5.98,6.34,5.98,6.26,500
126,2015-10-27,6.48,6.48,6.33,6.33,400
127,2015-10-28,6.35,6.78,5.31,5.7,28000
128,2015-10-29,5.97,6.09,5.0,5.87,23600
129,2015-10-30,5.72,5.72,5.37,5.64,800
130,2015-11-02,5.63,5.82,5.16,5.45,2638
131,2015-11-03,5.64,5.64,5.05,5.2,6300
132,2015-11-04,5.27,5.65,5.23,5.65,5692
133,2015-11-05,5.49,5.49,5.0,5.01,17500
134,2015-11-06,5.25,5.39,5.06,5.09,12700
135,2015-11-09,5.08,5.21,5.08,5.21,360
136,2015-11-10,5.03,5.2,4.72,4.73,3500
137,2015-11-11,4.72,5.01,4.55,4.74,3100
138,2015-11-12,4.81,4.81,4.71,4.71,300
139,2015-11-13,4.85,4.85,4.82,4.82,300
140,2015-11-16,4.94,5.02,4.71,5.0,7100
141,2015-11-17,5.0,5.12,5.0,5.0,2000
142,2015-11-18,4.88,5.0,4.76,4.76,6400
143,2015-11-19,4.94,4.94,4.34,4.65,9500
144,2015-11-20,4.5,4.5,4.41,4.44,4500
145,2015-11-23,4.52,4.55,4.36,4.39,9600
146,2015-11-24,4.3,4.3,3.24,3.4,98700
147,2015-11-25,3.59,3.59,3.27,3.3,25800
148,2015-11-27,3.98,3.98,3.26,3.3,14900
149,2015-11-30,3.28,3.28,3.13,3.2,10100
