,Date,Open,High,Low,Close,Volume
0,2016-04-08,0.05,0.32,0.05,0.26,383594
1,2016-04-11,0.3,0.34,0.25,0.33,339500
2,2016-04-12,0.32,0.34,0.27,0.31,13429
3,2016-04-13,0.28,0.34,0.23,0.27,46900
4,2016-04-14,0.32,0.32,0.25,0.2866,29643
5,2016-04-15,0.33,0.39,0.2999,0.39,373464
6,2016-04-18,0.4,0.4,0.31,0.31,236637
7,2016-04-19,0.35,0.35,0.31,0.31,65690
8,2016-04-20,0.3,0.38,0.3,0.36,126700
9,2016-04-21,0.41,0.41,0.368,0.38,77650
10,2016-04-22,0.35,0.42,0.35,0.4169,139914
11,2016-04-25,0.4,0.5,0.4,0.4736,187180
12,2016-04-26,0.5,0.5,0.421,0.47,86247
13,2016-04-27,0.458,0.47,0.42,0.47,14950
14,2016-04-28,0.4,0.45,0.4,0.45,21500
15,2016-04-29,0.4,0.45,0.4,0.45,39910
16,2016-05-02,0.4,0.4136,0.35,0.35,36615
17,2016-05-03,0.41,0.41,0.3644,0.38,80520
18,2016-05-04,0.37,0.37,0.32,0.32,56600
19,2016-05-05,0.35,0.35,0.33,0.35,14200
20,2016-05-06,0.37,0.38,0.32,0.32,5800
21,2016-05-09,0.32,0.32,0.31,0.31,7500
22,2016-05-11,0.33,0.35,0.33,0.33,9197
23,2016-05-12,0.35,0.35,0.33,0.33,4522
24,2016-05-13,0.33,0.33,0.31,0.31,21500
25,2016-05-17,0.35,0.4,0.28,0.28,16000
26,2016-05-18,0.39,0.39,0.39,0.39,6900
27,2016-05-19,0.39,0.39,0.3899,0.3899,12952
28,2016-05-20,0.39,0.4,0.39,0.39,14600
29,2016-05-23,0.4,0.42,0.3601,0.4,56467
30,2016-05-24,0.39,0.39,0.365,0.38,56234
31,2016-05-25,0.35,0.4,0.3499,0.4,19990
32,2016-05-26,0.4,0.4,0.4,0.4,792
33,2016-05-27,0.4,0.45,0.4,0.4,25433
34,2016-05-31,0.425,0.425,0.375,0.415,9900
35,2016-06-01,0.435,0.53,0.4,0.5,39858
36,2016-06-02,0.5,0.5,0.5,0.5,100
37,2016-06-03,0.31,0.45,0.31,0.4,18419
38,2016-06-06,0.38,0.44,0.38,0.41,8900
39,2016-06-07,0.41,0.41,0.355,0.3729,25601
40,2016-06-09,0.4,0.4,0.4,0.4,100
41,2016-06-10,0.4,0.4,0.379,0.379,12611
42,2016-06-13,0.38,0.38,0.3799,0.38,15900
43,2016-06-14,0.38,0.38,0.35,0.38,11069
44,2016-06-15,0.36,0.36,0.36,0.36,2200
45,2016-06-16,0.38,0.38,0.38,0.38,100
46,2016-06-17,0.38,0.38,0.38,0.38,100
47,2016-06-21,0.38,0.38,0.38,0.38,100
48,2016-06-22,0.38,0.38,0.38,0.38,100
49,2016-06-23,0.37,0.37,0.37,0.37,100
50,2016-06-28,0.35,0.35,0.35,0.35,5800
51,2016-06-29,0.32,0.35,0.28,0.35,21130
52,2016-07-01,0.35,0.35,0.35,0.35,4000
53,2016-07-05,0.35,0.35,0.35,0.35,3397
54,2016-07-06,0.3,0.3711,0.29,0.3711,38500
55,2016-07-11,0.3,0.3023,0.3,0.3,5600
56,2016-07-14,0.38,0.38,0.38,0.38,100
57,2016-07-15,0.38,0.38,0.38,0.38,100
58,2016-07-18,0.3001,0.3059,0.266,0.3059,20200
59,2016-07-20,0.2901,0.348,0.2901,0.3133,7800
60,2016-07-22,0.2901,0.348,0.2901,0.348,200
61,2016-07-27,0.384,0.384,0.384,0.384,8900
62,2016-07-28,0.4,0.43,0.4,0.43,4200
63,2016-07-29,0.4,0.4,0.3988,0.4,18885
64,2016-08-03,0.45,0.45,0.4,0.4,10100
65,2016-08-04,0.41,0.41,0.395,0.395,24308
66,2016-08-05,0.44,0.45,0.44,0.45,16500
67,2016-08-08,0.44,0.48,0.44,0.48,4810
68,2016-08-09,0.46,0.48,0.45,0.48,8233
69,2016-08-10,0.48,0.48,0.4584,0.47,4177
70,2016-08-11,0.52,0.52,0.52,0.52,100
71,2016-08-12,0.52,0.52,0.5,0.5,2090
72,2016-08-15,0.5,0.5,0.5,0.5,200
73,2016-08-22,0.46,0.48,0.447,0.45,9489
74,2016-08-23,0.4,0.4,0.4,0.4,200
75,2016-08-25,0.48,0.48,0.4428,0.45,7655
76,2016-08-26,0.5,0.5,0.5,0.5,100
77,2016-08-29,0.47,0.5,0.47,0.5,5100
78,2016-08-30,0.4978,0.4978,0.4978,0.4978,100
79,2016-08-31,0.47,0.47,0.47,0.47,100
80,2016-09-01,0.47,0.47,0.47,0.47,100
81,2016-09-02,0.47,0.47,0.47,0.47,100
82,2016-09-06,0.41,0.45,0.41,0.45,200
83,2016-09-08,0.45,0.47,0.45,0.45,3800
84,2016-09-09,0.47,0.47,0.46,0.47,6650
85,2016-09-13,0.47,0.47,0.47,0.47,7700
86,2016-09-14,0.47,0.47,0.47,0.47,1000
87,2016-09-15,0.47,0.47,0.47,0.47,6425
88,2016-09-16,0.47,0.499,0.45,0.4745,16300
89,2016-09-19,0.4745,0.499,0.45,0.499,12300
90,2016-09-20,0.47,0.47,0.47,0.47,1800
91,2016-09-21,0.47,0.47,0.4525,0.47,13650
92,2016-09-22,0.47,0.47,0.47,0.47,10100
93,2016-09-23,0.47,0.49,0.47,0.49,400
94,2016-09-26,0.45,0.45,0.448,0.45,8300
95,2016-09-27,0.45,0.45,0.45,0.45,5800
96,2016-09-28,0.45,0.479,0.45,0.479,7100
97,2016-09-29,0.4795,0.48,0.4795,0.48,1100
98,2016-10-03,0.4798,0.518,0.4798,0.5,15500
99,2016-10-04,0.4933,0.5,0.4933,0.4999,8300
100,2016-10-05,0.4999,0.4999,0.4999,0.4999,100
101,2016-10-06,0.4999,0.4999,0.48,0.4999,20600
102,2016-10-07,0.4999,0.4999,0.4999,0.4999,135
103,2016-10-12,0.44,0.4999,0.4,0.45,12591
104,2016-10-13,0.43,0.4999,0.43,0.43,7800
105,2016-10-14,0.41,0.4999,0.4,0.4,58297
