,Date,Open,High,Low,Close,Volume
0,2009-10-27,17.0,17.0,17.0,17.0,0
1,2009-10-28,19.5,20.29,17.95,17.95,10208434
2,2009-10-29,18.33,19.4,17.71,18.67,1310894
3,2009-10-30,18.97,19.05,17.35,17.57,520135
4,2009-11-02,18.1,19.18,17.51,18.4,467551
5,2009-11-03,18.02,18.87,17.8,18.6,343450
6,2009-11-04,19.1,19.47,18.65,18.95,554447
7,2009-11-05,19.29,19.65,18.53,19.3,191669
8,2009-11-06,18.9,19.71,18.76,19.41,161703
9,2009-11-09,19.74,20.09,19.61,20.01,164136
10,2009-11-10,20.12,21.39,19.9,20.24,350999
11,2009-11-11,19.75,20.82,19.75,20.32,52765
12,2009-11-12,20.35,20.53,20.11,20.15,97367
13,2009-11-13,19.99,20.17,19.71,19.94,257038
14,2009-11-16,20.39,20.39,18.84,18.97,208634
15,2009-11-17,18.99,19.5,18.99,19.41,88496
16,2009-11-18,19.81,19.81,18.56,18.85,100243
17,2009-11-19,18.75,18.75,17.68,17.9,189988
18,2009-11-20,17.72,18.02,17.61,17.95,116547
19,2009-11-23,18.63,19.07,18.43,18.73,162385
20,2009-11-24,18.7,19.16,18.28,18.86,141989
21,2009-11-25,18.95,19.41,18.86,19.3,144267
22,2009-11-27,18.58,19.12,18.5,18.97,19788
23,2009-11-30,19.25,19.41,18.0,18.5,402857
24,2009-12-01,18.5,18.79,18.23,18.77,165910
25,2009-12-02,18.88,19.7,18.84,19.5,161916
26,2009-12-03,19.48,19.9,19.05,19.51,143706
27,2009-12-04,19.88,20.17,19.57,20.15,105393
28,2009-12-07,20.57,21.4,19.83,20.42,197045
29,2009-12-08,20.5,21.0,20.14,20.63,134635
30,2009-12-09,20.65,20.7,20.4,20.5,93376
31,2009-12-10,20.4,20.94,19.71,20.42,152251
32,2009-12-11,20.58,20.85,20.31,20.47,61309
33,2009-12-14,20.55,20.75,20.23,20.25,126690
34,2009-12-15,20.38,20.8,20.01,20.08,131632
35,2009-12-16,20.0,21.14,20.0,20.92,288620
36,2009-12-17,20.75,22.11,20.65,21.77,251816
37,2009-12-18,21.88,22.18,21.13,21.31,856747
38,2009-12-21,21.72,22.21,21.39,21.97,122925
39,2009-12-22,22.01,22.32,21.67,21.88,83567
40,2009-12-23,21.9,23.09,21.9,22.36,74819
41,2009-12-24,22.52,23.07,22.52,22.63,63734
42,2009-12-28,22.78,23.31,22.46,23.22,76084
43,2009-12-29,23.3,24.0,22.93,23.65,116306
44,2009-12-30,23.4,23.65,21.87,22.5,149317
45,2009-12-31,22.56,22.56,21.73,22.24,74448
46,2010-01-04,22.45,22.45,21.56,22.16,144838
47,2010-01-05,22.16,22.27,22.04,22.13,62455
48,2010-01-06,22.04,22.15,21.0,21.24,200410
49,2010-01-07,21.25,21.74,21.12,21.48,78889
50,2010-01-08,21.57,22.59,21.57,22.4,95356
51,2010-01-11,22.61,22.93,22.3,22.69,71256
52,2010-01-12,22.54,22.98,21.95,22.24,61002
53,2010-01-13,22.39,22.52,22.29,22.31,43105
54,2010-01-14,22.2,22.58,21.91,22.22,49950
55,2010-01-15,22.34,22.34,21.63,22.09,80113
56,2010-01-19,22.01,22.07,21.59,22.05,48881
57,2010-01-20,21.65,22.2,21.65,22.12,53465
58,2010-01-21,22.09,22.15,21.5,21.51,68629
59,2010-01-22,21.5,22.22,21.5,21.69,77845
60,2010-01-25,21.69,22.13,21.4,21.51,106227
61,2010-01-26,21.51,21.7,20.76,20.85,76578
62,2010-01-27,20.64,21.17,20.64,21.14,13883
63,2010-01-28,21.32,21.56,19.95,20.12,69982
64,2010-01-29,20.04,21.04,20.01,21.0,135792
65,2010-02-01,21.0,21.26,20.35,20.6,59744
66,2010-02-02,20.67,20.73,20.17,20.66,165045
67,2010-02-03,20.58,20.91,20.38,20.5,114428
68,2010-02-04,20.32,20.32,19.41,19.75,236818
69,2010-02-05,19.89,20.02,19.48,19.9,135273
70,2010-02-08,19.68,20.02,19.48,19.83,92383
71,2010-02-09,19.98,21.11,19.98,20.57,80850
72,2010-02-10,20.64,21.46,20.64,21.4,57684
73,2010-02-11,21.31,21.74,21.2,21.64,64019
74,2010-02-12,21.52,22.38,21.13,21.33,108087
75,2010-02-16,21.55,22.18,20.72,22.0,215437
76,2010-02-17,21.95,22.3,20.53,20.61,201792
77,2010-02-18,20.65,21.21,20.33,21.16,119310
78,2010-02-19,21.16,21.5,20.85,20.93,117733
79,2010-02-22,21.0,21.0,20.52,20.67,26301
80,2010-02-23,20.7,20.83,19.31,19.55,193992
81,2010-02-24,19.68,19.96,19.39,19.96,100476
82,2010-02-25,19.66,20.16,19.51,20.06,78526
