,Date,Open,High,Low,Close,Volume
0,2011-05-06,12.29,12.4,11.85,12.1,180939
1,2011-05-09,12.34,12.36,11.75,12.0,53929
2,2011-05-10,12.0,12.1,11.4,11.77,253850
3,2011-05-11,11.57,11.94,11.4,11.82,155842
4,2011-05-12,11.83,11.85,11.51,11.68,85357
5,2011-05-13,11.58,11.64,10.61,10.75,56834
6,2011-05-16,10.57,10.79,9.01,9.38,306871
7,2011-05-17,9.05,9.25,8.83,8.88,172481
8,2011-05-18,9.01,9.61,8.92,9.33,197090
9,2011-05-19,9.41,10.37,9.37,9.95,81337
10,2011-05-20,9.86,10.08,9.6,9.71,109118
11,2011-05-23,9.53,9.55,8.91,9.5,336229
12,2011-05-24,9.38,9.84,9.38,9.83,56408
13,2011-05-25,9.85,9.9,9.6,9.67,14305
14,2011-05-26,9.58,9.7,9.5,9.65,27300
15,2011-05-27,9.61,9.91,9.21,9.53,45021
16,2011-05-31,9.56,9.88,9.25,9.35,50449
17,2011-06-01,9.37,9.88,9.1,9.72,70895
18,2011-06-02,9.46,10.0,9.37,9.96,55686
19,2011-06-03,9.8,10.7,9.8,10.17,34917
20,2011-06-06,10.22,10.57,9.33,9.6,300796
21,2011-06-07,9.98,10.0,8.75,8.87,131523
22,2011-06-08,8.84,9.13,7.25,7.41,251940
23,2011-06-09,7.48,7.95,7.41,7.67,220855
24,2011-06-10,7.87,8.06,6.98,7.65,273548
25,2011-06-13,8.08,10.42,7.98,10.11,3509115
26,2011-06-14,10.5,10.95,9.38,9.65,1447986
27,2011-06-15,9.5,9.62,9.05,9.51,332182
28,2011-06-16,9.23,9.8,9.23,9.58,280667
29,2011-06-17,9.82,9.89,8.59,8.91,293697
30,2011-06-20,8.91,8.91,8.14,8.37,247631
31,2011-06-21,8.36,8.65,8.03,8.2,319399
32,2011-06-22,8.13,8.85,8.13,8.78,190343
33,2011-06-23,8.78,9.2,8.53,9.13,180754
34,2011-06-24,9.24,9.45,8.65,9.0,904305
35,2011-06-27,9.29,9.44,9.05,9.12,177151
36,2011-06-28,9.19,9.79,9.02,9.06,121941
37,2011-06-29,9.38,9.38,9.0,9.26,168952
38,2011-06-30,9.34,9.46,9.01,9.08,125047
39,2011-07-01,9.1,9.1,8.9,8.98,158165
40,2011-07-05,9.1,9.2,9.0,9.11,110016
41,2011-07-06,9.04,9.36,9.02,9.36,136165
42,2011-07-07,9.5,9.68,9.23,9.27,175060
43,2011-07-08,9.21,9.7,9.1,9.67,150495
