,Date,Open,High,Low,Close,Volume
0,2005-02-25,931.7,1001.0,931.7,1001.0,10
1,2005-02-28,931.7,931.7,931.7,931.7,12
2,2005-03-01,954.8,954.8,954.8,954.8,22
3,2005-03-02,930.16,930.16,924.0,924.0,22
4,2005-03-03,893.2,924.0,877.8,924.0,141
5,2005-03-04,924.0,947.1,924.0,939.4,26
6,2005-03-07,939.4,977.9,939.4,947.1,50
7,2005-03-08,939.4,993.3,939.4,993.3,11
8,2005-03-09,993.3,993.3,985.6,993.3,10
9,2005-03-10,924.0,954.8,877.8,954.8,106
10,2005-03-11,939.4,939.4,939.4,939.4,3
11,2005-03-14,924.0,939.4,924.0,939.4,4
12,2005-03-15,939.4,939.4,939.4,939.4,2
13,2005-03-16,924.0,954.8,924.0,954.8,22
14,2005-03-17,924.0,954.8,882.42,890.12,130
15,2005-03-18,862.4,893.2,862.4,893.2,42
16,2005-03-23,893.2,1001.0,885.5,885.5,125
17,2005-03-24,931.7,931.7,900.9,931.7,14
18,2005-03-28,924.0,939.4,833.14,924.0,46
19,2005-03-29,900.9,908.6,900.9,908.6,10
20,2005-03-30,916.3,916.3,900.9,900.9,12
21,2005-03-31,893.2,916.3,893.2,916.3,56
22,2005-04-01,916.3,916.3,888.58,916.3,40
23,2005-04-04,890.12,890.12,877.8,877.8,23
24,2005-04-05,854.7,854.7,851.62,851.62,8
25,2005-04-06,885.5,1201.2,883.96,900.9,2168
26,2005-04-07,924.0,954.8,854.7,883.96,268
27,2005-04-08,856.24,893.2,854.7,891.66,211
28,2005-04-11,885.5,893.2,847.0,854.7,79
29,2005-04-12,883.96,885.5,877.8,885.5,55
30,2005-04-13,877.8,885.5,847.0,862.4,73
31,2005-04-14,847.0,856.24,839.3,847.0,39
32,2005-04-15,877.8,877.8,810.04,810.04,43
33,2005-04-18,877.8,877.8,825.44,837.76,30
34,2005-04-19,831.6,843.92,816.2,831.6,20
35,2005-04-20,831.6,831.6,828.52,831.6,7
36,2005-04-21,831.6,862.4,790.02,862.4,27
37,2005-04-22,839.3,856.24,839.3,847.0,8
38,2005-04-25,831.6,856.24,825.44,825.44,18
39,2005-04-26,816.2,819.28,739.2,754.6,213
40,2005-04-27,754.6,796.18,739.2,770.0,62
41,2005-04-28,754.6,768.46,693.0,716.1,94
42,2005-04-29,716.1,762.3,716.1,762.3,5
43,2005-05-02,763.84,763.84,762.3,762.3,2
44,2005-05-03,754.6,754.6,693.0,748.44,80
45,2005-05-04,748.44,770.0,748.44,770.0,3
46,2005-05-05,754.6,754.6,693.0,731.5,24
47,2005-05-06,746.9,746.9,746.9,746.9,1
48,2005-05-09,751.52,839.3,693.0,711.48,12
49,2005-05-10,693.0,803.88,693.0,802.34,92
50,2005-05-11,770.0,811.58,770.0,811.58,20
51,2005-05-12,813.12,813.12,813.12,813.12,1
52,2005-05-13,823.9,823.9,785.4,814.66,45
53,2005-05-16,770.0,831.6,770.0,831.6,56
54,2005-05-17,960.96,960.96,847.0,848.54,570
55,2005-05-18,877.8,885.5,785.4,877.8,178
56,2005-05-19,833.14,848.54,816.2,830.06,45
57,2005-05-20,847.0,859.32,831.6,847.0,44
58,2005-05-23,808.5,850.08,808.5,850.08,4
59,2005-05-25,816.2,847.0,816.2,847.0,14
60,2005-05-26,816.2,836.22,803.88,836.22,7
61,2005-05-31,847.0,847.0,793.1,793.1,35
62,2005-06-01,770.0,770.0,746.9,768.46,93
63,2005-06-03,770.0,770.0,665.28,742.28,107
64,2005-06-06,733.04,746.9,733.04,739.2,5
65,2005-06-07,762.3,823.9,754.6,800.8,81
66,2005-06-08,897.82,897.82,723.8,757.68,151
67,2005-06-09,1116.5,1191.96,913.22,924.0,13392
68,2005-06-10,924.0,1054.9,908.6,976.36,3438
69,2005-06-13,1047.2,1047.2,979.44,1013.32,1401
70,2005-06-14,1031.8,1031.8,924.0,950.18,1177
71,2005-06-15,931.7,954.8,874.72,911.68,1123
72,2005-06-16,907.06,960.96,907.06,927.08,757
73,2005-06-17,939.4,942.48,885.5,902.44,635
74,2005-06-20,911.68,927.08,862.4,865.48,362
75,2005-06-21,870.1,950.18,870.1,913.22,570
76,2005-06-22,883.96,903.98,877.8,880.88,120
77,2005-06-23,876.26,899.36,850.08,850.08,286
78,2005-06-24,850.08,871.64,834.68,834.68,234
79,2005-06-27,831.6,902.44,816.2,840.84,357
80,2005-06-28,984.06,997.92,862.4,870.1,2741
81,2005-06-29,900.9,900.9,854.7,877.8,280
82,2005-06-30,863.94,877.8,847.0,877.8,163
83,2005-07-01,863.94,922.46,847.0,851.62,233
84,2005-07-05,856.24,874.72,850.08,865.48,174
85,2005-07-06,871.64,885.5,851.62,868.56,107
86,2005-07-07,854.7,891.66,854.7,867.02,147
87,2005-07-08,883.96,914.76,868.56,900.9,172
88,2005-07-11,911.68,951.72,910.14,951.72,429
89,2005-07-12,951.72,957.88,922.46,924.0,198
90,2005-07-13,948.64,948.64,908.6,925.54,76
91,2005-07-14,925.54,939.4,897.82,908.6,175
92,2005-07-15,900.9,924.0,896.28,919.38,37
93,2005-07-18,924.0,931.7,865.48,899.36,207
94,2005-07-19,940.94,948.64,894.74,919.38,695
95,2005-07-20,910.14,924.0,891.66,908.6,188
96,2005-07-21,908.6,916.3,879.34,916.3,140
97,2005-07-22,917.84,934.78,908.6,934.78,283
98,2005-07-25,931.7,951.72,931.7,947.1,173
99,2005-07-26,947.1,1062.6,947.1,1042.58,1654
100,2005-07-27,1239.7,1413.72,1119.58,1136.52,35545
101,2005-07-28,1184.26,1201.2,1094.94,1124.2,2941
102,2005-07-29,1108.8,1181.18,1087.24,1151.92,2268
103,2005-08-01,977.9,1037.96,954.8,993.3,3984
