,Date,Open,High,Low,Close,Volume
0,2005-02-25,50.603,50.679,50.03,50.534,91506
1,2005-02-28,50.326,51.298,50.259,51.136,213921
2,2005-03-01,51.365,51.983,51.269,51.669,152585
3,2005-03-02,51.374,52.26,51.374,51.535,129786
4,2005-03-03,51.459,51.669,50.67,51.032,125646
5,2005-03-04,51.346,51.918,51.098,51.565,129729
6,2005-03-07,51.488,52.003,50.924,50.934,138939
7,2005-03-08,50.851,51.259,50.374,50.652,127154
8,2005-03-09,50.603,50.67,49.467,49.746,155412
9,2005-03-10,49.611,50.03,49.145,49.297,126324
10,2005-03-11,49.364,49.83,49.192,49.316,124996
11,2005-03-14,49.221,49.697,49.173,49.563,119372
12,2005-03-15,49.776,49.982,49.155,49.458,141085
13,2005-03-16,49.486,49.535,48.942,49.078,155856
14,2005-03-17,49.029,49.336,48.469,48.65,145650
15,2005-03-18,48.924,48.932,46.943,48.361,273178
16,2005-03-21,48.211,48.514,48.03,48.343,86654
17,2005-03-22,48.183,48.391,47.058,47.219,114336
18,2005-03-23,47.077,47.457,46.525,46.674,160413
19,2005-03-24,46.694,46.971,46.048,46.15,134653
20,2005-03-28,46.411,46.971,45.722,45.731,275494
21,2005-03-29,45.712,45.886,44.951,45.046,172655
22,2005-03-30,44.866,45.75,44.866,45.74,114050
23,2005-03-31,45.896,45.916,44.579,44.876,122200
24,2005-04-01,44.885,45.759,44.512,44.741,159254
25,2005-04-04,45.152,45.266,44.599,45.037,229827
26,2005-04-05,45.037,45.399,44.55,44.56,157436
27,2005-04-06,44.751,45.991,44.674,45.837,183927
28,2005-04-07,45.981,46.198,45.534,45.675,74302
29,2005-04-08,45.591,45.618,44.609,45.018,105898
30,2005-04-11,44.885,45.027,44.55,44.77,61742
31,2005-04-12,44.55,45.847,44.313,45.712,141798
32,2005-04-13,45.458,45.876,44.637,44.77,172648
33,2005-04-14,44.77,45.018,43.723,43.98,100855
34,2005-04-15,43.932,44.313,43.323,43.358,97615
35,2005-04-18,42.922,44.437,42.885,44.151,147014
36,2005-04-19,44.112,44.98,44.112,44.741,99055
37,2005-04-20,44.618,44.98,44.408,44.522,217201
38,2005-04-21,44.522,45.646,44.522,45.646,144312
39,2005-04-22,45.552,45.789,45.17,45.494,259274
40,2005-04-25,45.351,45.981,45.302,45.789,188692
41,2005-04-26,45.61,45.74,43.98,44.102,134727
42,2005-04-27,43.836,45.094,43.446,44.78,148453
43,2005-04-28,44.646,44.895,43.932,43.932,111098
44,2005-04-29,44.226,44.379,43.349,43.75,194300
45,2005-05-02,43.502,44.838,43.502,44.79,153950
46,2005-05-03,44.693,46.506,44.693,46.256,356207
47,2005-05-04,46.458,48.077,46.293,47.876,272940
48,2005-05-05,47.658,48.361,47.267,47.943,261846
49,2005-05-06,48.049,48.125,46.868,47.048,71236
50,2005-05-09,46.951,47.763,46.772,47.695,95420
51,2005-05-10,47.705,47.705,46.809,47.029,62818
52,2005-05-11,46.888,47.582,46.703,47.562,99787
53,2005-05-12,47.506,48.125,47.457,48.001,185474
54,2005-05-13,48.22,48.22,46.674,47.124,87865
55,2005-05-16,47.048,47.982,47.029,47.923,91302
56,2005-05-17,47.601,48.03,47.144,47.695,76945
57,2005-05-18,48.03,48.932,48.001,48.914,77987
58,2005-05-19,48.886,48.981,48.459,48.592,73849
59,2005-05-20,48.582,49.078,47.695,49.078,109043
60,2005-05-23,49.135,49.611,48.64,49.25,145583
61,2005-05-24,49.078,49.336,48.592,48.867,38559
62,2005-05-25,48.932,48.932,47.648,48.361,257669
63,2005-05-26,48.315,48.754,48.077,48.754,86642
64,2005-05-27,48.43,48.572,47.838,48.164,96999
65,2005-05-31,47.933,48.077,47.62,47.715,110326
66,2005-06-01,47.562,48.202,47.361,48.03,104072
67,2005-06-02,47.828,48.087,47.409,47.667,88844
68,2005-06-03,47.334,47.828,46.999,47.334,85138
69,2005-06-06,47.171,47.894,46.897,47.838,60198
70,2005-06-07,47.884,48.391,47.743,47.982,115147
71,2005-06-08,47.838,48.173,47.838,47.923,147026
72,2005-06-09,47.923,47.923,46.99,47.267,147919
73,2005-06-10,47.124,47.209,46.361,46.361,118591
