,Date,Open,High,Low,Close,Volume
0,2005-02-25,12.289,12.36,12.237,12.324,372910
1,2005-02-28,12.331,12.549,12.296,12.487,333946
2,2005-03-01,12.614,12.704,12.602,12.704,474644
3,2005-03-02,12.723,12.758,12.629,12.672,446703
4,2005-03-03,12.665,12.828,12.665,12.807,304033
5,2005-03-04,12.799,12.955,12.751,12.92,363067
6,2005-03-07,12.751,12.955,12.751,12.955,257988
7,2005-03-08,12.879,13.123,12.834,13.023,296751
8,2005-03-09,13.028,13.077,12.834,12.879,249131
9,2005-03-10,12.834,12.935,12.679,12.704,261722
10,2005-03-11,12.693,12.777,12.636,12.723,269597
11,2005-03-14,12.744,12.948,12.744,12.86,318202
12,2005-03-15,12.962,13.077,12.879,12.92,319776
13,2005-03-16,12.948,13.01,12.602,12.629,318990
14,2005-03-17,12.679,12.717,12.581,12.629,263694
15,2005-03-18,12.374,12.495,12.244,12.366,847750
16,2005-03-21,12.296,12.48,12.21,12.48,392782
17,2005-03-22,12.426,12.651,12.366,12.393,301081
18,2005-03-23,12.393,12.413,12.175,12.175,408918
19,2005-03-24,12.182,12.244,12.055,12.055,379598
20,2005-03-28,12.026,12.353,11.953,12.296,396325
21,2005-03-29,12.271,12.509,12.204,12.21,359133
22,2005-03-30,12.231,12.473,12.204,12.459,215282
23,2005-03-31,12.459,12.53,12.374,12.381,200723
24,2005-04-01,12.399,12.48,12.237,12.296,274908
25,2005-04-04,12.317,12.509,12.217,12.509,197183
26,2005-04-05,12.509,12.704,12.495,12.602,335127
27,2005-04-06,12.602,12.751,12.581,12.686,273331
28,2005-04-07,12.609,12.799,12.595,12.792,266249
29,2005-04-08,12.813,13.13,12.813,13.042,581701
30,2005-04-11,13.042,13.116,12.995,13.116,396717
31,2005-04-12,13.172,13.308,13.056,13.247,765890
32,2005-04-13,13.321,13.72,13.247,13.672,741488
33,2005-04-14,13.599,13.645,12.92,12.942,697799
34,2005-04-15,12.995,13.72,12.995,13.327,998096
35,2005-04-18,13.334,13.334,12.879,13.085,648605
36,2005-04-19,13.138,13.3,13.104,13.138,442569
37,2005-04-20,13.193,13.369,13.05,13.165,327254
38,2005-04-21,13.286,13.592,13.212,13.558,494525
39,2005-04-22,13.579,13.686,13.218,13.564,507512
40,2005-04-25,13.564,13.89,13.551,13.884,728892
41,2005-04-26,13.828,13.835,13.327,13.395,601180
42,2005-04-27,13.321,13.558,13.226,13.476,511641
43,2005-04-28,13.504,13.504,13.212,13.308,356772
44,2005-04-29,13.51,13.564,13.218,13.564,565958
45,2005-05-02,13.518,13.828,13.518,13.763,581110
46,2005-05-03,13.728,13.938,13.619,13.87,595470
47,2005-05-04,13.85,13.911,13.672,13.794,468154
48,2005-05-05,13.905,13.905,13.483,13.66,363266
49,2005-05-06,13.686,14.073,13.686,13.95,406164
50,2005-05-09,14.026,14.086,13.788,13.97,590948
51,2005-05-10,13.998,14.079,13.897,13.991,509673
52,2005-05-11,14.073,14.181,13.897,14.148,307177
53,2005-05-12,14.217,14.228,14.079,14.188,439621
54,2005-05-13,13.977,13.977,13.036,13.178,2018032
55,2005-05-16,13.212,13.619,12.962,13.599,1078778
56,2005-05-17,13.558,13.835,13.437,13.755,837715
57,2005-05-18,13.794,13.998,13.72,13.924,461461
58,2005-05-19,13.964,14.073,13.755,13.769,436078
59,2005-05-20,13.694,13.781,13.626,13.72,456341
60,2005-05-23,13.85,13.977,13.85,13.977,442373
61,2005-05-24,14.093,14.093,13.884,13.917,379404
62,2005-05-25,13.917,13.95,13.769,13.814,335913
63,2005-05-26,13.82,14.019,13.82,13.862,345752
64,2005-05-27,13.905,14.019,13.857,13.97,399671
65,2005-05-31,14.046,14.1,13.828,13.828,642303
66,2005-06-01,13.917,14.228,13.917,14.228,614365
67,2005-06-02,14.223,14.451,14.175,14.27,522857
68,2005-06-03,14.338,14.555,14.217,14.223,570485
69,2005-06-06,14.507,14.507,14.181,14.202,481924
70,2005-06-07,14.256,14.458,14.256,14.377,604724
71,2005-06-08,14.405,14.569,14.384,14.486,481924
72,2005-06-09,14.493,14.555,14.352,14.54,352833
73,2005-06-10,14.649,14.812,14.52,14.641,640930
74,2005-06-13,14.641,14.919,14.486,14.913,404390
75,2005-06-14,14.968,15.056,14.88,15.002,549229
76,2005-06-15,15.06,15.089,14.826,14.906,474447
77,2005-06-16,14.968,15.136,14.913,15.136,424268
78,2005-06-17,15.197,15.359,15.136,15.328,924105
79,2005-06-20,15.328,15.366,15.15,15.197,340633
80,2005-06-21,15.271,15.74,15.197,15.536,652930
81,2005-06-22,15.549,15.625,15.393,15.462,563200
82,2005-06-23,15.462,15.462,15.217,15.321,635617
83,2005-06-24,15.321,15.321,14.486,14.725,1317873
84,2005-06-27,14.736,15.197,14.586,14.987,683631
85,2005-06-28,15.11,15.231,14.987,15.211,540767
86,2005-06-29,15.237,15.291,15.05,15.056,309345
87,2005-06-30,15.056,15.335,15.056,15.11,374682
88,2005-07-01,15.291,15.393,15.158,15.386,417971
89,2005-07-05,15.34,15.347,15.129,15.185,455755
90,2005-07-06,15.245,15.245,14.743,14.749,594885
91,2005-07-07,14.736,15.06,14.641,14.968,483306
92,2005-07-08,14.987,15.279,14.925,15.259,436078
93,2005-07-11,15.251,15.353,15.029,15.245,548441
94,2005-07-12,15.251,15.299,15.116,15.284,514595
95,2005-07-13,15.359,15.373,15.237,15.279,286320
96,2005-07-14,15.211,15.373,15.068,15.165,472282
97,2005-07-15,15.165,15.291,15.11,15.136,255036
98,2005-07-18,15.237,15.245,15.056,15.197,351063
99,2005-07-19,15.231,15.373,15.15,15.335,420334
100,2005-07-20,15.38,15.496,15.231,15.359,359922
101,2005-07-21,15.476,15.508,15.136,15.34,540966
102,2005-07-22,15.34,15.646,15.328,15.646,433716
103,2005-07-25,15.646,15.819,15.598,15.705,390425
104,2005-07-26,15.793,16.003,15.793,15.975,538994
105,2005-07-27,16.058,16.186,15.982,16.119,449262
106,2005-07-28,16.167,16.308,16.03,16.276,383339
107,2005-07-29,16.269,16.484,16.159,16.296,579929
108,2005-08-01,16.356,16.406,16.018,16.213,485862
109,2005-08-02,16.249,16.525,16.186,16.518,536634
110,2005-08-03,17.373,17.63,16.975,17.28,1445194
111,2005-08-04,17.285,17.298,16.797,17.024,1195077
112,2005-08-05,17.024,17.024,16.315,16.459,862314
113,2005-08-08,16.668,16.926,16.6,16.641,559855
114,2005-08-09,16.818,16.883,16.573,16.825,588387
115,2005-08-10,16.994,17.148,16.641,16.812,550409
116,2005-08-11,16.832,17.181,16.832,17.061,444338
117,2005-08-12,17.124,18.023,17.075,17.962,1153362
118,2005-08-15,18.037,18.219,17.535,17.583,985894
119,2005-08-16,17.523,17.529,16.911,17.017,826104
120,2005-08-17,17.017,17.292,16.953,17.266,556508
121,2005-08-18,17.28,17.413,16.975,17.189,461461
122,2005-08-19,17.174,17.399,16.982,17.095,671231
123,2005-08-22,17.304,17.447,17.124,17.28,837715
124,2005-08-23,17.272,17.272,16.919,17.017,717871
125,2005-08-24,17.046,17.399,17.039,17.103,460870
126,2005-08-25,17.251,17.251,17.017,17.168,410099
127,2005-08-26,17.23,17.23,16.968,16.989,339848
128,2005-08-29,16.989,17.005,16.106,16.926,1009706
129,2005-08-30,16.933,16.989,16.77,16.862,533090
130,2005-08-31,16.862,17.413,16.777,17.413,967002
131,2005-09-01,17.535,18.009,17.413,17.982,1505999
132,2005-09-02,18.157,18.464,17.758,17.786,650572
133,2005-09-06,17.806,18.211,17.806,18.016,585828
134,2005-09-07,18.125,18.199,17.962,18.151,479958
135,2005-09-08,18.395,18.813,18.328,18.573,1078584
136,2005-09-09,18.97,19.753,18.551,19.088,1285599
137,2005-09-12,19.182,19.23,18.919,19.011,683240
138,2005-09-13,18.939,18.963,18.573,18.687,839096
139,2005-09-14,18.788,18.919,18.601,18.795,888685
140,2005-09-15,18.729,18.956,18.361,18.509,1079565
141,2005-09-16,18.573,18.89,18.361,18.551,1307441
142,2005-09-19,18.573,18.672,18.293,18.451,743454
143,2005-09-20,18.489,18.788,18.389,18.456,596456
