,Date,Open,High,Low,Close,Volume
0,2005-05-05,9.0,9.0,9.0,9.0,0
1,2005-05-06,10.28,12.57,10.25,12.44,6796624
2,2005-05-09,12.55,12.85,11.7,12.26,805032
3,2005-05-10,12.25,12.3,11.88,12.05,358766
4,2005-05-11,12.1,12.3,11.93,12.12,282498
5,2005-05-12,11.83,12.0,11.75,11.75,252256
6,2005-05-13,11.71,11.97,11.55,11.56,154172
7,2005-05-16,11.55,11.6,11.38,11.58,102162
8,2005-05-17,11.38,12.41,11.38,12.41,80208
9,2005-05-18,12.42,12.95,12.18,12.56,341784
10,2005-05-19,12.97,12.97,12.5,12.85,93574
11,2005-05-20,13.0,13.22,12.56,12.75,230708
12,2005-05-23,13.19,13.19,12.65,12.89,113834
13,2005-05-24,12.94,12.94,12.49,12.88,60570
14,2005-05-25,12.62,12.85,12.5,12.54,226600
15,2005-05-26,12.54,13.0,12.5,12.65,319404
16,2005-05-27,12.68,13.0,12.68,12.7,289858
17,2005-05-31,12.88,12.88,12.63,12.81,211968
18,2005-06-01,12.8,13.67,12.75,13.0,662872
19,2005-06-02,13.21,14.0,13.16,13.55,435334
20,2005-06-03,13.63,13.89,13.43,13.81,49982
21,2005-06-06,13.82,14.22,13.82,14.09,99430
22,2005-06-07,14.2,14.64,13.97,14.38,84664
23,2005-06-08,14.48,14.48,13.59,14.0,129274
24,2005-06-09,14.19,14.19,13.63,13.66,80514
25,2005-06-10,13.78,13.81,13.55,13.7,17286
26,2005-06-13,13.77,13.9,13.0,13.65,215076
27,2005-06-14,13.8,13.85,13.53,13.58,17636
28,2005-06-15,14.65,15.03,14.21,14.92,729516
29,2005-06-16,15.0,15.91,14.69,15.15,583300
30,2005-06-17,15.51,15.51,15.05,15.12,128160
31,2005-06-20,14.99,15.13,14.5,14.59,202294
32,2005-06-21,14.7,15.0,14.55,14.97,62476
33,2005-06-22,15.23,15.37,14.72,14.98,112372
34,2005-06-23,15.41,15.77,14.55,15.22,206968
35,2005-06-24,15.45,15.49,15.02,15.04,492360
36,2005-06-27,15.05,15.15,14.89,15.03,106094
37,2005-06-28,15.09,15.25,15.01,15.13,54552
38,2005-06-29,15.13,15.29,15.07,15.29,210022
39,2005-06-30,15.3,15.49,14.55,14.57,141214
